,ENSHHUT00000017566_ENSHHUG00000010573,ENSGAGT00000023554_ENSGAGG00000015233,ENSCABT00000032104_ENSCABG00000021503,ENSLCOT00000001760_ENSLCOG00000000284,ENSLCOT00000001761_ENSLCOG00000000284,ENSLCOT00000001764_ENSLCOG00000000284,ENSLCOT00000001765_ENSLCOG00000000284,ENSGALT00000067344_ENSGALG00000033770,ENSGALT00000105416_ENSGALG00000055022,ENSCJPT00005008176_ENSCJPG00005004819,ENSSCAT00000025799_ENSSCAG00000016604
ENSHHUT00000017566_ENSHHUG00000010573,1.0,1e-18,0.08,0.03,0.03,0.03,0.03,0.1,0.3,1e-18,0.1
ENSGAGT00000023554_ENSGAGG00000015233,1e-18,1.0,0.08,0.09,0.12,0.14,0.03,0.1,1e-18,0.75,0.1
ENSCABT00000032104_ENSCABG00000021503,0.08,0.08,1.0,0.08,0.08,0.09,0.09,0.4,0.14,0.08,0.4
ENSLCOT00000001760_ENSLCOG00000000284,0.03,0.09,0.08,1.0,0.82,0.75,0.71,0.09,0.08,0.06,0.09
ENSLCOT00000001761_ENSLCOG00000000284,0.03,0.12,0.08,0.82,1.0,0.74,0.67,0.08,0.08,0.09,0.08
ENSLCOT00000001764_ENSLCOG00000000284,0.03,0.14,0.09,0.75,0.74,1.0,0.59,0.1,0.09,0.11,0.1
ENSLCOT00000001765_ENSLCOG00000000284,0.03,0.03,0.09,0.71,0.67,0.59,1.0,0.09,0.09,0.03,0.09
ENSGALT00000067344_ENSGALG00000033770,0.1,0.1,0.4,0.09,0.08,0.1,0.09,1.0,0.17,0.1,0.5
ENSGALT00000105416_ENSGALG00000055022,0.3,1e-18,0.14,0.08,0.08,0.09,0.09,0.17,1.0,1e-18,0.17
ENSCJPT00005008176_ENSCJPG00005004819,1e-18,0.75,0.08,0.06,0.09,0.11,0.03,0.1,1e-18,1.0,0.1
ENSSCAT00000025799_ENSSCAG00000016604,0.1,0.1,0.4,0.09,0.08,0.1,0.09,0.5,0.17,0.1,1.0
