,ENSAOWT00000004074_ENSAOWG00000002522,ENSAOWT00000004082_ENSAOWG00000002522,ENSAHAT00000021102_ENSAHAG00000013525,ENSAHAT00000021116_ENSAHAG00000013525,ENSAHAT00000021128_ENSAHAG00000013525,ENSAHAT00000021134_ENSAHAG00000013525,ENSARWT00000007795_ENSARWG00000004799,ENSARWT00000007796_ENSARWG00000004799,ENSARWT00000007797_ENSARWG00000004799,ENSARWT00000007798_ENSARWG00000004799,ENSARWT00000007799_ENSARWG00000004799,ENSARWT00000007800_ENSARWG00000004799,ENSDNVT00000003995_ENSDNVG00000002350,ENSDNVT00000004011_ENSDNVG00000002350,ENSDNVT00000004033_ENSDNVG00000002350,ENSDNVT00000004059_ENSDNVG00000002350
ENSAOWT00000004074_ENSAOWG00000002522,1.0,0.94,0.99,0.94,0.93,0.87,0.99,0.94,0.93,0.92,0.94,0.87,0.95,0.92,0.9,0.89
ENSAOWT00000004082_ENSAOWG00000002522,0.94,1.0,0.94,0.9,0.89,0.82,0.94,0.9,0.88,0.89,0.99,0.82,0.9,0.87,0.85,0.92
ENSAHAT00000021102_ENSAHAG00000013525,0.99,0.94,1.0,0.94,0.93,0.87,0.99,0.94,0.93,0.92,0.94,0.87,0.95,0.92,0.9,0.89
ENSAHAT00000021116_ENSAHAG00000013525,0.94,0.9,0.94,1.0,0.89,0.83,0.94,0.99,0.89,0.87,0.9,0.83,0.91,0.87,0.85,0.85
ENSAHAT00000021128_ENSAHAG00000013525,0.93,0.89,0.93,0.89,1.0,0.82,0.93,0.89,0.99,0.86,0.88,0.82,0.9,0.86,0.95,0.84
ENSAHAT00000021134_ENSAHAG00000013525,0.87,0.82,0.87,0.83,0.82,1.0,0.87,0.83,0.82,0.8,0.82,1.0,0.83,0.82,0.78,0.78
ENSARWT00000007795_ENSARWG00000004799,0.99,0.94,0.99,0.94,0.93,0.87,1.0,0.94,0.93,0.92,0.94,0.87,0.95,0.92,0.9,0.89
ENSARWT00000007796_ENSARWG00000004799,0.94,0.9,0.94,0.99,0.89,0.83,0.94,1.0,0.89,0.88,0.9,0.83,0.91,0.87,0.85,0.85
ENSARWT00000007797_ENSARWG00000004799,0.93,0.88,0.93,0.89,0.99,0.82,0.93,0.89,1.0,0.87,0.89,0.82,0.9,0.86,0.95,0.84
ENSARWT00000007798_ENSARWG00000004799,0.92,0.89,0.92,0.87,0.86,0.8,0.92,0.88,0.87,1.0,0.89,0.81,0.9,0.86,0.84,0.84
ENSARWT00000007799_ENSARWG00000004799,0.94,0.99,0.94,0.9,0.88,0.82,0.94,0.9,0.89,0.89,1.0,0.82,0.9,0.87,0.85,0.92
ENSARWT00000007800_ENSARWG00000004799,0.87,0.82,0.87,0.83,0.82,1.0,0.87,0.83,0.82,0.81,0.82,1.0,0.83,0.82,0.78,0.78
ENSDNVT00000003995_ENSDNVG00000002350,0.95,0.9,0.95,0.91,0.9,0.83,0.95,0.91,0.9,0.9,0.9,0.83,1.0,0.94,0.93,0.93
ENSDNVT00000004011_ENSDNVG00000002350,0.92,0.87,0.92,0.87,0.86,0.82,0.92,0.87,0.86,0.86,0.87,0.82,0.94,1.0,0.89,0.89
ENSDNVT00000004033_ENSDNVG00000002350,0.9,0.85,0.9,0.85,0.95,0.78,0.9,0.85,0.95,0.84,0.85,0.78,0.93,0.89,1.0,0.88
ENSDNVT00000004059_ENSDNVG00000002350,0.89,0.92,0.89,0.85,0.84,0.78,0.89,0.85,0.84,0.84,0.92,0.78,0.93,0.89,0.88,1.0
