,ENSXMAT00000028597_ENSXMAG00000022112,ENSGAFT00000029537_ENSGAFG00000019732,ENSGAFT00000029538_ENSGAFG00000019732,ENSPRET00000018100_ENSPREG00000012108,ENSPMET00000028782_ENSPMEG00000022417,ENSLCAT00010057656_ENSLCAG00010026193,ENSLCAT00010057658_ENSLCAG00010026193,ENSLCAT00010057659_ENSLCAG00010026193,ENSMMOT00000013365_ENSMMOG00000010088,ENSBSLT00000038387_ENSBSLG00000016928
ENSXMAT00000028597_ENSXMAG00000022112,1.0,0.73,0.84,0.83,0.84,0.48,0.48,0.5,0.49,0.48
ENSGAFT00000029537_ENSGAFG00000019732,0.73,1.0,0.75,0.73,0.73,0.42,0.42,0.44,0.54,0.43
ENSGAFT00000029538_ENSGAFG00000019732,0.84,0.75,1.0,0.83,0.83,0.49,0.48,0.51,0.5,0.49
ENSPRET00000018100_ENSPREG00000012108,0.83,0.73,0.83,1.0,0.91,0.49,0.49,0.51,0.51,0.5
ENSPMET00000028782_ENSPMEG00000022417,0.84,0.73,0.83,0.91,1.0,0.48,0.48,0.5,0.5,0.49
ENSLCAT00010057656_ENSLCAG00010026193,0.48,0.42,0.49,0.49,0.48,1.0,0.76,0.78,0.47,0.61
ENSLCAT00010057658_ENSLCAG00010026193,0.48,0.42,0.48,0.49,0.48,0.76,1.0,0.86,0.46,0.53
ENSLCAT00010057659_ENSLCAG00010026193,0.5,0.44,0.51,0.51,0.5,0.78,0.86,1.0,0.48,0.55
ENSMMOT00000013365_ENSMMOG00000010088,0.49,0.54,0.5,0.51,0.5,0.47,0.46,0.48,1.0,0.47
ENSBSLT00000038387_ENSBSLG00000016928,0.48,0.43,0.49,0.5,0.49,0.61,0.53,0.55,0.47,1.0
