,ENSDART00000152857_ENSDARG00000061778,ENSDART00000105328_ENSDARG00000061778,ENSDART00000185689_ENSDARG00000061778,ENSONIT00000010135_ENSONIG00000008040,ENSCPGT00000009145_ENSCPGG00000005924,ENSJHYT00000020758_ENSJHYG00000013147,ENSJHYT00000020771_ENSJHYG00000013147,ENSAHAT00000021451_ENSAHAG00000013731,ENSNSUT00000024802_ENSNSUG00000016890,ENSEBUT00000008618_ENSEBUG00000005284,ENSEBUT00000008646_ENSEBUG00000005284,ENSEBUT00000008680_ENSEBUG00000005284
ENSDART00000152857_ENSDARG00000061778,1.0,0.95,0.91,0.46,0.71,0.71,0.71,0.7,0.61,0.55,0.55,0.55
ENSDART00000105328_ENSDARG00000061778,0.95,1.0,0.91,0.46,0.71,0.71,0.71,0.7,0.61,0.55,0.55,0.55
ENSDART00000185689_ENSDARG00000061778,0.91,0.91,1.0,0.45,0.67,0.67,0.67,0.66,0.59,0.52,0.52,0.52
ENSONIT00000010135_ENSONIG00000008040,0.46,0.46,0.45,1.0,0.4,0.4,0.4,0.44,0.4,0.35,0.35,0.35
ENSCPGT00000009145_ENSCPGG00000005924,0.71,0.71,0.67,0.4,1.0,0.9,0.9,0.85,0.68,0.57,0.57,0.57
ENSJHYT00000020758_ENSJHYG00000013147,0.71,0.71,0.67,0.4,0.9,1.0,0.94,0.85,0.69,0.57,0.57,0.57
ENSJHYT00000020771_ENSJHYG00000013147,0.71,0.71,0.67,0.4,0.9,0.94,1.0,0.85,0.69,0.57,0.57,0.57
ENSAHAT00000021451_ENSAHAG00000013731,0.7,0.7,0.66,0.44,0.85,0.85,0.85,1.0,0.72,0.6,0.6,0.6
ENSNSUT00000024802_ENSNSUG00000016890,0.61,0.61,0.59,0.4,0.68,0.69,0.69,0.72,1.0,0.54,0.54,0.54
ENSEBUT00000008618_ENSEBUG00000005284,0.55,0.55,0.52,0.35,0.57,0.57,0.57,0.6,0.54,1.0,0.97,0.9
ENSEBUT00000008646_ENSEBUG00000005284,0.55,0.55,0.52,0.35,0.57,0.57,0.57,0.6,0.54,0.97,1.0,0.9
ENSEBUT00000008680_ENSEBUG00000005284,0.55,0.55,0.52,0.35,0.57,0.57,0.57,0.6,0.54,0.9,0.9,1.0
