,ENSPCOT00000028601_ENSPCOG00000020835,ENSPCOT00000028604_ENSPCOG00000020835,ENSPCOT00000028607_ENSPCOG00000020835,ENSPSMT00000021687_ENSPSMG00000013151,ENSPSMT00000021693_ENSPSMG00000013151,ENSMICT00000041362_ENSMICG00000006391,ENSMICT00000031520_ENSMICG00000006391,ENSMICT00000006394_ENSMICG00000006391,ENSOGAT00000032899_ENSOGAG00000029651,ENSPTRT00000108360_ENSPTRG00000021890,ENSPTRT00000102371_ENSPTRG00000021890,ENSPTRT00000040676_ENSPTRG00000021890,ENSPPAT00000032442_ENSPPAG00000028117,ENSPPAT00000032454_ENSPPAG00000028117,ENSPPAT00000032461_ENSPPAG00000028117,ENST00000376207_ENSG00000049768,ENST00000376199_ENSG00000049768,ENST00000455775_ENSG00000049768,ENST00000518685_ENSG00000049768,ENST00000376197_ENSG00000049768,ENST00000557224_ENSG00000049768,ENST00000652559_ENSG00000049768,ENST00000650877_ENSG00000049768,ENSGGOT00000025034_ENSGGOG00000000913,ENSGGOT00000049574_ENSGGOG00000000913,ENSGGOT00000000920_ENSGGOG00000000913,ENSPPYT00000023733_ENSPPYG00000020341,ENSPPYT00000033485_ENSPPYG00000020341,ENSNLET00000010324_ENSNLEG00000008046,ENSNLET00000052557_ENSNLEG00000008046,ENSRBIT00000043767_ENSRBIG00000033932,ENSRBIT00000043768_ENSRBIG00000033932,ENSRBIT00000043769_ENSRBIG00000033932,ENSRBIT00000043771_ENSRBIG00000033932,ENSRROT00000054254_ENSRROG00000038704,ENSRROT00000054261_ENSRROG00000038704,ENSRROT00000054266_ENSRROG00000038704,ENSPTET00000006735_ENSPTEG00000005059,ENSPTET00000006739_ENSPTEG00000005059,ENSPTET00000006744_ENSPTEG00000005059
ENSPCOT00000028601_ENSPCOG00000020835,1.0,0.85,0.82,0.81,0.7,0.92,0.8,0.77,0.91,0.91,0.64,0.72,0.91,0.79,0.64,0.91,0.79,0.9,0.79,0.63,0.72,0.32,0.2,0.79,0.91,0.63,0.91,0.77,0.61,0.89,0.72,0.9,0.63,0.8,0.79,0.9,0.63,0.63,0.72,0.81
ENSPCOT00000028604_ENSPCOG00000020835,0.85,1.0,0.94,0.93,0.61,0.8,0.92,0.89,0.79,0.79,0.73,0.83,0.79,0.91,0.73,0.79,0.91,0.77,0.68,0.73,0.83,0.39,0.22,0.91,0.79,0.73,0.79,0.89,0.7,0.77,0.83,0.77,0.73,0.69,0.91,0.77,0.73,0.73,0.83,0.7
ENSPCOT00000028607_ENSPCOG00000020835,0.82,0.94,1.0,0.94,0.59,0.78,0.89,0.9,0.77,0.77,0.74,0.84,0.77,0.88,0.74,0.77,0.88,0.75,0.66,0.74,0.84,0.37,0.2,0.88,0.77,0.74,0.77,0.87,0.72,0.74,0.84,0.75,0.74,0.67,0.88,0.75,0.74,0.74,0.84,0.68
ENSPSMT00000021687_ENSPSMG00000013151,0.81,0.93,0.94,1.0,0.59,0.77,0.89,0.9,0.77,0.76,0.74,0.84,0.76,0.88,0.74,0.76,0.88,0.75,0.65,0.74,0.84,0.36,0.19,0.88,0.76,0.74,0.76,0.87,0.72,0.74,0.84,0.75,0.74,0.67,0.88,0.75,0.74,0.74,0.84,0.68
ENSPSMT00000021693_ENSPSMG00000013151,0.7,0.61,0.59,0.59,1.0,0.67,0.58,0.55,0.66,0.66,0.46,0.51,0.66,0.57,0.46,0.66,0.57,0.65,0.58,0.46,0.51,0.22,0.2,0.57,0.66,0.46,0.66,0.56,0.45,0.64,0.51,0.65,0.46,0.72,0.57,0.65,0.46,0.46,0.51,0.59
ENSMICT00000041362_ENSMICG00000006391,0.92,0.8,0.78,0.77,0.67,1.0,0.81,0.78,0.91,0.91,0.63,0.72,0.91,0.79,0.63,0.91,0.79,0.9,0.79,0.63,0.72,0.32,0.2,0.79,0.91,0.63,0.91,0.77,0.61,0.89,0.72,0.89,0.63,0.8,0.79,0.89,0.63,0.63,0.72,0.81
ENSMICT00000031520_ENSMICG00000006391,0.8,0.92,0.89,0.89,0.58,0.81,1.0,0.9,0.79,0.79,0.73,0.83,0.79,0.91,0.73,0.79,0.91,0.77,0.68,0.73,0.83,0.39,0.22,0.9,0.79,0.73,0.79,0.89,0.7,0.76,0.83,0.77,0.73,0.69,0.9,0.77,0.73,0.73,0.83,0.7
ENSMICT00000006394_ENSMICG00000006391,0.77,0.89,0.9,0.9,0.55,0.78,0.9,1.0,0.76,0.76,0.74,0.84,0.76,0.88,0.75,0.76,0.88,0.75,0.65,0.74,0.84,0.36,0.19,0.88,0.76,0.74,0.76,0.86,0.72,0.74,0.84,0.75,0.74,0.67,0.88,0.75,0.74,0.74,0.84,0.67
ENSOGAT00000032899_ENSOGAG00000029651,0.91,0.79,0.77,0.77,0.66,0.91,0.79,0.76,1.0,0.91,0.63,0.72,0.91,0.79,0.63,0.91,0.79,0.89,0.79,0.63,0.72,0.32,0.2,0.79,0.91,0.63,0.91,0.77,0.61,0.89,0.72,0.89,0.63,0.8,0.79,0.89,0.63,0.63,0.72,0.81
ENSPTRT00000108360_ENSPTRG00000021890,0.91,0.79,0.77,0.76,0.66,0.91,0.79,0.76,0.91,1.0,0.65,0.74,0.93,0.81,0.65,0.93,0.81,0.92,0.81,0.65,0.74,0.33,0.2,0.81,0.93,0.65,0.93,0.79,0.63,0.91,0.74,0.91,0.65,0.82,0.8,0.91,0.65,0.65,0.74,0.83
ENSPTRT00000102371_ENSPTRG00000021890,0.64,0.73,0.74,0.74,0.46,0.63,0.73,0.74,0.63,0.65,1.0,0.82,0.65,0.75,0.93,0.65,0.75,0.64,0.55,0.93,0.81,0.3,0.13,0.75,0.65,0.93,0.65,0.73,0.7,0.63,0.81,0.63,0.93,0.56,0.74,0.63,0.93,0.93,0.81,0.57
ENSPTRT00000040676_ENSPTRG00000021890,0.72,0.83,0.84,0.84,0.51,0.72,0.83,0.84,0.72,0.74,0.82,1.0,0.74,0.85,0.82,0.74,0.85,0.73,0.62,0.81,0.93,0.36,0.18,0.85,0.74,0.81,0.74,0.83,0.79,0.72,0.92,0.72,0.81,0.64,0.84,0.72,0.81,0.81,0.92,0.65
ENSPPAT00000032442_ENSPPAG00000028117,0.91,0.79,0.77,0.76,0.66,0.91,0.79,0.76,0.91,0.93,0.65,0.74,1.0,0.81,0.65,0.93,0.81,0.92,0.81,0.65,0.74,0.33,0.2,0.81,0.93,0.65,0.93,0.79,0.63,0.91,0.74,0.91,0.65,0.82,0.8,0.91,0.65,0.65,0.74,0.83
ENSPPAT00000032454_ENSPPAG00000028117,0.79,0.91,0.88,0.88,0.57,0.79,0.91,0.88,0.79,0.81,0.75,0.85,0.81,1.0,0.75,0.81,0.93,0.79,0.7,0.75,0.85,0.4,0.22,0.93,0.81,0.75,0.81,0.91,0.72,0.78,0.84,0.79,0.74,0.71,0.92,0.79,0.74,0.74,0.84,0.72
ENSPPAT00000032461_ENSPPAG00000028117,0.64,0.73,0.74,0.74,0.46,0.63,0.73,0.75,0.63,0.65,0.93,0.82,0.65,0.75,1.0,0.65,0.75,0.64,0.55,0.93,0.81,0.3,0.13,0.75,0.65,0.93,0.65,0.73,0.7,0.63,0.81,0.63,0.93,0.57,0.74,0.63,0.93,0.93,0.81,0.57
ENST00000376207_ENSG00000049768,0.91,0.79,0.77,0.76,0.66,0.91,0.79,0.76,0.91,0.93,0.65,0.74,0.93,0.81,0.65,1.0,0.81,0.92,0.82,0.65,0.74,0.33,0.2,0.81,0.93,0.65,0.93,0.79,0.63,0.91,0.74,0.91,0.65,0.82,0.8,0.91,0.65,0.65,0.74,0.83
ENST00000376199_ENSG00000049768,0.79,0.91,0.88,0.88,0.57,0.79,0.91,0.88,0.79,0.81,0.75,0.85,0.81,0.93,0.75,0.81,1.0,0.8,0.7,0.75,0.85,0.4,0.22,0.93,0.81,0.75,0.81,0.91,0.72,0.78,0.84,0.79,0.74,0.71,0.92,0.79,0.74,0.74,0.84,0.72
