,YNL092W_mRNA_YNL092W,YMR209C_mRNA_YMR209C,FBtr0070318_FBgn0023522,FBtr0332587_FBgn0023522,FBtr0070320_FBgn0023522,FBtr0070319_FBgn0023522,FBtr0332588_FBgn0023522,Y48E1C.2.1_WBGene00013015,Y48E1C.2.2_WBGene00013015,ENSEBUT00000027123_ENSEBUG00000016343,ENSEBUT00000027128_ENSEBUG00000016343
YNL092W_mRNA_YNL092W,1.0,0.54,0.2,0.23,0.23,0.2,0.23,0.25,0.25,0.21,0.22
YMR209C_mRNA_YMR209C,0.54,1.0,0.18,0.21,0.21,0.18,0.21,0.22,0.22,0.19,0.2
FBtr0070318_FBgn0023522,0.2,0.18,1.0,0.74,0.74,0.86,0.74,0.43,0.43,0.56,0.5
FBtr0332587_FBgn0023522,0.23,0.21,0.74,1.0,0.84,0.73,0.84,0.44,0.44,0.5,0.51
FBtr0070320_FBgn0023522,0.23,0.21,0.74,0.84,1.0,0.73,0.84,0.44,0.44,0.5,0.51
FBtr0070319_FBgn0023522,0.2,0.18,0.86,0.73,0.73,1.0,0.73,0.43,0.43,0.59,0.52
FBtr0332588_FBgn0023522,0.23,0.21,0.74,0.84,0.84,0.73,1.0,0.44,0.44,0.5,0.51
Y48E1C.2.1_WBGene00013015,0.25,0.22,0.43,0.44,0.44,0.43,0.44,1.0,0.96,0.41,0.47
Y48E1C.2.2_WBGene00013015,0.25,0.22,0.43,0.44,0.44,0.43,0.44,0.96,1.0,0.41,0.47
ENSEBUT00000027123_ENSEBUG00000016343,0.21,0.19,0.56,0.5,0.5,0.59,0.5,0.41,0.41,1.0,0.8
ENSEBUT00000027128_ENSEBUG00000016343,0.22,0.2,0.5,0.51,0.51,0.52,0.51,0.47,0.47,0.8,1.0
