,ENSPCIT00000053713_ENSPCIG00000025838,ENSPCIT00000042991_ENSPCIG00000025838,ENSVURT00010027743_ENSVURG00010018674,ENSMEUT00000006501_ENSMEUG00000006491,ENSSHAT00000013765_ENSSHAG00000011667,ENSMODT00000042915_ENSMODG00000007814,ENSMODT00000009896_ENSMODG00000007814,ENSMMUT00000011972_ENSMMUG00000008564,ENSMFAT00000027274_ENSMFAG00000033899,ENSMNET00000043371_ENSMNEG00000033455,ENSCSAT00000002599_ENSCSAG00000004568,ENSMLET00000046113_ENSMLEG00000035517,ENSCATT00000054045_ENSCATG00000038112,ENSPANT00000004833_ENSPANG00000020468,ENSTGET00000042553_ENSTGEG00000028549,ENSRROT00000029382_ENSRROG00000026348,ENSRBIT00000040472_ENSRBIG00000032338,ENSPTET00000045627_ENSPTEG00000031816
ENSPCIT00000053713_ENSPCIG00000025838,1.0,0.79,0.69,0.29,0.56,0.65,0.68,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6
ENSPCIT00000042991_ENSPCIG00000025838,0.79,1.0,0.83,0.34,0.67,0.68,0.82,0.74,0.74,0.74,0.61,0.73,0.73,0.73,0.73,0.73,0.73,0.73
ENSVURT00010027743_ENSVURG00010018674,0.69,0.83,1.0,0.39,0.71,0.72,0.87,0.78,0.78,0.78,0.6,0.78,0.78,0.78,0.78,0.78,0.78,0.83
ENSMEUT00000006501_ENSMEUG00000006491,0.29,0.34,0.39,1.0,0.3,0.35,0.41,0.32,0.32,0.32,0.2,0.32,0.32,0.32,0.32,0.32,0.32,0.32
ENSSHAT00000013765_ENSSHAG00000011667,0.56,0.67,0.71,0.3,1.0,0.63,0.75,0.67,0.67,0.67,0.52,0.67,0.66,0.66,0.66,0.66,0.66,0.66
ENSMODT00000042915_ENSMODG00000007814,0.65,0.68,0.72,0.35,0.63,1.0,0.84,0.64,0.64,0.64,0.5,0.64,0.64,0.64,0.64,0.64,0.64,0.64
ENSMODT00000009896_ENSMODG00000007814,0.68,0.82,0.87,0.41,0.75,0.84,1.0,0.78,0.78,0.78,0.6,0.78,0.78,0.78,0.78,0.78,0.78,0.78
ENSMMUT00000011972_ENSMMUG00000008564,0.6,0.74,0.78,0.32,0.67,0.64,0.78,1.0,1.0,1.0,0.74,1.0,1.0,1.0,1.0,1.0,1.0,0.95
ENSMFAT00000027274_ENSMFAG00000033899,0.6,0.74,0.78,0.32,0.67,0.64,0.78,1.0,1.0,1.0,0.74,1.0,1.0,1.0,1.0,1.0,1.0,0.95
ENSMNET00000043371_ENSMNEG00000033455,0.6,0.74,0.78,0.32,0.67,0.64,0.78,1.0,1.0,1.0,0.74,1.0,1.0,1.0,1.0,1.0,1.0,0.95
ENSCSAT00000002599_ENSCSAG00000004568,0.5,0.61,0.6,0.2,0.52,0.5,0.6,0.74,0.74,0.74,1.0,0.74,0.74,0.74,0.74,0.74,0.74,0.7
ENSMLET00000046113_ENSMLEG00000035517,0.6,0.73,0.78,0.32,0.67,0.64,0.78,1.0,1.0,1.0,0.74,1.0,1.0,1.0,1.0,1.0,1.0,0.95
ENSCATT00000054045_ENSCATG00000038112,0.6,0.73,0.78,0.32,0.66,0.64,0.78,1.0,1.0,1.0,0.74,1.0,1.0,1.0,1.0,1.0,1.0,0.95
ENSPANT00000004833_ENSPANG00000020468,0.6,0.73,0.78,0.32,0.66,0.64,0.78,1.0,1.0,1.0,0.74,1.0,1.0,1.0,1.0,1.0,1.0,0.95
ENSTGET00000042553_ENSTGEG00000028549,0.6,0.73,0.78,0.32,0.66,0.64,0.78,1.0,1.0,1.0,0.74,1.0,1.0,1.0,1.0,1.0,1.0,0.95
ENSRROT00000029382_ENSRROG00000026348,0.6,0.73,0.78,0.32,0.66,0.64,0.78,1.0,1.0,1.0,0.74,1.0,1.0,1.0,1.0,1.0,1.0,0.95
ENSRBIT00000040472_ENSRBIG00000032338,0.6,0.73,0.78,0.32,0.66,0.64,0.78,1.0,1.0,1.0,0.74,1.0,1.0,1.0,1.0,1.0,1.0,0.95
ENSPTET00000045627_ENSPTEG00000031816,0.6,0.73,0.83,0.32,0.66,0.64,0.78,0.95,0.95,0.95,0.7,0.95,0.95,0.95,0.95,0.95,0.95,1.0
