,ENSXMAT00000034685_ENSXMAG00000026143,ENSXCOT00000009836_ENSXCOG00000007393,ENSPFOT00000028059_ENSPFOG00000004248,ENSPFOT00000004211_ENSPFOG00000004248,ENSPMET00000000021_ENSPMEG00000011804,ENSPMET00000016626_ENSPMEG00000011804,ENSPMET00000030796_ENSPMEG00000011804,ENSPLAT00000003838_ENSPLAG00000010328,ENSPLAT00000003856_ENSPLAG00000010328,ENSGAFT00000018534_ENSGAFG00000012422,ENSGAFT00000018540_ENSGAFG00000012422,ENSPRET00000004043_ENSPREG00000002835,ENSFHET00000020223_ENSFHEG00000014317,ENSFHET00000032160_ENSFHEG00000014317,ENSCVAT00000016935_ENSCVAG00000012305,ENSCVAT00000029470_ENSCVAG00000012305,ENSCVAT00000029472_ENSCVAG00000012305,ENSKMAT00000008892_ENSKMAG00000006588
ENSXMAT00000034685_ENSXMAG00000026143,1.0,0.51,0.8,0.96,0.55,0.84,0.96,0.96,0.55,0.96,0.63,0.55,0.57,0.82,0.81,0.94,0.69,0.94
ENSXCOT00000009836_ENSXCOG00000007393,0.51,1.0,0.52,0.5,0.38,0.43,0.5,0.5,0.38,0.5,0.37,0.35,0.36,0.47,0.45,0.49,0.43,0.49
ENSPFOT00000028059_ENSPFOG00000004248,0.8,0.52,1.0,0.8,0.47,0.71,0.8,0.8,0.47,0.79,0.52,0.47,0.48,0.69,0.67,0.78,0.58,0.78
ENSPFOT00000004211_ENSPFOG00000004248,0.96,0.5,0.8,1.0,0.55,0.85,0.96,0.96,0.55,0.96,0.63,0.55,0.56,0.82,0.81,0.94,0.69,0.94
ENSPMET00000000021_ENSPMEG00000011804,0.55,0.38,0.47,0.55,1.0,0.48,0.55,0.55,0.96,0.55,0.61,0.73,0.7,0.55,0.54,0.54,0.54,0.54
ENSPMET00000016626_ENSPMEG00000011804,0.84,0.43,0.71,0.85,0.48,1.0,0.85,0.85,0.48,0.84,0.54,0.48,0.49,0.72,0.71,0.82,0.6,0.82
ENSPMET00000030796_ENSPMEG00000011804,0.96,0.5,0.8,0.96,0.55,0.85,1.0,0.96,0.55,0.96,0.63,0.55,0.56,0.82,0.81,0.94,0.69,0.94
ENSPLAT00000003838_ENSPLAG00000010328,0.96,0.5,0.8,0.96,0.55,0.85,0.96,1.0,0.55,0.96,0.63,0.55,0.57,0.82,0.81,0.94,0.69,0.94
ENSPLAT00000003856_ENSPLAG00000010328,0.55,0.38,0.47,0.55,0.96,0.48,0.55,0.55,1.0,0.55,0.61,0.73,0.7,0.55,0.54,0.54,0.54,0.54
ENSGAFT00000018534_ENSGAFG00000012422,0.96,0.5,0.79,0.96,0.55,0.84,0.96,0.96,0.55,1.0,0.63,0.55,0.57,0.82,0.8,0.94,0.69,0.94
ENSGAFT00000018540_ENSGAFG00000012422,0.63,0.37,0.52,0.63,0.61,0.54,0.63,0.63,0.61,0.63,1.0,0.6,0.58,0.63,0.61,0.61,0.61,0.61
ENSPRET00000004043_ENSPREG00000002835,0.55,0.35,0.47,0.55,0.73,0.48,0.55,0.55,0.73,0.55,0.6,1.0,0.83,0.55,0.54,0.54,0.54,0.54
ENSFHET00000020223_ENSFHEG00000014317,0.57,0.36,0.48,0.56,0.7,0.49,0.56,0.57,0.7,0.57,0.58,0.83,1.0,0.59,0.57,0.57,0.57,0.56
ENSFHET00000032160_ENSFHEG00000014317,0.82,0.47,0.69,0.82,0.55,0.72,0.82,0.82,0.55,0.82,0.63,0.55,0.59,1.0,0.82,0.82,0.7,0.81
ENSCVAT00000016935_ENSCVAG00000012305,0.81,0.45,0.67,0.81,0.54,0.71,0.81,0.81,0.54,0.8,0.61,0.54,0.57,0.82,1.0,0.83,0.83,0.8
ENSCVAT00000029470_ENSCVAG00000012305,0.94,0.49,0.78,0.94,0.54,0.82,0.94,0.94,0.54,0.94,0.61,0.54,0.57,0.82,0.83,1.0,0.71,0.94
ENSCVAT00000029472_ENSCVAG00000012305,0.69,0.43,0.58,0.69,0.54,0.6,0.69,0.69,0.54,0.69,0.61,0.54,0.57,0.7,0.83,0.71,1.0,0.68
ENSKMAT00000008892_ENSKMAG00000006588,0.94,0.49,0.78,0.94,0.54,0.82,0.94,0.94,0.54,0.94,0.61,0.54,0.56,0.81,0.8,0.94,0.68,1.0
