,FBtr0300825_FBgn0039727,FBtr0085505_FBgn0039727,ENSCSAVT00000014655_ENSCSAVG00000008482,C25H3.11a.1_WBGene00016120,C25H3.11b.1_WBGene00016120,C25H3.11c.1_WBGene00016120,C25H3.11d.1_WBGene00016120,ENSEBUT00000019006_ENSEBUG00000011505,ENSCINT00000035877_ENSCING00000019204,ENSPMJT00000017884_ENSPMJG00000009438,ENSPMJT00000017885_ENSPMJG00000009438,ENSPMJT00000017886_ENSPMJG00000009438,ENSPMJT00000017903_ENSPMJG00000009438,ENSCCET00000009091_ENSCCEG00000000359,ENSCCET00000009147_ENSCCEG00000000359,ENSCCET00000009150_ENSCCEG00000000359,ENSCCET00000009175_ENSCCEG00000000359,ENSFALT00000010443_ENSFALG00000009972,ENSTGUT00000002581_ENSTGUG00000002472,ENSTGUT00000002583_ENSTGUG00000002472
FBtr0300825_FBgn0039727,1.0,0.28,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18
FBtr0085505_FBgn0039727,0.28,1.0,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
ENSCSAVT00000014655_ENSCSAVG00000008482,0.19,0.18,1.0,0.2,0.2,0.2,0.2,0.19,0.19,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
C25H3.11a.1_WBGene00016120,0.19,0.18,0.2,1.0,0.9,0.86,0.86,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19
C25H3.11b.1_WBGene00016120,0.19,0.18,0.2,0.9,1.0,0.86,0.86,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19
C25H3.11c.1_WBGene00016120,0.19,0.18,0.2,0.86,0.86,1.0,0.9,0.19,0.18,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.2
C25H3.11d.1_WBGene00016120,0.19,0.18,0.2,0.86,0.86,0.9,1.0,0.19,0.18,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.2
ENSEBUT00000019006_ENSEBUG00000011505,0.19,0.18,0.19,0.19,0.19,0.19,0.19,1.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.2,0.2
ENSCINT00000035877_ENSCING00000019204,0.2,0.18,0.19,0.2,0.2,0.18,0.18,0.23,1.0,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2
ENSPMJT00000017884_ENSPMJG00000009438,0.19,0.17,0.25,0.2,0.2,0.2,0.2,0.23,0.19,1.0,0.76,0.76,0.73,0.73,0.76,0.73,0.73,0.73,0.68,0.65
ENSPMJT00000017885_ENSPMJG00000009438,0.19,0.17,0.25,0.2,0.2,0.2,0.2,0.23,0.19,0.76,1.0,0.76,0.73,0.73,0.76,0.73,0.73,0.73,0.68,0.65
ENSPMJT00000017886_ENSPMJG00000009438,0.19,0.17,0.25,0.2,0.2,0.2,0.2,0.23,0.19,0.76,0.76,1.0,0.73,0.73,0.76,0.73,0.73,0.73,0.68,0.65
ENSPMJT00000017903_ENSPMJG00000009438,0.19,0.17,0.25,0.2,0.2,0.2,0.2,0.23,0.19,0.73,0.73,0.73,1.0,0.71,0.73,0.71,0.71,0.71,0.67,0.63
ENSCCET00000009091_ENSCCEG00000000359,0.19,0.17,0.25,0.2,0.2,0.2,0.2,0.23,0.19,0.73,0.73,0.73,0.71,1.0,0.73,0.76,0.76,0.76,0.71,0.65
ENSCCET00000009147_ENSCCEG00000000359,0.19,0.17,0.25,0.2,0.2,0.2,0.2,0.23,0.19,0.76,0.76,0.76,0.73,0.73,1.0,0.73,0.73,0.73,0.68,0.65
ENSCCET00000009150_ENSCCEG00000000359,0.19,0.17,0.25,0.2,0.2,0.2,0.2,0.23,0.19,0.73,0.73,0.73,0.71,0.76,0.73,1.0,0.76,0.76,0.71,0.65
ENSCCET00000009175_ENSCCEG00000000359,0.19,0.17,0.25,0.2,0.2,0.2,0.2,0.23,0.19,0.73,0.73,0.73,0.71,0.76,0.73,0.76,1.0,0.76,0.71,0.65
ENSFALT00000010443_ENSFALG00000009972,0.19,0.17,0.25,0.2,0.2,0.2,0.2,0.23,0.19,0.73,0.73,0.73,0.71,0.76,0.73,0.76,0.76,1.0,0.71,0.65
ENSTGUT00000002581_ENSTGUG00000002472,0.19,0.17,0.25,0.2,0.2,0.21,0.21,0.2,0.19,0.68,0.68,0.68,0.67,0.71,0.68,0.71,0.71,0.71,1.0,0.69
ENSTGUT00000002583_ENSTGUG00000002472,0.18,0.17,0.25,0.19,0.19,0.2,0.2,0.2,0.2,0.65,0.65,0.65,0.63,0.65,0.65,0.65,0.65,0.65,0.69,1.0
