,F55C9.7.1_WBGene00010104,H11E01.1.1_WBGene00019186,Y113G7B.8.1_WBGene00013759,F55C9.8.1_WBGene00010105,C43D7.9.1_WBGene00008071,F55C9.13.1_WBGene00044197,F55C9.14.1_WBGene00077663,C43D7.2.1_WBGene00008066,F55C9.10.1_WBGene00010106,F55C9.11.1_WBGene00010107,C43D7.8.1_WBGene00008070,F55C9.4.1_WBGene00010101
F55C9.7.1_WBGene00010104,1.0,0.65,0.64,0.68,0.67,0.67,0.72,0.58,0.66,0.57,0.65,0.7
H11E01.1.1_WBGene00019186,0.65,1.0,0.61,0.66,0.64,0.65,0.66,0.56,0.64,0.56,0.56,0.63
Y113G7B.8.1_WBGene00013759,0.64,0.61,1.0,0.66,0.66,0.66,0.69,0.64,0.66,0.58,0.64,0.68
F55C9.8.1_WBGene00010105,0.68,0.66,0.66,1.0,0.94,0.95,0.8,0.72,0.83,0.69,0.66,0.73
C43D7.9.1_WBGene00008071,0.67,0.64,0.66,0.94,1.0,0.94,0.8,0.71,0.82,0.68,0.65,0.73
F55C9.13.1_WBGene00044197,0.67,0.65,0.66,0.95,0.94,1.0,0.8,0.71,0.83,0.69,0.66,0.72
F55C9.14.1_WBGene00077663,0.72,0.66,0.69,0.8,0.8,0.8,1.0,0.67,0.77,0.63,0.7,0.79
C43D7.2.1_WBGene00008066,0.58,0.56,0.64,0.72,0.71,0.71,0.67,1.0,0.69,0.55,0.54,0.6
F55C9.10.1_WBGene00010106,0.66,0.64,0.66,0.83,0.82,0.83,0.77,0.69,1.0,0.69,0.68,0.71
F55C9.11.1_WBGene00010107,0.57,0.56,0.58,0.69,0.68,0.69,0.63,0.55,0.69,1.0,0.86,0.6
C43D7.8.1_WBGene00008070,0.65,0.56,0.64,0.66,0.65,0.66,0.7,0.54,0.68,0.86,1.0,0.67
F55C9.4.1_WBGene00010101,0.7,0.63,0.68,0.73,0.73,0.72,0.79,0.6,0.71,0.6,0.67,1.0
