,ENSMICT00000033679_ENSMICG00000000600,ENSMICT00000000600_ENSMICG00000000600,ENSPSMT00000002417_ENSPSMG00000001557,ENSPPAT00000041328_ENSPPAG00000032443,ENSPPAT00000041338_ENSPPAG00000032443,ENSPTRT00000078187_ENSPTRG00000046546,ENSGGOT00000067134_ENSGGOG00000042302,ENSGGOT00000052167_ENSGGOG00000042302,ENSGGOT00000062489_ENSGGOG00000042302,ENST00000344545_ENSG00000170777,ENST00000381428_ENSG00000170777,ENST00000314556_ENSG00000170777,ENSPPYT00000022414_ENSPPYG00000019229,ENSCSAT00000018577_ENSCSAG00000018487,ENSMMUT00000003070_ENSMMUG00000002175,ENSMFAT00000010229_ENSMFAG00000034371,ENSMFAT00000010232_ENSMFAG00000034371,ENSMNET00000042956_ENSMNEG00000033267,ENSMNET00000042958_ENSMNEG00000033267,ENSPANT00000034354_ENSPANG00000009584,ENSPANT00000013111_ENSPANG00000009584,ENSMLET00000038940_ENSMLEG00000031912,ENSMLET00000038943_ENSMLEG00000031912,ENSCATT00000058829_ENSCATG00000040180,ENSCATT00000058835_ENSCATG00000040180,ENSRROT00000061180_ENSRROG00000041822,ENSRROT00000061185_ENSRROG00000041822,ENSRBIT00000039427_ENSRBIG00000031891,ENSRBIT00000039428_ENSRBIG00000031891
ENSMICT00000033679_ENSMICG00000000600,1.0,0.38,0.37,0.57,0.36,0.36,0.57,0.36,0.36,0.35,0.36,0.57,0.35,0.35,0.3,0.57,0.36,0.57,0.36,0.57,0.36,0.57,0.36,0.57,0.36,0.57,0.36,0.57,0.36
ENSMICT00000000600_ENSMICG00000000600,0.38,1.0,0.79,0.42,0.78,0.77,0.42,0.78,0.43,0.42,0.78,0.42,0.42,0.42,0.34,0.42,0.78,0.42,0.78,0.42,0.78,0.42,0.78,0.42,0.78,0.42,0.78,0.42,0.78
ENSPSMT00000002417_ENSPSMG00000001557,0.37,0.79,1.0,0.42,0.78,0.78,0.42,0.78,0.43,0.42,0.78,0.42,0.42,0.42,0.34,0.42,0.78,0.42,0.78,0.42,0.78,0.42,0.78,0.42,0.78,0.42,0.78,0.42,0.78
ENSPPAT00000041328_ENSPPAG00000032443,0.57,0.42,0.42,1.0,0.44,0.44,1.0,0.44,0.44,0.43,0.44,1.0,0.43,0.42,0.35,0.99,0.43,0.99,0.43,0.99,0.43,0.99,0.43,0.99,0.43,0.99,0.43,0.99,0.43
ENSPPAT00000041338_ENSPPAG00000032443,0.36,0.78,0.78,0.44,1.0,0.79,0.44,0.8,0.45,0.43,0.8,0.44,0.43,0.43,0.35,0.43,0.79,0.43,0.79,0.43,0.79,0.43,0.79,0.43,0.79,0.43,0.79,0.43,0.79
ENSPTRT00000078187_ENSPTRG00000046546,0.36,0.77,0.78,0.44,0.79,1.0,0.44,0.79,0.45,0.44,0.79,0.44,0.44,0.44,0.36,0.44,0.79,0.44,0.79,0.44,0.79,0.44,0.79,0.44,0.79,0.44,0.79,0.44,0.79
ENSGGOT00000067134_ENSGGOG00000042302,0.57,0.42,0.42,1.0,0.44,0.44,1.0,0.44,0.44,0.43,0.44,1.0,0.43,0.43,0.35,0.99,0.43,0.99,0.43,0.99,0.43,0.99,0.43,0.99,0.43,0.99,0.43,0.99,0.43
ENSGGOT00000052167_ENSGGOG00000042302,0.36,0.78,0.78,0.44,0.8,0.79,0.44,1.0,0.45,0.43,0.8,0.44,0.43,0.43,0.35,0.43,0.79,0.43,0.79,0.43,0.79,0.43,0.79,0.43,0.79,0.43,0.79,0.43,0.79
ENSGGOT00000062489_ENSGGOG00000042302,0.36,0.43,0.43,0.44,0.45,0.45,0.44,0.45,1.0,0.44,0.45,0.44,0.44,0.43,0.36,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
ENST00000344545_ENSG00000170777,0.35,0.42,0.42,0.43,0.43,0.44,0.43,0.43,0.44,1.0,0.43,0.43,1.0,0.79,0.56,0.42,0.43,0.42,0.43,0.42,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
ENST00000381428_ENSG00000170777,0.36,0.78,0.78,0.44,0.8,0.79,0.44,0.8,0.45,0.43,1.0,0.44,0.43,0.43,0.35,0.43,0.79,0.43,0.79,0.43,0.79,0.43,0.79,0.43,0.79,0.43,0.79,0.43,0.79
ENST00000314556_ENSG00000170777,0.57,0.42,0.42,1.0,0.44,0.44,1.0,0.44,0.44,0.43,0.44,1.0,0.43,0.43,0.35,0.99,0.43,0.99,0.43,0.99,0.43,0.99,0.43,0.99,0.43,0.99,0.43,0.99,0.43
ENSPPYT00000022414_ENSPPYG00000019229,0.35,0.42,0.42,0.43,0.43,0.44,0.43,0.43,0.44,1.0,0.43,0.43,1.0,0.79,0.56,0.42,0.43,0.42,0.43,0.42,0.43,0.42,0.43,0.42,0.43,0.42,0.43,0.42,0.43
ENSCSAT00000018577_ENSCSAG00000018487,0.35,0.42,0.42,0.42,0.43,0.44,0.43,0.43,0.43,0.79,0.43,0.43,0.79,1.0,0.57,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
ENSMMUT00000003070_ENSMMUG00000002175,0.3,0.34,0.34,0.35,0.35,0.36,0.35,0.35,0.36,0.56,0.35,0.35,0.56,0.57,1.0,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.36,0.35,0.36,0.35,0.36,0.35,0.36
ENSMFAT00000010229_ENSMFAG00000034371,0.57,0.42,0.42,0.99,0.43,0.44,0.99,0.43,0.44,0.42,0.43,0.99,0.42,0.43,0.36,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44
ENSMFAT00000010232_ENSMFAG00000034371,0.36,0.78,0.78,0.43,0.79,0.79,0.43,0.79,0.44,0.43,0.79,0.43,0.43,0.43,0.36,0.44,1.0,0.44,0.8,0.44,0.8,0.44,0.8,0.44,0.8,0.44,0.8,0.44,0.8
ENSMNET00000042956_ENSMNEG00000033267,0.57,0.42,0.42,0.99,0.43,0.44,0.99,0.43,0.44,0.42,0.43,0.99,0.42,0.43,0.36,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44
ENSMNET00000042958_ENSMNEG00000033267,0.36,0.78,0.78,0.43,0.79,0.79,0.43,0.79,0.44,0.43,0.79,0.43,0.43,0.43,0.36,0.44,0.8,0.44,1.0,0.44,0.8,0.44,0.8,0.44,0.8,0.44,0.8,0.44,0.8
ENSPANT00000034354_ENSPANG00000009584,0.57,0.42,0.42,0.99,0.43,0.44,0.99,0.43,0.44,0.42,0.43,0.99,0.42,0.43,0.36,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44
ENSPANT00000013111_ENSPANG00000009584,0.36,0.78,0.78,0.43,0.79,0.79,0.43,0.79,0.44,0.43,0.79,0.43,0.43,0.43,0.36,0.44,0.8,0.44,0.8,0.44,1.0,0.44,0.8,0.44,0.8,0.44,0.8,0.44,0.8
ENSMLET00000038940_ENSMLEG00000031912,0.57,0.42,0.42,0.99,0.43,0.44,0.99,0.43,0.44,0.43,0.43,0.99,0.42,0.43,0.35,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44
ENSMLET00000038943_ENSMLEG00000031912,0.36,0.78,0.78,0.43,0.79,0.79,0.43,0.79,0.44,0.43,0.79,0.43,0.43,0.43,0.36,0.44,0.8,0.44,0.8,0.44,0.8,0.44,1.0,0.44,0.8,0.44,0.8,0.44,0.8
ENSCATT00000058829_ENSCATG00000040180,0.57,0.42,0.42,0.99,0.43,0.44,0.99,0.43,0.44,0.43,0.43,0.99,0.42,0.43,0.35,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44
ENSCATT00000058835_ENSCATG00000040180,0.36,0.78,0.78,0.43,0.79,0.79,0.43,0.79,0.44,0.43,0.79,0.43,0.43,0.43,0.36,0.44,0.8,0.44,0.8,0.44,0.8,0.44,0.8,0.44,1.0,0.44,0.8,0.44,0.8
ENSRROT00000061180_ENSRROG00000041822,0.57,0.42,0.42,0.99,0.43,0.44,0.99,0.43,0.44,0.43,0.43,0.99,0.42,0.43,0.35,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44
ENSRROT00000061185_ENSRROG00000041822,0.36,0.78,0.78,0.43,0.79,0.79,0.43,0.79,0.44,0.43,0.79,0.43,0.43,0.43,0.36,0.44,0.8,0.44,0.8,0.44,0.8,0.44,0.8,0.44,0.8,0.44,1.0,0.44,0.8
ENSRBIT00000039427_ENSRBIG00000031891,0.57,0.42,0.42,0.99,0.43,0.44,0.99,0.43,0.44,0.43,0.43,0.99,0.42,0.43,0.35,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44,1.0,0.44
ENSRBIT00000039428_ENSRBIG00000031891,0.36,0.78,0.78,0.43,0.79,0.79,0.43,0.79,0.44,0.43,0.79,0.43,0.43,0.43,0.36,0.44,0.8,0.44,0.8,0.44,0.8,0.44,0.8,0.44,0.8,0.44,0.8,0.44,1.0
