,FBtr0113210_FBgn0037737,FBtr0082126_FBgn0037737,R186.7.1_WBGene00011308,ENSVURT00010014253_ENSVURG00010009670,ENSVURT00010014255_ENSVURG00010009670,ENSVURT00010014264_ENSVURG00010009670,ENSPCIT00000042843_ENSPCIG00000025750,ENSPCIT00000042844_ENSPCIG00000025750,ENSPCIT00000067590_ENSPCIG00000025750,ENSPCIT00000068430_ENSPCIG00000025750,ENSMEUT00000012592_ENSMEUG00000012561,ENSMODT00000015219_ENSMODG00000011926,ENSMODT00000061125_ENSMODG00000011926,ENSMODT00000058049_ENSMODG00000011926,ENSMODT00000070598_ENSMODG00000011926,ENSDNOT00000034236_ENSDNOG00000035866,ENSCHOT00000012067_ENSCHOG00000012025,ENSMSIT00000006397_ENSMSIG00000004589,ENSMUST00000021381_ENSMUSG00000020994
FBtr0113210_FBgn0037737,1.0,0.83,0.38,0.25,0.41,0.41,0.25,0.26,0.41,0.41,0.25,0.25,0.26,0.41,0.41,0.28,0.3,0.25,0.25
FBtr0082126_FBgn0037737,0.83,1.0,0.39,0.25,0.42,0.42,0.25,0.26,0.42,0.42,0.25,0.25,0.26,0.42,0.42,0.29,0.3,0.25,0.25
R186.7.1_WBGene00011308,0.38,0.39,1.0,0.22,0.39,0.39,0.22,0.23,0.39,0.39,0.22,0.22,0.23,0.39,0.39,0.26,0.28,0.22,0.22
ENSVURT00010014253_ENSVURG00010009670,0.25,0.25,0.22,1.0,0.52,0.46,0.91,0.85,0.52,0.47,0.61,0.91,0.82,0.52,0.47,0.27,0.52,0.88,0.88
ENSVURT00010014255_ENSVURG00010009670,0.41,0.42,0.39,0.52,1.0,0.71,0.52,0.45,0.9,0.74,0.41,0.52,0.42,0.9,0.74,0.3,0.43,0.51,0.51
ENSVURT00010014264_ENSVURG00010009670,0.41,0.42,0.39,0.46,0.71,1.0,0.46,0.41,0.71,0.85,0.39,0.46,0.39,0.71,0.85,0.29,0.41,0.45,0.45
ENSPCIT00000042843_ENSPCIG00000025750,0.25,0.25,0.22,0.91,0.52,0.46,1.0,0.85,0.52,0.47,0.61,0.91,0.82,0.52,0.47,0.27,0.52,0.88,0.88
ENSPCIT00000042844_ENSPCIG00000025750,0.26,0.26,0.23,0.85,0.45,0.41,0.85,1.0,0.45,0.42,0.56,0.85,0.78,0.45,0.42,0.28,0.5,0.82,0.82
ENSPCIT00000067590_ENSPCIG00000025750,0.41,0.42,0.39,0.52,0.9,0.71,0.52,0.45,1.0,0.74,0.41,0.52,0.42,0.9,0.74,0.3,0.43,0.51,0.51
ENSPCIT00000068430_ENSPCIG00000025750,0.41,0.42,0.39,0.47,0.74,0.85,0.47,0.42,0.74,1.0,0.4,0.47,0.4,0.74,0.96,0.29,0.42,0.47,0.47
ENSMEUT00000012592_ENSMEUG00000012561,0.25,0.25,0.22,0.61,0.41,0.39,0.61,0.56,0.41,0.4,1.0,0.61,0.54,0.41,0.4,0.25,0.4,0.58,0.58
ENSMODT00000015219_ENSMODG00000011926,0.25,0.25,0.22,0.91,0.52,0.46,0.91,0.85,0.52,0.47,0.61,1.0,0.83,0.52,0.48,0.27,0.52,0.88,0.88
ENSMODT00000061125_ENSMODG00000011926,0.26,0.26,0.23,0.82,0.42,0.39,0.82,0.78,0.42,0.4,0.54,0.83,1.0,0.43,0.4,0.28,0.56,0.79,0.79
ENSMODT00000058049_ENSMODG00000011926,0.41,0.42,0.39,0.52,0.9,0.71,0.52,0.45,0.9,0.74,0.41,0.52,0.43,1.0,0.74,0.3,0.43,0.51,0.51
ENSMODT00000070598_ENSMODG00000011926,0.41,0.42,0.39,0.47,0.74,0.85,0.47,0.42,0.74,0.96,0.4,0.48,0.4,0.74,1.0,0.29,0.42,0.47,0.47
ENSDNOT00000034236_ENSDNOG00000035866,0.28,0.29,0.26,0.27,0.3,0.29,0.27,0.28,0.3,0.29,0.25,0.27,0.28,0.3,0.29,1.0,0.32,0.27,0.27
ENSCHOT00000012067_ENSCHOG00000012025,0.3,0.3,0.28,0.52,0.43,0.41,0.52,0.5,0.43,0.42,0.4,0.52,0.56,0.43,0.42,0.32,1.0,0.52,0.52
ENSMSIT00000006397_ENSMSIG00000004589,0.25,0.25,0.22,0.88,0.51,0.45,0.88,0.82,0.51,0.47,0.58,0.88,0.79,0.51,0.47,0.27,0.52,1.0,0.91
ENSMUST00000021381_ENSMUSG00000020994,0.25,0.25,0.22,0.88,0.51,0.45,0.88,0.82,0.51,0.47,0.58,0.88,0.79,0.51,0.47,0.27,0.52,0.91,1.0
