,FBtr0074635_FBgn0030960,Y69A2AR.7a.1_WBGene00022078,Y69A2AR.7b.1_WBGene00022078,Y69A2AR.7b.2_WBGene00022078,Y69A2AR.7b.3_WBGene00022078,Y69A2AR.7c.1_WBGene00022078,Y69A2AR.7c.2_WBGene00022078,Y69A2AR.7c.3_WBGene00022078,ENSIPUT00000028740_ENSIPUG00000018700,ENSEEET00000029301_ENSEEEG00000013894
FBtr0074635_FBgn0030960,1.0,0.11,0.07,0.07,0.07,0.1,0.1,0.1,0.25,0.25
Y69A2AR.7a.1_WBGene00022078,0.11,1.0,0.7,0.7,0.7,0.61,0.61,0.61,0.22,0.22
Y69A2AR.7b.1_WBGene00022078,0.07,0.7,1.0,0.94,0.94,0.78,0.78,0.78,0.2,0.2
Y69A2AR.7b.2_WBGene00022078,0.07,0.7,0.94,1.0,0.94,0.78,0.78,0.78,0.2,0.2
Y69A2AR.7b.3_WBGene00022078,0.07,0.7,0.94,0.94,1.0,0.78,0.78,0.78,0.2,0.2
Y69A2AR.7c.1_WBGene00022078,0.1,0.61,0.78,0.78,0.78,1.0,1.0,1.0,0.21,0.21
Y69A2AR.7c.2_WBGene00022078,0.1,0.61,0.78,0.78,0.78,1.0,1.0,1.0,0.21,0.21
Y69A2AR.7c.3_WBGene00022078,0.1,0.61,0.78,0.78,0.78,1.0,1.0,1.0,0.21,0.21
ENSIPUT00000028740_ENSIPUG00000018700,0.25,0.22,0.2,0.2,0.2,0.21,0.21,0.21,1.0,0.87
ENSEEET00000029301_ENSEEEG00000013894,0.25,0.22,0.2,0.2,0.2,0.21,0.21,0.21,0.87,1.0
