,ENSCINT00000008251_ENSCING00000004009,ENSCSAVT00000019044_ENSCSAVG00000011066,FBtr0337049_FBgn0262617,FBtr0305355_FBgn0262617,FBtr0305356_FBgn0262617,FBtr0337050_FBgn0262617,FBtr0305354_FBgn0262617,FBtr0305351_FBgn0262617,FBtr0305353_FBgn0262617,FBtr0305357_FBgn0262617,FBtr0305352_FBgn0262617
ENSCINT00000008251_ENSCING00000004009,1.0,0.64,0.36,0.22,0.36,0.22,0.38,0.42,0.38,0.41,0.38
ENSCSAVT00000019044_ENSCSAVG00000011066,0.64,1.0,0.38,0.25,0.39,0.24,0.41,0.45,0.41,0.44,0.41
FBtr0337049_FBgn0262617,0.36,0.38,1.0,0.57,0.94,0.62,0.89,0.8,0.89,0.84,0.89
FBtr0305355_FBgn0262617,0.22,0.25,0.57,1.0,0.59,0.94,0.63,0.71,0.63,0.68,0.63
FBtr0305356_FBgn0262617,0.36,0.39,0.94,0.59,1.0,0.57,0.92,0.83,0.92,0.8,0.92
FBtr0337050_FBgn0262617,0.22,0.24,0.62,0.94,0.57,1.0,0.61,0.68,0.61,0.72,0.61
FBtr0305354_FBgn0262617,0.38,0.41,0.89,0.63,0.92,0.61,1.0,0.91,1.0,0.85,1.0
FBtr0305351_FBgn0262617,0.42,0.45,0.8,0.71,0.83,0.68,0.91,1.0,0.91,0.94,0.91
FBtr0305353_FBgn0262617,0.38,0.41,0.89,0.63,0.92,0.61,1.0,0.91,1.0,0.85,1.0
FBtr0305357_FBgn0262617,0.41,0.44,0.84,0.68,0.8,0.72,0.85,0.94,0.85,1.0,0.85
FBtr0305352_FBgn0262617,0.38,0.41,0.89,0.63,0.92,0.61,1.0,0.91,1.0,0.85,1.0
