,ENSAHAT00000010198_ENSAHAG00000003282,ENSAHAT00000010366_ENSAHAG00000003282,ENSAOWT00000025829_ENSAOWG00000013206,ENSAOWT00000025892_ENSAOWG00000013206,ENSAOWT00000025896_ENSAOWG00000013206,ENSAOWT00000025933_ENSAOWG00000013206,ENSARWT00000006456_ENSARWG00000000424,ENSARWT00000006461_ENSARWG00000000424,ENSARWT00000006980_ENSARWG00000000424,ENSDNVT00000031619_ENSDNVG00000018183
ENSAHAT00000010198_ENSAHAG00000003282,1.0,0.89,0.98,0.88,0.92,0.91,0.98,0.92,0.83,0.96
ENSAHAT00000010366_ENSAHAG00000003282,0.89,1.0,0.87,0.78,0.83,0.8,0.87,0.83,0.73,0.85
ENSAOWT00000025829_ENSAOWG00000013206,0.98,0.87,1.0,0.9,0.94,0.9,0.99,0.93,0.82,0.94
ENSAOWT00000025892_ENSAOWG00000013206,0.88,0.78,0.9,1.0,0.84,0.81,0.89,0.84,0.73,0.86
ENSAOWT00000025896_ENSAOWG00000013206,0.92,0.83,0.94,0.84,1.0,0.84,0.93,0.99,0.87,0.89
ENSAOWT00000025933_ENSAOWG00000013206,0.91,0.8,0.9,0.81,0.84,1.0,0.9,0.84,0.81,0.93
ENSARWT00000006456_ENSARWG00000000424,0.98,0.87,0.99,0.89,0.93,0.9,1.0,0.94,0.82,0.94
ENSARWT00000006461_ENSARWG00000000424,0.92,0.83,0.93,0.84,0.99,0.84,0.94,1.0,0.87,0.89
ENSARWT00000006980_ENSARWG00000000424,0.83,0.73,0.82,0.73,0.87,0.81,0.82,0.87,1.0,0.84
ENSDNVT00000031619_ENSDNVG00000018183,0.96,0.85,0.94,0.86,0.89,0.93,0.94,0.89,0.84,1.0
