,ENSPNAT00000029004_ENSPNAG00000006736,ENSEEET00000040590_ENSEEEG00000019027,ENSEEET00000040594_ENSEEEG00000019027,ENSDCDT00000005535_ENSDCDG00000002502,ENSDCDT00000005536_ENSDCDG00000002502,ENSDCDT00000005538_ENSDCDG00000002502,ENSDCDT00000005885_ENSDCDG00000002639,ENSDCDT00000005888_ENSDCDG00000002639,ENSDCDT00000005890_ENSDCDG00000002639,ENSDCDT00000005891_ENSDCDG00000002639,ENSPRET00000027985_ENSPREG00000018735,ENSAOCT00000031438_ENSAOCG00000019112,ENSACLT00000011182_ENSACLG00000007473,ENSACIT00000017719_ENSACIG00000013455,ENSHCOT00000009498_ENSHCOG00000004232,ENSCSET00000002233_ENSCSEG00000001474,ENSGMOT00000015915_ENSGMOG00000014511
ENSPNAT00000029004_ENSPNAG00000006736,1.0,0.61,0.61,0.59,0.61,0.59,0.6,0.56,0.61,0.59,0.71,0.59,0.75,0.76,0.61,0.61,0.71
ENSEEET00000040590_ENSEEEG00000019027,0.61,1.0,0.64,0.7,0.84,0.6,0.72,0.83,0.64,0.6,0.7,0.61,0.63,0.65,0.63,0.63,0.7
ENSEEET00000040594_ENSEEEG00000019027,0.61,0.64,1.0,0.63,0.64,0.8,0.64,0.6,0.76,0.8,0.62,0.85,0.62,0.63,0.88,0.9,0.64
ENSDCDT00000005535_ENSDCDG00000002502,0.59,0.7,0.63,1.0,0.79,0.62,0.83,0.74,0.68,0.62,0.64,0.62,0.64,0.65,0.64,0.64,0.64
ENSDCDT00000005536_ENSDCDG00000002502,0.61,0.84,0.64,0.79,1.0,0.63,0.82,0.9,0.69,0.63,0.71,0.63,0.65,0.66,0.65,0.65,0.71
ENSDCDT00000005538_ENSDCDG00000002502,0.59,0.6,0.8,0.62,0.63,1.0,0.63,0.59,0.74,0.83,0.6,0.82,0.6,0.6,0.81,0.81,0.62
ENSDCDT00000005885_ENSDCDG00000002639,0.6,0.72,0.64,0.83,0.82,0.63,1.0,0.78,0.68,0.63,0.64,0.62,0.64,0.66,0.64,0.64,0.64
ENSDCDT00000005888_ENSDCDG00000002639,0.56,0.83,0.6,0.74,0.9,0.59,0.78,1.0,0.65,0.59,0.66,0.59,0.6,0.61,0.61,0.61,0.66
ENSDCDT00000005890_ENSDCDG00000002639,0.61,0.64,0.76,0.68,0.69,0.74,0.68,0.65,1.0,0.75,0.64,0.74,0.64,0.65,0.77,0.77,0.66
ENSDCDT00000005891_ENSDCDG00000002639,0.59,0.6,0.8,0.62,0.63,0.83,0.63,0.59,0.75,1.0,0.6,0.79,0.6,0.61,0.81,0.82,0.62
ENSPRET00000027985_ENSPREG00000018735,0.71,0.7,0.62,0.64,0.71,0.6,0.64,0.66,0.64,0.6,1.0,0.61,0.82,0.83,0.63,0.63,0.86
ENSAOCT00000031438_ENSAOCG00000019112,0.59,0.61,0.85,0.62,0.63,0.82,0.62,0.59,0.74,0.79,0.61,1.0,0.61,0.62,0.86,0.88,0.63
ENSACLT00000011182_ENSACLG00000007473,0.75,0.63,0.62,0.64,0.65,0.6,0.64,0.6,0.64,0.6,0.82,0.61,1.0,0.91,0.63,0.63,0.78
ENSACIT00000017719_ENSACIG00000013455,0.76,0.65,0.63,0.65,0.66,0.6,0.66,0.61,0.65,0.61,0.83,0.62,0.91,1.0,0.64,0.64,0.79
ENSHCOT00000009498_ENSHCOG00000004232,0.61,0.63,0.88,0.64,0.65,0.81,0.64,0.61,0.77,0.81,0.63,0.86,0.63,0.64,1.0,0.92,0.65
ENSCSET00000002233_ENSCSEG00000001474,0.61,0.63,0.9,0.64,0.65,0.81,0.64,0.61,0.77,0.82,0.63,0.88,0.63,0.64,0.92,1.0,0.66
ENSGMOT00000015915_ENSGMOG00000014511,0.71,0.7,0.64,0.64,0.71,0.62,0.64,0.66,0.66,0.62,0.86,0.63,0.78,0.79,0.65,0.66,1.0
