,T23D5.6.1_WBGene00006085,T08G3.1.1_WBGene00006083,F59E11.14.1_WBGene00006145,F59E11.15.1_WBGene00006144,R08H2.2.1_WBGene00006147,F07B10.2.1_WBGene00006167,F07B10.3.1_WBGene00006166,Y39H10B.1a.1_WBGene00006164,Y39H10B.1b.1_WBGene00006164,F59B1.1a.1_WBGene00006165,F59B1.1b.1_WBGene00006165
T23D5.6.1_WBGene00006085,1.0,0.66,0.44,0.44,0.44,0.44,0.45,0.45,0.38,0.39,0.39
T08G3.1.1_WBGene00006083,0.66,1.0,0.4,0.4,0.4,0.48,0.49,0.41,0.35,0.41,0.4
F59E11.14.1_WBGene00006145,0.44,0.4,1.0,0.72,0.77,0.5,0.51,0.58,0.38,0.45,0.45
F59E11.15.1_WBGene00006144,0.44,0.4,0.72,1.0,0.76,0.46,0.46,0.54,0.39,0.42,0.41
R08H2.2.1_WBGene00006147,0.44,0.4,0.77,0.76,1.0,0.51,0.51,0.58,0.38,0.45,0.44
F07B10.2.1_WBGene00006167,0.44,0.48,0.5,0.46,0.51,1.0,0.78,0.55,0.37,0.56,0.56
F07B10.3.1_WBGene00006166,0.45,0.49,0.51,0.46,0.51,0.78,1.0,0.55,0.37,0.57,0.57
Y39H10B.1a.1_WBGene00006164,0.45,0.41,0.58,0.54,0.58,0.55,0.55,1.0,0.42,0.49,0.49
Y39H10B.1b.1_WBGene00006164,0.38,0.35,0.38,0.39,0.38,0.37,0.37,0.42,1.0,0.35,0.35
F59B1.1a.1_WBGene00006165,0.39,0.41,0.45,0.42,0.45,0.56,0.57,0.49,0.35,1.0,0.89
F59B1.1b.1_WBGene00006165,0.39,0.4,0.45,0.41,0.44,0.56,0.57,0.49,0.35,0.89,1.0
