,FBtr0080018_FBgn0032243,FBtr0302038_FBgn0032243,FBtr0302039_FBgn0032243,FBtr0331642_FBgn0032243,T01G1.1a.1_WBGene00002223,T01G1.1c.1_WBGene00002223,T01G1.1d.1_WBGene00002223,T01G1.1d.2_WBGene00002223,T01G1.1d.3_WBGene00002223,T01G1.1d.4_WBGene00002223
FBtr0080018_FBgn0032243,1.0,0.89,0.89,0.86,0.13,0.14,0.13,0.13,0.13,0.13
FBtr0302038_FBgn0032243,0.89,1.0,0.89,0.86,0.13,0.14,0.13,0.13,0.13,0.13
FBtr0302039_FBgn0032243,0.89,0.89,1.0,0.86,0.13,0.14,0.13,0.13,0.13,0.13
FBtr0331642_FBgn0032243,0.86,0.86,0.86,1.0,0.13,0.14,0.13,0.13,0.13,0.13
T01G1.1a.1_WBGene00002223,0.13,0.13,0.13,0.13,1.0,0.96,0.23,0.23,0.23,0.23
T01G1.1c.1_WBGene00002223,0.14,0.14,0.14,0.14,0.96,1.0,0.24,0.24,0.24,0.24
T01G1.1d.1_WBGene00002223,0.13,0.13,0.13,0.13,0.23,0.24,1.0,1.0,1.0,1.0
T01G1.1d.2_WBGene00002223,0.13,0.13,0.13,0.13,0.23,0.24,1.0,1.0,1.0,1.0
T01G1.1d.3_WBGene00002223,0.13,0.13,0.13,0.13,0.23,0.24,1.0,1.0,1.0,1.0
T01G1.1d.4_WBGene00002223,0.13,0.13,0.13,0.13,0.23,0.24,1.0,1.0,1.0,1.0
