,ENSPCIT00000013458_ENSPCIG00000008733,ENSPCIT00000022291_ENSPCIG00000013807,ENSVURT00010035963_ENSVURG00010024133,ENSSHAT00000005966_ENSSHAG00000005156,ENSPCOT00000023993_ENSPCOG00000018301,ENSMICT00000045160_ENSMICG00000038064,ENSMICT00000014098_ENSMICG00000038064,ENSPSMT00000007895_ENSPSMG00000005022,ENSTSYT00000049212_ENSTSYG00000029403,ENSTSYT00000001179_ENSTSYG00000029403,ENSNVIT00000013847_ENSNVIG00000009347
ENSPCIT00000013458_ENSPCIG00000008733,1.0,0.63,0.48,0.57,0.96,0.97,0.4,0.96,0.97,0.38,0.97
ENSPCIT00000022291_ENSPCIG00000013807,0.63,1.0,0.34,0.41,0.61,0.61,0.39,0.61,0.62,0.36,0.61
ENSVURT00010035963_ENSVURG00010024133,0.48,0.34,1.0,0.53,0.45,0.45,0.23,0.45,0.45,0.2,0.45
ENSSHAT00000005966_ENSSHAG00000005156,0.57,0.41,0.53,1.0,0.56,0.56,0.3,0.56,0.56,0.27,0.56
ENSPCOT00000023993_ENSPCOG00000018301,0.96,0.61,0.45,0.56,1.0,0.99,0.43,0.99,0.98,0.38,0.98
ENSMICT00000045160_ENSMICG00000038064,0.97,0.61,0.45,0.56,0.99,1.0,0.43,0.99,0.98,0.38,0.98
ENSMICT00000014098_ENSMICG00000038064,0.4,0.39,0.23,0.3,0.43,0.43,1.0,0.43,0.42,0.51,0.41
ENSPSMT00000007895_ENSPSMG00000005022,0.96,0.61,0.45,0.56,0.99,0.99,0.43,1.0,0.98,0.39,0.98
ENSTSYT00000049212_ENSTSYG00000029403,0.97,0.62,0.45,0.56,0.98,0.98,0.42,0.98,1.0,0.4,0.98
ENSTSYT00000001179_ENSTSYG00000029403,0.38,0.36,0.2,0.27,0.38,0.38,0.51,0.39,0.4,1.0,0.38
ENSNVIT00000013847_ENSNVIG00000009347,0.97,0.61,0.45,0.56,0.98,0.98,0.41,0.98,0.98,0.38,1.0
