,ENSPTRT00000002455_ENSPTRG00000001334,ENSPPAT00000018391_ENSPPAG00000016811,ENST00000368765_ENSG00000163206,ENSPPYT00000001000_ENSPPYG00000000829,ENSRBIT00000023429_ENSRBIG00000021351,ENSRROT00000026938_ENSRROG00000024262,ENSPTET00000037707_ENSPTEG00000026802,ENSPANT00000021560_ENSPANG00000014666,ENSTGET00000026849_ENSTGEG00000018203,ENSMMUT00000024938_ENSMMUG00000017740,ENSMFAT00000063402_ENSMFAG00000029184,ENSMNET00000005057_ENSMNEG00000004702,ENSCSAT00000018496_ENSCSAG00000000039,ENSCJAT00000097528_ENSCJAG00000067984,ENSPSMT00000000467_ENSPSMG00000000342,ENSOPRT00000004397_ENSOPRG00000004416,ENSSSCT00000007224_ENSSSCG00000006594
ENSPTRT00000002455_ENSPTRG00000001334,1.0,0.8,0.79,0.79,0.66,0.66,0.77,0.65,0.77,0.65,0.65,0.75,0.78,0.48,0.64,0.59,0.6
ENSPPAT00000018391_ENSPPAG00000016811,0.8,1.0,0.79,0.79,0.66,0.66,0.77,0.65,0.77,0.65,0.65,0.75,0.78,0.48,0.64,0.59,0.6
ENST00000368765_ENSG00000163206,0.79,0.79,1.0,0.78,0.66,0.66,0.77,0.65,0.77,0.65,0.65,0.75,0.78,0.48,0.64,0.59,0.6
ENSPPYT00000001000_ENSPPYG00000000829,0.79,0.79,0.78,1.0,0.66,0.66,0.78,0.65,0.78,0.65,0.65,0.75,0.78,0.48,0.64,0.59,0.6
ENSRBIT00000023429_ENSRBIG00000021351,0.66,0.66,0.66,0.66,1.0,0.8,0.68,0.78,0.68,0.78,0.78,0.66,0.68,0.44,0.52,0.48,0.49
ENSRROT00000026938_ENSRROG00000024262,0.66,0.66,0.66,0.66,0.8,1.0,0.68,0.78,0.68,0.78,0.78,0.65,0.67,0.44,0.52,0.47,0.49
ENSPTET00000037707_ENSPTEG00000026802,0.77,0.77,0.77,0.78,0.68,0.68,1.0,0.67,0.79,0.67,0.67,0.77,0.79,0.48,0.63,0.59,0.6
ENSPANT00000021560_ENSPANG00000014666,0.65,0.65,0.65,0.65,0.78,0.78,0.67,1.0,0.68,0.9,0.9,0.65,0.67,0.43,0.51,0.46,0.48
ENSTGET00000026849_ENSTGEG00000018203,0.77,0.77,0.77,0.78,0.68,0.68,0.79,0.68,1.0,0.67,0.67,0.77,0.79,0.47,0.63,0.59,0.6
ENSMMUT00000024938_ENSMMUG00000017740,0.65,0.65,0.65,0.65,0.78,0.78,0.67,0.9,0.67,1.0,0.9,0.65,0.67,0.43,0.51,0.46,0.48
ENSMFAT00000063402_ENSMFAG00000029184,0.65,0.65,0.65,0.65,0.78,0.78,0.67,0.9,0.67,0.9,1.0,0.65,0.67,0.43,0.51,0.46,0.48
ENSMNET00000005057_ENSMNEG00000004702,0.75,0.75,0.75,0.75,0.66,0.65,0.77,0.65,0.77,0.65,0.65,1.0,0.76,0.45,0.61,0.56,0.58
ENSCSAT00000018496_ENSCSAG00000000039,0.78,0.78,0.78,0.78,0.68,0.67,0.79,0.67,0.79,0.67,0.67,0.76,1.0,0.48,0.63,0.59,0.6
ENSCJAT00000097528_ENSCJAG00000067984,0.48,0.48,0.48,0.48,0.44,0.44,0.48,0.43,0.47,0.43,0.43,0.45,0.48,1.0,0.35,0.31,0.34
ENSPSMT00000000467_ENSPSMG00000000342,0.64,0.64,0.64,0.64,0.52,0.52,0.63,0.51,0.63,0.51,0.51,0.61,0.63,0.35,1.0,0.68,0.67
ENSOPRT00000004397_ENSOPRG00000004416,0.59,0.59,0.59,0.59,0.48,0.47,0.59,0.46,0.59,0.46,0.46,0.56,0.59,0.31,0.68,1.0,0.62
ENSSSCT00000007224_ENSSSCG00000006594,0.6,0.6,0.6,0.6,0.49,0.49,0.6,0.48,0.6,0.48,0.48,0.58,0.6,0.34,0.67,0.62,1.0
