,ENSCHAT00000037412_ENSCHAG00000015895,ENSCHAT00000037469_ENSCHAG00000015895,ENSCHAT00000037487_ENSCHAG00000015895,ENSCHAT00000037534_ENSCHAG00000015895,ENSCHAT00000037555_ENSCHAG00000015895,ENSCHAT00000037574_ENSCHAG00000015895,ENSCHAT00000037617_ENSCHAG00000015895,ENSDCDT00000005522_ENSDCDG00000002175,ENSDCDT00000005523_ENSDCDG00000002175,ENSDCDT00000005525_ENSDCDG00000002175,ENSDCDT00000005620_ENSDCDG00000002175,ENSDCDT00000005631_ENSDCDG00000002175,ENSDCDT00000005721_ENSDCDG00000002175,ENSDCDT00000005727_ENSDCDG00000002175,ENSDCDT00000005740_ENSDCDG00000002175,ENSIPUT00000009131_ENSIPUG00000005883,ENSIPUT00000009170_ENSIPUG00000005883,ENSIPUT00000009238_ENSIPUG00000005883,ENSEEET00000030884_ENSEEEG00000014385,ENSEEET00000030886_ENSEEEG00000014385,ENSEEET00000030891_ENSEEEG00000014385,ENSEEET00000030893_ENSEEEG00000014385,ENSEEET00000030897_ENSEEEG00000014385,ENSEEET00000030906_ENSEEEG00000014385,ENSEEET00000030907_ENSEEEG00000014385,ENSEEET00000030915_ENSEEEG00000014385,ENSEEET00000030917_ENSEEEG00000014385,ENSPNAT00000001582_ENSPNAG00000002774,ENSPNAT00000001776_ENSPNAG00000002774,ENSPNAT00000001795_ENSPNAG00000002774,ENSAMXT00000053473_ENSAMXG00000036737,ENSDART00000100351_ENSDARG00000033444,ENSDCDT00000000262_ENSDCDG00000000138,ENSHHUT00000006467_ENSHHUG00000003681,ENSHHUT00000006504_ENSHHUG00000003681,ENSHHUT00000006508_ENSHHUG00000003681,ENSHHUT00000006540_ENSHHUG00000003681,ENSHHUT00000026718_ENSHHUG00000015298,ENSHHUT00000026722_ENSHHUG00000015298,ENSHHUT00000026753_ENSHHUG00000015298,ENSHHUT00000026758_ENSHHUG00000015298,ENSHHUT00000026772_ENSHHUG00000015298,ENSHHUT00000026821_ENSHHUG00000015298,ENSELUT00000014767_ENSELUG00000004292,ENSSFOT00015032343_ENSSFOG00015020483,ENSSFOT00015032397_ENSSFOG00015020483,ENSPKIT00000018758_ENSPKIG00000015828,ENSCHAT00000059377_ENSCHAG00000024900,ENSCHAT00000059402_ENSCHAG00000024900,ENSDCDT00000050807_ENSDCDG00000025599,ENSDCDT00000050870_ENSDCDG00000025599,ENSDCDT00000050871_ENSDCDG00000025599,ENSDCDT00000050876_ENSDCDG00000025599,ENSDCDT00000050895_ENSDCDG00000025599,ENSDCDT00000051148_ENSDCDG00000025599,ENSDCDT00000051155_ENSDCDG00000025599,ENSAMXT00000056966_ENSAMXG00000006652,ENSAMXT00000006982_ENSAMXG00000006652,ENSAMXT00000051381_ENSAMXG00000006652,ENSAMXT00000006973_ENSAMXG00000006652
ENSCHAT00000037412_ENSCHAG00000015895,1.0,0.58,0.48,0.56,0.5,0.31,0.44,0.56,0.5,0.55,0.52,0.47,0.42,0.41,0.48,0.72,0.69,0.66,0.62,0.58,0.41,0.39,0.41,0.41,0.42,0.39,0.36,0.28,0.56,0.11,0.41,0.72,1e-18,0.67,0.45,0.42,0.38,0.5,0.55,0.5,0.47,0.45,0.48,0.72,0.72,0.7,0.72,0.5,0.5,0.44,0.42,0.47,0.45,0.45,0.56,0.48,0.7,0.72,0.67,0.58
ENSCHAT00000037469_ENSCHAG00000015895,0.58,1.0,0.55,0.55,0.59,0.39,0.54,0.57,0.48,0.55,0.52,0.5,0.43,0.41,0.52,0.58,0.6,0.58,0.55,0.57,0.48,0.43,0.45,0.45,0.48,0.45,0.43,0.2,0.5,0.12,0.26,0.58,1e-18,0.55,0.48,0.52,0.46,0.52,0.5,0.52,0.48,0.47,0.5,0.58,0.58,0.56,0.58,0.44,0.52,0.48,0.5,0.52,0.48,0.5,0.61,0.57,0.56,0.58,0.61,0.55
ENSCHAT00000037487_ENSCHAG00000015895,0.48,0.55,1.0,0.5,0.57,0.42,0.5,0.53,0.45,0.52,0.5,0.48,0.41,0.39,0.5,0.48,0.5,0.47,0.53,0.59,0.5,0.44,0.5,0.48,0.48,0.44,0.41,0.2,0.48,0.13,0.19,0.48,1e-18,0.5,0.45,0.46,0.44,0.5,0.5,0.54,0.5,0.48,0.48,0.48,0.48,0.47,0.48,0.42,0.5,0.5,0.5,0.54,0.46,0.52,0.52,0.48,0.47,0.48,0.52,0.48
ENSCHAT00000037534_ENSCHAG00000015895,0.56,0.55,0.5,1.0,0.58,0.4,0.54,0.61,0.54,0.65,0.6,0.54,0.5,0.5,0.58,0.56,0.58,0.56,0.58,0.52,0.52,0.46,0.48,0.48,0.5,0.46,0.46,0.22,0.52,0.14,0.27,0.56,1e-18,0.58,0.5,0.52,0.5,0.58,0.57,0.54,0.52,0.54,0.56,0.56,0.56,0.58,0.56,0.5,0.47,0.54,0.52,0.58,0.52,0.56,0.57,0.56,0.55,0.56,0.52,0.53
ENSCHAT00000037555_ENSCHAG00000015895,0.5,0.59,0.57,0.58,1.0,0.46,0.58,0.57,0.5,0.6,0.58,0.54,0.46,0.46,0.56,0.5,0.52,0.5,0.52,0.57,0.57,0.5,0.52,0.52,0.54,0.48,0.5,0.19,0.5,0.15,0.22,0.5,1e-18,0.52,0.48,0.52,0.54,0.52,0.54,0.56,0.56,0.54,0.5,0.5,0.5,0.48,0.5,0.45,0.52,0.52,0.52,0.56,0.54,0.54,0.57,0.54,0.48,0.5,0.53,0.5
ENSCHAT00000037574_ENSCHAG00000015895,0.31,0.39,0.42,0.4,0.46,1.0,0.48,0.37,0.29,0.38,0.34,0.31,0.35,0.37,0.35,0.31,0.32,0.31,0.33,0.38,0.4,0.41,0.4,0.36,0.44,0.36,0.4,0.11,0.29,0.05,0.11,0.31,1e-18,0.32,0.33,0.36,0.36,0.34,0.31,0.34,0.38,0.37,0.32,0.31,0.31,0.32,0.31,0.29,0.32,0.39,0.39,0.43,0.35,0.41,0.35,0.35,0.3,0.31,0.34,0.38
ENSCHAT00000037617_ENSCHAG00000015895,0.44,0.54,0.5,0.54,0.58,0.48,1.0,0.48,0.41,0.52,0.46,0.44,0.4,0.42,0.48,0.44,0.45,0.44,0.45,0.47,0.52,0.46,0.48,0.48,0.48,0.48,0.5,0.14,0.4,0.11,0.17,0.44,1e-18,0.45,0.42,0.54,0.52,0.5,0.43,0.46,0.46,0.48,0.48,0.44,0.44,0.45,0.44,0.38,0.41,0.48,0.5,0.52,0.5,0.5,0.54,0.52,0.42,0.44,0.47,0.42
ENSDCDT00000005522_ENSDCDG00000002175,0.56,0.57,0.53,0.61,0.57,0.37,0.48,1.0,0.52,0.66,0.61,0.54,0.52,0.48,0.59,0.56,0.58,0.56,0.58,0.55,0.48,0.43,0.45,0.45,0.47,0.45,0.43,0.23,0.55,0.12,0.26,0.56,1e-18,0.58,0.52,0.46,0.45,0.52,0.57,0.54,0.5,0.5,0.5,0.56,0.56,0.56,0.56,0.52,0.5,0.52,0.48,0.56,0.5,0.54,0.57,0.54,0.55,0.56,0.52,0.57
ENSDCDT00000005523_ENSDCDG00000002175,0.5,0.48,0.45,0.54,0.5,0.29,0.41,0.52,1.0,0.54,0.59,0.57,0.48,0.46,0.59,0.5,0.52,0.53,0.52,0.48,0.39,0.35,0.36,0.36,0.37,0.39,0.34,0.18,0.57,0.13,0.31,0.5,1e-18,0.52,0.52,0.48,0.4,0.54,0.57,0.57,0.54,0.52,0.52,0.5,0.5,0.48,0.5,0.5,0.52,0.45,0.46,0.48,0.43,0.46,0.52,0.48,0.48,0.5,0.47,0.47
ENSDCDT00000005525_ENSDCDG00000002175,0.55,0.55,0.52,0.65,0.6,0.38,0.52,0.66,0.54,1.0,0.63,0.56,0.54,0.5,0.62,0.55,0.56,0.55,0.57,0.52,0.5,0.45,0.46,0.46,0.47,0.46,0.44,0.23,0.52,0.13,0.28,0.55,1e-18,0.56,0.5,0.5,0.46,0.56,0.57,0.56,0.52,0.52,0.54,0.55,0.55,0.55,0.55,0.48,0.47,0.54,0.54,0.58,0.56,0.56,0.55,0.54,0.53,0.55,0.5,0.53
ENSDCDT00000005620_ENSDCDG00000002175,0.52,0.52,0.5,0.6,0.58,0.34,0.46,0.61,0.59,0.63,1.0,0.67,0.6,0.58,0.69,0.52,0.53,0.52,0.53,0.5,0.46,0.41,0.42,0.42,0.43,0.42,0.4,0.19,0.59,0.14,0.29,0.52,1e-18,0.53,0.56,0.54,0.46,0.6,0.65,0.64,0.6,0.58,0.58,0.52,0.52,0.5,0.52,0.53,0.54,0.5,0.48,0.54,0.5,0.52,0.52,0.5,0.5,0.52,0.47,0.52
ENSDCDT00000005631_ENSDCDG00000002175,0.47,0.5,0.48,0.54,0.54,0.31,0.44,0.54,0.57,0.56,0.67,1.0,0.61,0.59,0.7,0.47,0.48,0.47,0.48,0.47,0.44,0.38,0.4,0.44,0.41,0.44,0.42,0.16,0.55,0.15,0.29,0.47,1e-18,0.48,0.54,0.52,0.44,0.58,0.6,0.65,0.6,0.58,0.56,0.47,0.47,0.45,0.47,0.48,0.5,0.5,0.46,0.54,0.5,0.52,0.48,0.48,0.45,0.47,0.44,0.47
ENSDCDT00000005721_ENSDCDG00000002175,0.42,0.43,0.41,0.5,0.46,0.35,0.4,0.52,0.48,0.54,0.6,0.61,1.0,0.73,0.62,0.42,0.44,0.42,0.44,0.4,0.38,0.33,0.35,0.38,0.36,0.38,0.36,0.14,0.48,0.08,0.29,0.42,1e-18,0.44,0.48,0.46,0.38,0.52,0.54,0.54,0.5,0.5,0.5,0.42,0.42,0.42,0.42,0.45,0.43,0.42,0.4,0.46,0.44,0.44,0.41,0.43,0.41,0.42,0.38,0.5
