,ENSCSET00000009235_ENSCSEG00000005853,ENSGWIT00000013068_ENSGWIG00000006873,ENSGWIT00000013070_ENSGWIG00000006873,ENSGWIT00000013071_ENSGWIG00000006873,ENSMALT00000017917_ENSMALG00000012259,ENSMALT00000017935_ENSMALG00000012259,ENSMALT00000017948_ENSMALG00000012259,ENSBSLT00000051508_ENSBSLG00000022328,ENSPFOT00000009724_ENSPFOG00000009761,ENSPFOT00000022436_ENSPFOG00000009761,ENSPMET00000012292_ENSPMEG00000003637,ENSPMET00000012299_ENSPMEG00000003637,ENSPMET00000012308_ENSPMEG00000003637,ENSPLAT00000028674_ENSPLAG00000023878,ENSPLAT00000032149_ENSPLAG00000023878,ENSPRET00000023147_ENSPREG00000015469,ENSPRET00000023153_ENSPREG00000015469,ENSXMAT00000037708_ENSXMAG00000022972,ENSXMAT00000021100_ENSXMAG00000022972,ENSXCOT00000002065_ENSXCOG00000001640,ENSGAFT00000025119_ENSGAFG00000016779,ENSGAFT00000025121_ENSGAFG00000016779,ENSFHET00000013376_ENSFHEG00000002495,ENSFHET00000013380_ENSFHEG00000002495,ENSFHET00000013390_ENSFHEG00000002495,ENSFHET00000013401_ENSFHEG00000002495,ENSCVAT00000007527_ENSCVAG00000006242,ENSKMAT00000005746_ENSKMAG00000004296,ENSKMAT00000005765_ENSKMAG00000004296,ENSORLT00000039387_ENSORLG00000022969
ENSCSET00000009235_ENSCSEG00000005853,1.0,0.75,0.39,0.2,0.75,0.75,0.83,0.56,0.75,0.18,0.75,0.75,0.75,0.75,0.61,0.75,0.75,0.75,0.75,0.45,0.75,0.75,0.75,0.62,0.75,0.75,0.83,0.75,0.75,0.75
ENSGWIT00000013068_ENSGWIG00000006873,0.75,1.0,0.35,0.18,0.8,0.68,0.75,0.5,0.8,0.17,0.68,0.8,0.68,0.8,0.55,0.68,0.8,0.68,0.8,0.41,0.8,0.68,0.68,0.62,0.68,0.8,0.75,0.68,0.8,0.68
ENSGWIT00000013070_ENSGWIG00000006873,0.39,0.35,1.0,0.33,0.35,0.35,0.39,0.31,0.35,0.29,0.35,0.35,0.35,0.35,0.22,0.35,0.35,0.35,0.35,0.22,0.35,0.35,0.35,0.29,0.35,0.35,0.39,0.35,0.35,0.35
ENSGWIT00000013071_ENSGWIG00000006873,0.2,0.18,0.33,1.0,0.18,0.18,0.2,0.25,0.18,0.33,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.25,0.18,0.18,0.18,0.15,0.18,0.18,0.2,0.18,0.18,0.18
ENSMALT00000017917_ENSMALG00000012259,0.75,0.8,0.35,0.18,1.0,0.68,0.75,0.5,0.8,0.17,0.68,0.8,0.68,0.8,0.55,0.68,0.8,0.68,0.8,0.41,0.8,0.68,0.68,0.62,0.68,0.8,0.75,0.68,0.8,0.68
ENSMALT00000017935_ENSMALG00000012259,0.75,0.68,0.35,0.18,0.68,1.0,0.75,0.5,0.68,0.17,0.68,0.68,0.8,0.68,0.55,0.8,0.68,0.8,0.68,0.41,0.68,0.8,0.68,0.62,0.8,0.68,0.75,0.8,0.68,0.68
ENSMALT00000017948_ENSMALG00000012259,0.83,0.75,0.39,0.2,0.75,0.75,1.0,0.56,0.75,0.18,0.75,0.75,0.75,0.75,0.61,0.75,0.75,0.75,0.75,0.45,0.75,0.75,0.75,0.62,0.75,0.75,0.83,0.75,0.75,0.75
ENSBSLT00000051508_ENSBSLG00000022328,0.56,0.5,0.31,0.25,0.5,0.5,0.56,1.0,0.5,0.22,0.5,0.5,0.5,0.5,0.56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.42,0.5,0.5,0.56,0.5,0.5,0.5
ENSPFOT00000009724_ENSPFOG00000009761,0.75,0.8,0.35,0.18,0.8,0.68,0.75,0.5,1.0,0.17,0.68,0.8,0.68,0.8,0.55,0.68,0.8,0.68,0.8,0.41,0.8,0.68,0.68,0.62,0.68,0.8,0.75,0.68,0.8,0.68
ENSPFOT00000022436_ENSPFOG00000009761,0.18,0.17,0.29,0.33,0.17,0.17,0.18,0.22,0.17,1.0,0.17,0.17,0.17,0.17,0.15,0.17,0.17,0.17,0.17,0.22,0.17,0.17,0.17,0.14,0.17,0.17,0.18,0.17,0.17,0.17
ENSPMET00000012292_ENSPMEG00000003637,0.75,0.68,0.35,0.18,0.68,0.68,0.75,0.5,0.68,0.17,1.0,0.68,0.68,0.68,0.55,0.68,0.68,0.68,0.68,0.41,0.68,0.68,0.8,0.58,0.68,0.68,0.75,0.68,0.68,0.68
ENSPMET00000012299_ENSPMEG00000003637,0.75,0.8,0.35,0.18,0.8,0.68,0.75,0.5,0.8,0.17,0.68,1.0,0.68,0.8,0.55,0.68,0.8,0.68,0.8,0.41,0.8,0.68,0.68,0.62,0.68,0.8,0.75,0.68,0.8,0.68
ENSPMET00000012308_ENSPMEG00000003637,0.75,0.68,0.35,0.18,0.68,0.8,0.75,0.5,0.68,0.17,0.68,0.68,1.0,0.68,0.55,0.8,0.68,0.8,0.68,0.41,0.68,0.8,0.68,0.62,0.8,0.68,0.75,0.8,0.68,0.68
ENSPLAT00000028674_ENSPLAG00000023878,0.75,0.8,0.35,0.18,0.8,0.68,0.75,0.5,0.8,0.17,0.68,0.8,0.68,1.0,0.55,0.68,0.8,0.68,0.8,0.41,0.8,0.68,0.68,0.62,0.68,0.8,0.75,0.68,0.8,0.68
ENSPLAT00000032149_ENSPLAG00000023878,0.61,0.55,0.22,0.17,0.55,0.55,0.61,0.56,0.55,0.15,0.55,0.55,0.55,0.55,1.0,0.55,0.55,0.55,0.55,0.44,0.55,0.55,0.55,0.46,0.55,0.55,0.61,0.55,0.55,0.55
ENSPRET00000023147_ENSPREG00000015469,0.75,0.68,0.35,0.18,0.68,0.8,0.75,0.5,0.68,0.17,0.68,0.68,0.8,0.68,0.55,1.0,0.68,0.8,0.68,0.41,0.68,0.8,0.68,0.62,0.8,0.68,0.75,0.8,0.68,0.68
ENSPRET00000023153_ENSPREG00000015469,0.75,0.8,0.35,0.18,0.8,0.68,0.75,0.5,0.8,0.17,0.68,0.8,0.68,0.8,0.55,0.68,1.0,0.68,0.8,0.41,0.8,0.68,0.68,0.62,0.68,0.8,0.75,0.68,0.8,0.68
ENSXMAT00000037708_ENSXMAG00000022972,0.75,0.68,0.35,0.18,0.68,0.8,0.75,0.5,0.68,0.17,0.68,0.68,0.8,0.68,0.55,0.8,0.68,1.0,0.68,0.41,0.68,0.8,0.68,0.62,0.8,0.68,0.75,0.8,0.68,0.68
ENSXMAT00000021100_ENSXMAG00000022972,0.75,0.8,0.35,0.18,0.8,0.68,0.75,0.5,0.8,0.17,0.68,0.8,0.68,0.8,0.55,0.68,0.8,0.68,1.0,0.41,0.8,0.68,0.68,0.62,0.68,0.8,0.75,0.68,0.8,0.68
ENSXCOT00000002065_ENSXCOG00000001640,0.45,0.41,0.22,0.25,0.41,0.41,0.45,0.5,0.41,0.22,0.41,0.41,0.41,0.41,0.44,0.41,0.41,0.41,0.41,1.0,0.41,0.41,0.41,0.35,0.41,0.41,0.45,0.41,0.41,0.41
ENSGAFT00000025119_ENSGAFG00000016779,0.75,0.8,0.35,0.18,0.8,0.68,0.75,0.5,0.8,0.17,0.68,0.8,0.68,0.8,0.55,0.68,0.8,0.68,0.8,0.41,1.0,0.68,0.68,0.62,0.68,0.8,0.75,0.68,0.8,0.68
ENSGAFT00000025121_ENSGAFG00000016779,0.75,0.68,0.35,0.18,0.68,0.8,0.75,0.5,0.68,0.17,0.68,0.68,0.8,0.68,0.55,0.8,0.68,0.8,0.68,0.41,0.68,1.0,0.68,0.62,0.8,0.68,0.75,0.8,0.68,0.68
ENSFHET00000013376_ENSFHEG00000002495,0.75,0.68,0.35,0.18,0.68,0.68,0.75,0.5,0.68,0.17,0.8,0.68,0.68,0.68,0.55,0.68,0.68,0.68,0.68,0.41,0.68,0.68,1.0,0.58,0.68,0.68,0.75,0.68,0.68,0.68
ENSFHET00000013380_ENSFHEG00000002495,0.62,0.62,0.29,0.15,0.62,0.62,0.62,0.42,0.62,0.14,0.58,0.62,0.62,0.62,0.46,0.62,0.62,0.62,0.62,0.35,0.62,0.62,0.58,1.0,0.62,0.62,0.62,0.62,0.62,0.58
ENSFHET00000013390_ENSFHEG00000002495,0.75,0.68,0.35,0.18,0.68,0.8,0.75,0.5,0.68,0.17,0.68,0.68,0.8,0.68,0.55,0.8,0.68,0.8,0.68,0.41,0.68,0.8,0.68,0.62,1.0,0.68,0.75,0.8,0.68,0.68
ENSFHET00000013401_ENSFHEG00000002495,0.75,0.8,0.35,0.18,0.8,0.68,0.75,0.5,0.8,0.17,0.68,0.8,0.68,0.8,0.55,0.68,0.8,0.68,0.8,0.41,0.8,0.68,0.68,0.62,0.68,1.0,0.75,0.68,0.8,0.68
ENSCVAT00000007527_ENSCVAG00000006242,0.83,0.75,0.39,0.2,0.75,0.75,0.83,0.56,0.75,0.18,0.75,0.75,0.75,0.75,0.61,0.75,0.75,0.75,0.75,0.45,0.75,0.75,0.75,0.62,0.75,0.75,1.0,0.75,0.75,0.75
ENSKMAT00000005746_ENSKMAG00000004296,0.75,0.68,0.35,0.18,0.68,0.8,0.75,0.5,0.68,0.17,0.68,0.68,0.8,0.68,0.55,0.8,0.68,0.8,0.68,0.41,0.68,0.8,0.68,0.62,0.8,0.68,0.75,1.0,0.73,0.68
ENSKMAT00000005765_ENSKMAG00000004296,0.75,0.8,0.35,0.18,0.8,0.68,0.75,0.5,0.8,0.17,0.68,0.8,0.68,0.8,0.55,0.68,0.8,0.68,0.8,0.41,0.8,0.68,0.68,0.62,0.68,0.8,0.75,0.73,1.0,0.68
ENSORLT00000039387_ENSORLG00000022969,0.75,0.68,0.35,0.18,0.68,0.68,0.75,0.5,0.68,0.17,0.68,0.68,0.68,0.68,0.55,0.68,0.68,0.68,0.68,0.41,0.68,0.68,0.68,0.58,0.68,0.68,0.75,0.68,0.68,1.0
