,ENSPPAT00000028287_ENSPPAG00000025542,ENSPTRT00000101244_ENSPTRG00000048314,ENSGGOT00000043976_ENSGGOG00000043548,ENSNLET00000058976_ENSNLEG00000032303,ENSRROT00000057814_ENSRROG00000040276,ENSRBIT00000004873_ENSRBIG00000004532,ENSMNET00000044327_ENSMNEG00000033872,ENSMFAT00000068338_ENSMFAG00000032009,ENSPANT00000047640_ENSPANG00000030217,ENSMLET00000030210_ENSMLEG00000027404
ENSPPAT00000028287_ENSPPAG00000025542,1.0,1.0,0.78,0.78,0.77,0.77,0.66,0.66,0.66,0.66
ENSPTRT00000101244_ENSPTRG00000048314,1.0,1.0,0.78,0.78,0.77,0.77,0.66,0.66,0.66,0.66
ENSGGOT00000043976_ENSGGOG00000043548,0.78,0.78,1.0,0.98,0.97,0.97,0.81,0.8,0.81,0.81
ENSNLET00000058976_ENSNLEG00000032303,0.78,0.78,0.98,1.0,0.98,0.98,0.81,0.81,0.81,0.81
ENSRROT00000057814_ENSRROG00000040276,0.77,0.77,0.97,0.98,1.0,1.0,0.82,0.82,0.83,0.82
ENSRBIT00000004873_ENSRBIG00000004532,0.77,0.77,0.97,0.98,1.0,1.0,0.82,0.82,0.83,0.82
ENSMNET00000044327_ENSMNEG00000033872,0.66,0.66,0.81,0.81,0.82,0.82,1.0,1.0,0.99,0.99
ENSMFAT00000068338_ENSMFAG00000032009,0.66,0.66,0.8,0.81,0.82,0.82,1.0,1.0,0.99,0.99
ENSPANT00000047640_ENSPANG00000030217,0.66,0.66,0.81,0.81,0.83,0.83,0.99,0.99,1.0,0.99
ENSMLET00000030210_ENSMLEG00000027404,0.66,0.66,0.81,0.81,0.82,0.82,0.99,0.99,0.99,1.0
