,FBtr0331641_FBgn0025366,FBtr0080017_FBgn0025366,W09C5.1.1_WBGene00012351,ENSPKIT00000023915_ENSPKIG00000018852,ENSSFOT00015025438_ENSSFOG00015016191,ENSSFOT00015025448_ENSSFOG00015016191,ENSSFOT00015025462_ENSSFOG00015016191,ENSHCOT00000003581_ENSHCOG00000008385,ENSHCOT00000003695_ENSHCOG00000008385,ENSGWIT00000029681_ENSGWIG00000014236,ENSGWIT00000029683_ENSGWIG00000014236,ENSGWIT00000029684_ENSGWIG00000014236
FBtr0331641_FBgn0025366,1.0,1.0,0.29,0.18,0.12,0.18,0.17,0.15,0.17,0.18,0.18,0.11
FBtr0080017_FBgn0025366,1.0,1.0,0.29,0.18,0.12,0.18,0.17,0.15,0.17,0.18,0.18,0.11
W09C5.1.1_WBGene00012351,0.29,0.29,1.0,0.25,0.2,0.25,0.3,0.19,0.3,0.25,0.26,0.2
ENSPKIT00000023915_ENSPKIG00000018852,0.18,0.18,0.25,1.0,0.73,0.98,0.8,0.45,0.71,0.97,0.79,0.77
ENSSFOT00015025438_ENSSFOG00015016191,0.12,0.12,0.2,0.73,1.0,0.75,0.63,0.49,0.54,0.72,0.61,0.72
ENSSFOT00015025448_ENSSFOG00015016191,0.18,0.18,0.25,0.98,0.75,1.0,0.82,0.45,0.71,0.97,0.79,0.78
ENSSFOT00015025462_ENSSFOG00015016191,0.17,0.17,0.3,0.8,0.63,0.82,1.0,0.5,0.82,0.79,0.79,0.64
ENSHCOT00000003581_ENSHCOG00000008385,0.15,0.15,0.19,0.45,0.49,0.45,0.5,1.0,0.6,0.45,0.44,0.45
ENSHCOT00000003695_ENSHCOG00000008385,0.17,0.17,0.3,0.71,0.54,0.71,0.82,0.6,1.0,0.71,0.71,0.57
ENSGWIT00000029681_ENSGWIG00000014236,0.18,0.18,0.25,0.97,0.72,0.97,0.79,0.45,0.71,1.0,0.82,0.8
ENSGWIT00000029683_ENSGWIG00000014236,0.18,0.18,0.26,0.79,0.61,0.79,0.79,0.44,0.71,0.82,1.0,0.67
ENSGWIT00000029684_ENSGWIG00000014236,0.11,0.11,0.2,0.77,0.72,0.78,0.64,0.45,0.57,0.8,0.67,1.0
