,ENSRBIT00000047089_ENSRBIG00000035508,ENSRBIT00000047090_ENSRBIG00000035508,ENSRBIT00000047091_ENSRBIG00000035508,ENSRBIT00000047094_ENSRBIG00000035508,ENSRROT00000036558_ENSRROG00000030504,ENSPTET00000036349_ENSPTEG00000025939,ENSPTET00000036351_ENSPTEG00000025939,ENSPTET00000036353_ENSPTEG00000025939,ENSPTET00000036354_ENSPTEG00000025939,ENSMNET00000067126_ENSMNEG00000043979,ENSMNET00000067133_ENSMNEG00000043979,ENSMNET00000067140_ENSMNEG00000043979,ENSMNET00000067141_ENSMNEG00000043979,ENSMNET00000067151_ENSMNEG00000043979,ENSMFAT00000011871_ENSMFAG00000037884,ENSMFAT00000011880_ENSMFAG00000037884,ENSMFAT00000011888_ENSMFAG00000037884,ENSMFAT00000011906_ENSMFAG00000037884,ENSMLET00000034403_ENSMLEG00000029573,ENSMLET00000034405_ENSMLEG00000029573,ENSMLET00000034407_ENSMLEG00000029573,ENSMLET00000034413_ENSMLEG00000029573,ENSTGET00000040103_ENSTGEG00000026904,ENSTGET00000040106_ENSTGEG00000026904,ENSTGET00000040110_ENSTGEG00000026904,ENSTGET00000040115_ENSTGEG00000026904,ENST00000383710_ENSG00000163618
ENSRBIT00000047089_ENSRBIG00000035508,1.0,0.86,0.87,0.28,0.28,0.96,0.82,0.84,0.28,0.96,0.93,0.82,0.83,0.28,0.96,0.82,0.84,0.28,0.99,0.85,0.87,0.28,0.96,0.82,0.83,0.28,0.96
ENSRBIT00000047090_ENSRBIG00000035508,0.86,1.0,0.93,0.29,0.29,0.82,0.96,0.89,0.29,0.82,0.85,0.95,0.89,0.29,0.82,0.96,0.89,0.29,0.85,0.99,0.92,0.29,0.82,0.95,0.89,0.29,0.81
ENSRBIT00000047091_ENSRBIG00000035508,0.87,0.93,1.0,0.29,0.29,0.84,0.89,0.96,0.29,0.83,0.86,0.89,0.95,0.29,0.84,0.89,0.96,0.29,0.87,0.92,0.99,0.29,0.83,0.89,0.95,0.29,0.83
ENSRBIT00000047094_ENSRBIG00000035508,0.28,0.29,0.29,1.0,1.0,0.26,0.27,0.28,1.0,0.26,0.26,0.27,0.28,1.0,0.26,0.27,0.28,1.0,0.29,0.29,0.3,1.0,0.26,0.27,0.28,1.0,0.26
ENSRROT00000036558_ENSRROG00000030504,0.28,0.29,0.29,1.0,1.0,0.26,0.27,0.28,1.0,0.26,0.26,0.27,0.28,1.0,0.26,0.27,0.28,1.0,0.29,0.29,0.3,1.0,0.26,0.27,0.28,1.0,0.26
ENSPTET00000036349_ENSPTEG00000025939,0.96,0.82,0.84,0.26,0.26,1.0,0.86,0.87,0.26,1.0,0.97,0.86,0.87,0.26,1.0,0.86,0.87,0.26,0.96,0.81,0.83,0.26,1.0,0.86,0.87,0.26,1.0
ENSPTET00000036351_ENSPTEG00000025939,0.82,0.96,0.89,0.27,0.27,0.86,1.0,0.93,0.27,0.86,0.88,1.0,0.93,0.27,0.86,1.0,0.93,0.27,0.81,0.95,0.89,0.27,0.86,1.0,0.93,0.27,0.86
ENSPTET00000036353_ENSPTEG00000025939,0.84,0.89,0.96,0.28,0.28,0.87,0.93,1.0,0.28,0.87,0.9,0.93,1.0,0.28,0.87,0.93,1.0,0.28,0.83,0.89,0.95,0.28,0.87,0.93,1.0,0.28,0.87
ENSPTET00000036354_ENSPTEG00000025939,0.28,0.29,0.29,1.0,1.0,0.26,0.27,0.28,1.0,0.26,0.26,0.27,0.28,1.0,0.26,0.27,0.28,1.0,0.28,0.29,0.3,1.0,0.26,0.27,0.28,1.0,0.26
ENSMNET00000067126_ENSMNEG00000043979,0.96,0.82,0.83,0.26,0.26,1.0,0.86,0.87,0.26,1.0,0.97,0.86,0.87,0.26,1.0,0.86,0.87,0.26,0.96,0.81,0.83,0.26,1.0,0.86,0.87,0.26,1.0
