,ENSPCOT00000041793_ENSPCOG00000028171,ENSPCOT00000041795_ENSPCOG00000028171,ENSPCOT00000041797_ENSPCOG00000028171,ENSPCOT00000041798_ENSPCOG00000028171,ENSPCOT00000041799_ENSPCOG00000028171,ENSPSMT00000006586_ENSPSMG00000004219,ENSPSMT00000006591_ENSPSMG00000004219,ENSPSMT00000006593_ENSPSMG00000004219,ENSPSMT00000006595_ENSPSMG00000004219,ENSMICT00000058718_ENSMICG00000042461,ENSMICT00000067116_ENSMICG00000042461,ENSMICT00000066583_ENSMICG00000042461,ENSMICT00000068515_ENSMICG00000042461,ENSMICT00000063077_ENSMICG00000042461,ENST00000359758_ENSG00000164871,ENST00000361111_ENSG00000164871,ENST00000297498_ENSG00000164871,ENST00000458665_ENSG00000164871,ENST00000528168_ENSG00000164871,ENST00000398462_ENSG00000164871,ENST00000317900_ENSG00000164871,ENSNLET00000043682_ENSNLEG00000000419,ENSNLET00000052034_ENSNLEG00000000419,ENSNLET00000000523_ENSNLEG00000000419,ENSNLET00000044466_ENSNLEG00000000419,ENSNLET00000041641_ENSNLEG00000000419,ENSNLET00000000527_ENSNLEG00000000419,ENSPTET00000048799_ENSPTEG00000033822,ENSPTET00000048802_ENSPTEG00000033822,ENSPTET00000048809_ENSPTEG00000033822,ENSPTET00000048818_ENSPTEG00000033822,ENSPTET00000048819_ENSPTEG00000033822,ENSPTET00000048821_ENSPTEG00000033822,ENSPTET00000048822_ENSPTEG00000033822
ENSPCOT00000041793_ENSPCOG00000028171,1.0,0.9,0.49,0.81,0.69,0.79,0.62,0.49,0.5,0.8,0.71,0.62,0.48,0.49,0.75,0.66,0.55,0.47,0.45,0.57,0.46,0.76,0.67,0.58,0.48,0.46,0.47,0.75,0.66,0.57,0.55,0.46,0.48,0.46
ENSPCOT00000041795_ENSPCOG00000028171,0.9,1.0,0.39,0.71,0.79,0.69,0.52,0.39,0.6,0.71,0.81,0.53,0.39,0.59,0.66,0.76,0.6,0.39,0.5,0.48,0.56,0.67,0.77,0.49,0.39,0.51,0.57,0.66,0.76,0.48,0.6,0.56,0.39,0.51
ENSPCOT00000041797_ENSPCOG00000028171,0.49,0.39,1.0,0.67,0.27,0.5,0.65,0.97,0.27,0.48,0.39,0.65,0.97,0.25,0.45,0.36,0.33,0.96,0.67,0.62,0.24,0.46,0.37,0.62,0.96,0.68,0.25,0.45,0.36,0.62,0.34,0.24,0.96,0.68
ENSPCOT00000041798_ENSPCOG00000028171,0.81,0.71,0.67,1.0,0.59,0.64,0.79,0.65,0.4,0.62,0.53,0.79,0.65,0.39,0.57,0.48,0.45,0.64,0.36,0.74,0.36,0.58,0.49,0.75,0.64,0.36,0.37,0.57,0.48,0.73,0.46,0.36,0.64,0.36
ENSPCOT00000041799_ENSPCOG00000028171,0.69,0.79,0.27,0.59,1.0,0.52,0.4,0.27,0.79,0.51,0.61,0.41,0.27,0.79,0.46,0.56,0.48,0.27,0.38,0.36,0.75,0.47,0.57,0.37,0.27,0.39,0.76,0.46,0.56,0.36,0.48,0.74,0.27,0.39
ENSPSMT00000006586_ENSPSMG00000004219,0.79,0.69,0.5,0.64,0.52,1.0,0.84,0.51,0.71,0.92,0.83,0.78,0.5,0.64,0.88,0.79,0.71,0.49,0.47,0.73,0.62,0.88,0.79,0.73,0.5,0.48,0.62,0.87,0.78,0.73,0.71,0.61,0.5,0.48
ENSPSMT00000006591_ENSPSMG00000004219,0.62,0.52,0.65,0.79,0.4,0.84,1.0,0.67,0.59,0.76,0.67,0.92,0.64,0.53,0.72,0.63,0.6,0.64,0.36,0.87,0.51,0.72,0.63,0.87,0.64,0.37,0.51,0.71,0.62,0.86,0.59,0.5,0.63,0.37
ENSPSMT00000006593_ENSPSMG00000004219,0.49,0.39,0.97,0.65,0.27,0.51,0.67,1.0,0.27,0.48,0.39,0.64,0.96,0.25,0.46,0.37,0.34,0.95,0.68,0.61,0.25,0.46,0.37,0.62,0.95,0.68,0.25,0.46,0.37,0.61,0.34,0.25,0.95,0.68
ENSPSMT00000006595_ENSPSMG00000004219,0.5,0.6,0.27,0.4,0.79,0.71,0.59,0.27,1.0,0.64,0.74,0.54,0.27,0.91,0.6,0.7,0.62,0.27,0.38,0.5,0.88,0.6,0.7,0.5,0.27,0.39,0.89,0.59,0.69,0.49,0.61,0.88,0.27,0.39
ENSMICT00000058718_ENSMICG00000042461,0.8,0.71,0.48,0.62,0.51,0.92,0.76,0.48,0.64,1.0,0.9,0.81,0.49,0.67,0.89,0.8,0.7,0.47,0.46,0.72,0.61,0.9,0.81,0.72,0.48,0.46,0.61,0.89,0.8,0.72,0.7,0.6,0.48,0.46
ENSMICT00000067116_ENSMICG00000042461,0.71,0.81,0.39,0.53,0.61,0.83,0.67,0.39,0.74,0.9,1.0,0.71,0.39,0.77,0.8,0.91,0.75,0.39,0.5,0.63,0.71,0.81,0.91,0.63,0.39,0.51,0.71,0.8,0.9,0.62,0.74,0.7,0.39,0.51
ENSMICT00000066583_ENSMICG00000042461,0.62,0.53,0.65,0.79,0.41,0.78,0.92,0.64,0.54,0.81,0.71,1.0,0.67,0.57,0.72,0.63,0.6,0.64,0.36,0.88,0.51,0.72,0.63,0.88,0.64,0.36,0.51,0.72,0.62,0.88,0.6,0.5,0.64,0.36
ENSMICT00000068515_ENSMICG00000042461,0.48,0.39,0.97,0.65,0.27,0.5,0.64,0.96,0.27,0.49,0.39,0.67,1.0,0.25,0.45,0.36,0.34,0.95,0.67,0.62,0.24,0.46,0.37,0.62,0.95,0.68,0.25,0.45,0.36,0.62,0.34,0.24,0.96,0.68
ENSMICT00000063077_ENSMICG00000042461,0.49,0.59,0.25,0.39,0.79,0.64,0.53,0.25,0.91,0.67,0.77,0.57,0.25,1.0,0.59,0.69,0.61,0.25,0.36,0.49,0.87,0.59,0.69,0.49,0.25,0.37,0.87,0.58,0.68,0.48,0.6,0.86,0.25,0.37
ENST00000359758_ENSG00000164871,0.75,0.66,0.45,0.57,0.46,0.88,0.72,0.46,0.6,0.89,0.8,0.72,0.45,0.59,1.0,0.9,0.78,0.46,0.44,0.81,0.69,0.98,0.88,0.79,0.46,0.44,0.67,0.97,0.87,0.78,0.76,0.66,0.46,0.44
ENST00000361111_ENSG00000164871,0.66,0.76,0.36,0.48,0.56,0.79,0.63,0.37,0.7,0.8,0.91,0.63,0.36,0.69,0.9,1.0,0.83,0.36,0.48,0.71,0.79,0.88,0.98,0.69,0.36,0.48,0.77,0.87,0.97,0.68,0.8,0.76,0.36,0.48
ENST00000297498_ENSG00000164871,0.55,0.6,0.33,0.45,0.48,0.71,0.6,0.34,0.62,0.7,0.75,0.6,0.34,0.61,0.78,0.83,1.0,0.34,0.65,0.69,0.71,0.76,0.81,0.67,0.34,0.64,0.69,0.76,0.8,0.66,0.96,0.68,0.34,0.64
ENST00000458665_ENSG00000164871,0.47,0.39,0.96,0.64,0.27,0.49,0.64,0.95,0.27,0.47,0.39,0.64,0.95,0.25,0.46,0.36,0.34,1.0,0.69,0.65,0.24,0.46,0.37,0.65,0.99,0.69,0.25,0.46,0.36,0.64,0.34,0.24,0.99,0.69
ENST00000528168_ENSG00000164871,0.45,0.5,0.67,0.36,0.38,0.47,0.36,0.68,0.38,0.46,0.5,0.36,0.67,0.36,0.44,0.48,0.65,0.69,1.0,0.34,0.36,0.44,0.48,0.34,0.69,0.99,0.36,0.43,0.48,0.34,0.64,0.36,0.68,0.98
ENST00000398462_ENSG00000164871,0.57,0.48,0.62,0.74,0.36,0.73,0.87,0.61,0.5,0.72,0.63,0.88,0.62,0.49,0.81,0.71,0.69,0.65,0.34,1.0,0.59,0.79,0.69,0.97,0.64,0.34,0.57,0.78,0.68,0.96,0.66,0.56,0.64,0.34
ENST00000317900_ENSG00000164871,0.46,0.56,0.24,0.36,0.75,0.62,0.51,0.25,0.88,0.61,0.71,0.51,0.24,0.87,0.69,0.79,0.71,0.24,0.36,0.59,1.0,0.67,0.77,0.57,0.24,0.36,0.97,0.66,0.76,0.56,0.68,0.96,0.24,0.36
ENSNLET00000043682_ENSNLEG00000000419,0.76,0.67,0.46,0.58,0.47,0.88,0.72,0.46,0.6,0.9,0.81,0.72,0.46,0.59,0.98,0.88,0.76,0.46,0.44,0.79,0.67,1.0,0.9,0.81,0.47,0.44,0.69,0.96,0.87,0.78,0.76,0.66,0.46,0.44
ENSNLET00000052034_ENSNLEG00000000419,0.67,0.77,0.37,0.49,0.57,0.79,0.63,0.37,0.7,0.81,0.91,0.63,0.37,0.69,0.88,0.98,0.81,0.37,0.48,0.69,0.77,0.9,1.0,0.71,0.37,0.49,0.79,0.87,0.97,0.68,0.8,0.76,0.37,0.49
ENSNLET00000000523_ENSNLEG00000000419,0.58,0.49,0.62,0.75,0.37,0.73,0.87,0.62,0.5,0.72,0.63,0.88,0.62,0.49,0.79,0.69,0.67,0.65,0.34,0.97,0.57,0.81,0.71,1.0,0.66,0.35,0.59,0.78,0.68,0.96,0.66,0.56,0.64,0.34
ENSNLET00000044466_ENSNLEG00000000419,0.48,0.39,0.96,0.64,0.27,0.5,0.64,0.95,0.27,0.48,0.39,0.64,0.95,0.25,0.46,0.36,0.34,0.99,0.69,0.64,0.24,0.47,0.37,0.66,1.0,0.69,0.25,0.46,0.36,0.64,0.34,0.24,0.98,0.69
ENSNLET00000041641_ENSNLEG00000000419,0.46,0.51,0.68,0.36,0.39,0.48,0.37,0.68,0.39,0.46,0.51,0.36,0.68,0.37,0.44,0.48,0.64,0.69,0.99,0.34,0.36,0.44,0.49,0.35,0.69,1.0,0.37,0.44,0.48,0.34,0.65,0.36,0.69,0.99
ENSNLET00000000527_ENSNLEG00000000419,0.47,0.57,0.25,0.37,0.76,0.62,0.51,0.25,0.89,0.61,0.71,0.51,0.25,0.87,0.67,0.77,0.69,0.25,0.36,0.57,0.97,0.69,0.79,0.59,0.25,0.37,1.0,0.66,0.76,0.56,0.68,0.96,0.25,0.37
