,ENSLACT00000009837_ENSLACG00000008607,ENSLACT00000025523_ENSLACG00000008607,ENSECRT00000034317_ENSECRG00000022737,ENSCMIT00000038375_ENSCMIG00000015895,ENSPVAT00000003846_ENSPVAG00000003846,ENSEEUT00000009255_ENSEEUG00000009208,ENSUAMT00000035886_ENSUAMG00000024610,ENSUAMT00000035887_ENSUAMG00000024611,ENSAMET00000006463_ENSAMEG00000005874,ENSUMAT00000037459_ENSUMAG00000022857,ENSUMAT00000037470_ENSUMAG00000022857
ENSLACT00000009837_ENSLACG00000008607,1.0,0.79,0.7,0.69,0.42,0.4,0.37,0.32,0.72,0.67,0.63
ENSLACT00000025523_ENSLACG00000008607,0.79,1.0,0.8,0.72,0.36,0.42,0.39,0.34,0.66,0.61,0.56
ENSECRT00000034317_ENSECRG00000022737,0.7,0.8,1.0,0.72,0.36,0.42,0.39,0.34,0.66,0.61,0.56
ENSCMIT00000038375_ENSCMIG00000015895,0.69,0.72,0.72,1.0,0.34,0.37,0.44,0.38,0.64,0.59,0.54
ENSPVAT00000003846_ENSPVAG00000003846,0.42,0.36,0.36,0.34,1.0,0.35,0.21,0.22,0.51,0.48,0.51
ENSEEUT00000009255_ENSEEUG00000009208,0.4,0.42,0.42,0.37,0.35,1.0,0.19,0.28,0.43,0.4,0.36
ENSUAMT00000035886_ENSUAMG00000024610,0.37,0.39,0.39,0.44,0.21,0.19,1.0,0.37,0.36,0.32,0.35
ENSUAMT00000035887_ENSUAMG00000024611,0.32,0.34,0.34,0.38,0.22,0.28,0.37,1.0,0.29,0.26,0.21
ENSAMET00000006463_ENSAMEG00000005874,0.72,0.66,0.66,0.64,0.51,0.43,0.36,0.29,1.0,0.86,0.8
ENSUMAT00000037459_ENSUMAG00000022857,0.67,0.61,0.61,0.59,0.48,0.4,0.32,0.26,0.86,1.0,0.89
ENSUMAT00000037470_ENSUMAG00000022857,0.63,0.56,0.56,0.54,0.51,0.36,0.35,0.21,0.8,0.89,1.0
