,ENSVURT00010012636_ENSVURG00010008599,ENSVURT00010028873_ENSVURG00010019428,ENSVURT00010025762_ENSVURG00010017351,ENSPCIT00000000962_ENSPCIG00000000592,ENSSHAT00000017188_ENSSHAG00000014488,ENSMODT00000070748_ENSMODG00000047466,ENSPCIT00000058618_ENSPCIG00000035941,ENSPCIT00000067315_ENSPCIG00000035941,ENSPCIT00000057507_ENSPCIG00000035941,ENSPCIT00000062303_ENSPCIG00000035941,ENSPCIT00000062378_ENSPCIG00000035941,ENSMODT00000070865_ENSMODG00000015219,ENSMODT00000081437_ENSMODG00000015219,ENSMODT00000084892_ENSMODG00000015219,ENSMODT00000060118_ENSMODG00000015219,ENSMODT00000072893_ENSMODG00000015219,ENSMODT00000080561_ENSMODG00000015219,ENSMODT00000087403_ENSMODG00000015219,ENSMODT00000019353_ENSMODG00000015219,ENSMODT00000019382_ENSMODG00000015242
ENSVURT00010012636_ENSVURG00010008599,1.0,0.52,0.52,0.52,0.55,0.52,0.69,0.68,0.5,0.44,0.44,0.63,0.63,0.66,0.65,0.63,0.62,0.61,0.59,0.54
ENSVURT00010028873_ENSVURG00010019428,0.52,1.0,0.9,0.69,0.61,0.73,0.39,0.4,0.42,0.41,0.44,0.34,0.35,0.35,0.35,0.35,0.35,0.35,0.36,0.58
ENSVURT00010025762_ENSVURG00010017351,0.52,0.9,1.0,0.69,0.61,0.73,0.39,0.4,0.42,0.41,0.44,0.34,0.35,0.35,0.35,0.35,0.35,0.35,0.36,0.58
ENSPCIT00000000962_ENSPCIG00000000592,0.52,0.69,0.69,1.0,0.67,0.63,0.39,0.39,0.42,0.41,0.43,0.35,0.35,0.35,0.35,0.36,0.36,0.36,0.37,0.58
ENSSHAT00000017188_ENSSHAG00000014488,0.55,0.61,0.61,0.67,1.0,0.63,0.42,0.42,0.45,0.44,0.46,0.37,0.37,0.38,0.38,0.38,0.38,0.38,0.4,0.57
ENSMODT00000070748_ENSMODG00000047466,0.52,0.73,0.73,0.63,0.63,1.0,0.39,0.39,0.41,0.41,0.43,0.35,0.35,0.35,0.35,0.36,0.36,0.36,0.37,0.58
ENSPCIT00000058618_ENSPCIG00000035941,0.69,0.39,0.39,0.39,0.42,0.39,1.0,0.94,0.62,0.66,0.58,0.79,0.79,0.82,0.81,0.78,0.78,0.77,0.74,0.41
ENSPCIT00000067315_ENSPCIG00000035941,0.68,0.4,0.4,0.39,0.42,0.39,0.94,1.0,0.62,0.67,0.59,0.77,0.77,0.8,0.78,0.81,0.75,0.75,0.72,0.41
ENSPCIT00000057507_ENSPCIG00000035941,0.5,0.42,0.42,0.42,0.45,0.41,0.62,0.62,1.0,0.63,0.67,0.52,0.52,0.53,0.53,0.54,0.49,0.54,0.47,0.4
ENSPCIT00000062303_ENSPCIG00000035941,0.44,0.41,0.41,0.41,0.44,0.41,0.66,0.67,0.63,1.0,0.71,0.54,0.55,0.55,0.56,0.56,0.56,0.57,0.54,0.39
ENSPCIT00000062378_ENSPCIG00000035941,0.44,0.44,0.44,0.43,0.46,0.43,0.58,0.59,0.67,0.71,1.0,0.5,0.51,0.51,0.51,0.51,0.51,0.52,0.53,0.41
ENSMODT00000070865_ENSMODG00000015219,0.63,0.34,0.34,0.35,0.37,0.35,0.79,0.77,0.52,0.54,0.5,1.0,0.97,0.93,0.92,0.89,0.87,0.88,0.84,0.36
ENSMODT00000081437_ENSMODG00000015219,0.63,0.35,0.35,0.35,0.37,0.35,0.79,0.77,0.52,0.55,0.51,0.97,1.0,0.93,0.92,0.89,0.87,0.88,0.83,0.36
ENSMODT00000084892_ENSMODG00000015219,0.66,0.35,0.35,0.35,0.38,0.35,0.82,0.8,0.53,0.55,0.51,0.93,0.93,1.0,0.95,0.92,0.9,0.91,0.87,0.37
ENSMODT00000060118_ENSMODG00000015219,0.65,0.35,0.35,0.35,0.38,0.35,0.81,0.78,0.53,0.56,0.51,0.92,0.92,0.95,1.0,0.95,0.89,0.89,0.85,0.35
ENSMODT00000072893_ENSMODG00000015219,0.63,0.35,0.35,0.36,0.38,0.36,0.78,0.81,0.54,0.56,0.51,0.89,0.89,0.92,0.95,1.0,0.87,0.87,0.83,0.36
ENSMODT00000080561_ENSMODG00000015219,0.62,0.35,0.35,0.36,0.38,0.36,0.78,0.75,0.49,0.56,0.51,0.87,0.87,0.9,0.89,0.87,1.0,0.85,0.91,0.37
ENSMODT00000087403_ENSMODG00000015219,0.61,0.35,0.35,0.36,0.38,0.36,0.77,0.75,0.54,0.57,0.52,0.88,0.88,0.91,0.89,0.87,0.85,1.0,0.81,0.36
ENSMODT00000019353_ENSMODG00000015219,0.59,0.36,0.36,0.37,0.4,0.37,0.74,0.72,0.47,0.54,0.53,0.84,0.83,0.87,0.85,0.83,0.91,0.81,1.0,0.39
ENSMODT00000019382_ENSMODG00000015242,0.54,0.58,0.58,0.58,0.57,0.58,0.41,0.41,0.4,0.39,0.41,0.36,0.36,0.37,0.35,0.36,0.37,0.36,0.39,1.0
