,FBtr0100174_FBgn0000578,FBtr0114623_FBgn0000578,FBtr0086584_FBgn0000578,FBtr0086582_FBgn0000578,FBtr0340450_FBgn0000578,FBtr0086583_FBgn0000578,FBtr0100176_FBgn0000578,Y50D4C.1a.1_WBGene00006770,Y50D4C.1b.1_WBGene00006770,Y50D4C.1c.1_WBGene00006770,Y50D4C.1d.1_WBGene00006770,Y50D4C.1e.1_WBGene00006770,Y50D4C.1f.1_WBGene00006770,Y50D4C.1g.1_WBGene00006770
FBtr0100174_FBgn0000578,1.0,0.55,0.62,0.75,0.8,0.75,0.75,0.18,0.09,0.2,0.09,0.09,0.13,0.13
FBtr0114623_FBgn0000578,0.55,1.0,0.67,0.6,0.54,0.6,0.6,0.07,0.04,0.07,0.04,0.03,0.08,0.07
FBtr0086584_FBgn0000578,0.62,0.67,1.0,0.57,0.62,0.57,0.57,0.09,0.07,0.1,0.06,0.06,0.1,0.1
FBtr0086582_FBgn0000578,0.75,0.6,0.57,1.0,0.75,0.8,0.8,0.18,0.09,0.2,0.09,0.09,0.13,0.13
FBtr0340450_FBgn0000578,0.8,0.54,0.62,0.75,1.0,0.75,0.75,0.19,0.1,0.21,0.09,0.09,0.13,0.13
FBtr0086583_FBgn0000578,0.75,0.6,0.57,0.8,0.75,1.0,0.8,0.18,0.09,0.2,0.09,0.09,0.13,0.13
FBtr0100176_FBgn0000578,0.75,0.6,0.57,0.8,0.75,0.8,1.0,0.18,0.09,0.2,0.09,0.09,0.13,0.13
Y50D4C.1a.1_WBGene00006770,0.18,0.07,0.09,0.18,0.19,0.18,0.18,1.0,0.39,0.65,0.69,0.53,0.38,0.32
Y50D4C.1b.1_WBGene00006770,0.09,0.04,0.07,0.09,0.1,0.09,0.09,0.39,1.0,0.6,0.51,0.26,0.12,0.12
Y50D4C.1c.1_WBGene00006770,0.2,0.07,0.1,0.2,0.21,0.2,0.2,0.65,0.6,1.0,0.39,0.23,0.12,0.12
Y50D4C.1d.1_WBGene00006770,0.09,0.04,0.06,0.09,0.09,0.09,0.09,0.69,0.51,0.39,1.0,0.63,0.45,0.38
Y50D4C.1e.1_WBGene00006770,0.09,0.03,0.06,0.09,0.09,0.09,0.09,0.53,0.26,0.23,0.63,1.0,0.58,0.49
Y50D4C.1f.1_WBGene00006770,0.13,0.08,0.1,0.13,0.13,0.13,0.13,0.38,0.12,0.12,0.45,0.58,1.0,0.59
Y50D4C.1g.1_WBGene00006770,0.13,0.07,0.1,0.13,0.13,0.13,0.13,0.32,0.12,0.12,0.38,0.49,0.59,1.0
