,ENSPPYT00000012334_ENSPPYG00000010606,ENSPPYT00000000167_ENSPPYG00000000156,ENSPPAT00000044916_ENSPPAG00000034254,ENSPPAT00000044922_ENSPPAG00000034254,ENSPPYT00000000069_ENSPPYG00000000065,ENSGGOT00000024150_ENSGGOG00000023042,ENSGGOT00000051571_ENSGGOG00000023042,ENSGGOT00000044320_ENSGGOG00000042736,ENSGGOT00000063760_ENSGGOG00000042736,ENSNLET00000045503_ENSNLEG00000027973,ENST00000564130_ENSG00000261456,ENST00000568866_ENSG00000261456,ENST00000568584_ENSG00000261456,ENST00000561967_ENSG00000261456,ENST00000562809_ENSG00000261456
ENSPPYT00000012334_ENSPPYG00000010606,1.0,0.46,0.19,0.25,0.25,0.25,0.28,0.39,0.3,0.4,0.1,0.2,0.25,0.33,0.34
ENSPPYT00000000167_ENSPPYG00000000156,0.46,1.0,0.19,0.23,0.23,0.23,0.26,0.4,0.29,0.41,0.1,0.19,0.24,0.31,0.32
ENSPPAT00000044916_ENSPPAG00000034254,0.19,0.19,1.0,0.6,0.59,0.58,0.44,0.27,0.36,0.25,0.37,0.67,0.58,0.37,0.43
ENSPPAT00000044922_ENSPPAG00000034254,0.25,0.23,0.6,1.0,0.86,0.85,0.62,0.35,0.52,0.23,0.44,0.72,0.85,0.53,0.66
ENSPPYT00000000069_ENSPPYG00000000065,0.25,0.23,0.59,0.86,1.0,0.85,0.62,0.36,0.52,0.23,0.44,0.72,0.85,0.53,0.66
ENSGGOT00000024150_ENSGGOG00000023042,0.25,0.23,0.58,0.85,0.85,1.0,0.62,0.36,0.52,0.23,0.44,0.72,0.86,0.53,0.66
ENSGGOT00000051571_ENSGGOG00000023042,0.28,0.26,0.44,0.62,0.62,0.62,1.0,0.32,0.51,0.25,0.31,0.52,0.62,0.51,0.6
ENSGGOT00000044320_ENSGGOG00000042736,0.39,0.4,0.27,0.35,0.36,0.36,0.32,1.0,0.36,0.32,0.17,0.29,0.36,0.33,0.35
ENSGGOT00000063760_ENSGGOG00000042736,0.3,0.29,0.36,0.52,0.52,0.52,0.51,0.36,1.0,0.27,0.2,0.41,0.52,0.5,0.59
ENSNLET00000045503_ENSNLEG00000027973,0.4,0.41,0.25,0.23,0.23,0.23,0.25,0.32,0.27,1.0,0.12,0.29,0.23,0.25,0.26
ENST00000564130_ENSG00000261456,0.1,0.1,0.37,0.44,0.44,0.44,0.31,0.17,0.2,0.12,1.0,0.45,0.45,0.21,0.25
ENST00000568866_ENSG00000261456,0.2,0.19,0.67,0.72,0.72,0.72,0.52,0.29,0.41,0.29,0.45,1.0,0.73,0.43,0.52
ENST00000568584_ENSG00000261456,0.25,0.24,0.58,0.85,0.85,0.86,0.62,0.36,0.52,0.23,0.45,0.73,1.0,0.53,0.66
ENST00000561967_ENSG00000261456,0.33,0.31,0.37,0.53,0.53,0.53,0.51,0.33,0.5,0.25,0.21,0.43,0.53,1.0,0.69
ENST00000562809_ENSG00000261456,0.34,0.32,0.43,0.66,0.66,0.66,0.6,0.35,0.59,0.26,0.25,0.52,0.66,0.69,1.0
