,FBtr0075819_FBgn0036372,K08E3.4.1_WBGene00010664,ENSBSLT00000031765_ENSBSLG00000014334,ENSCHAT00000048947_ENSCHAG00000021033,ENSCHAT00000048961_ENSCHAG00000021033,ENSCSAVT00000006133_ENSCSAVG00000003619,ENSCSAVT00000006134_ENSCSAVG00000003619,ENSCSAVT00000006135_ENSCSAVG00000003619,ENSCSAVT00000006136_ENSCSAVG00000003619,ENSCSAVT00000006137_ENSCSAVG00000003619,YCR088W_mRNA_YCR088W
FBtr0075819_FBgn0036372,1.0,0.5,0.44,0.4,0.46,0.46,0.47,0.44,0.45,0.46,0.37
K08E3.4.1_WBGene00010664,0.5,1.0,0.43,0.44,0.48,0.46,0.47,0.44,0.45,0.46,0.38
ENSBSLT00000031765_ENSBSLG00000014334,0.44,0.43,1.0,0.42,0.45,0.52,0.49,0.47,0.5,0.49,0.35
ENSCHAT00000048947_ENSCHAG00000021033,0.4,0.44,0.42,1.0,0.62,0.44,0.44,0.4,0.44,0.42,0.37
ENSCHAT00000048961_ENSCHAG00000021033,0.46,0.48,0.45,0.62,1.0,0.5,0.51,0.46,0.49,0.48,0.37
ENSCSAVT00000006133_ENSCSAVG00000003619,0.46,0.46,0.52,0.44,0.5,1.0,0.76,0.56,0.78,0.75,0.37
ENSCSAVT00000006134_ENSCSAVG00000003619,0.47,0.47,0.49,0.44,0.51,0.76,1.0,0.61,0.75,0.7,0.38
ENSCSAVT00000006135_ENSCSAVG00000003619,0.44,0.44,0.47,0.4,0.46,0.56,0.61,1.0,0.57,0.61,0.35
ENSCSAVT00000006136_ENSCSAVG00000003619,0.45,0.45,0.5,0.44,0.49,0.78,0.75,0.57,1.0,0.72,0.37
ENSCSAVT00000006137_ENSCSAVG00000003619,0.46,0.46,0.49,0.42,0.48,0.75,0.7,0.61,0.72,1.0,0.38
YCR088W_mRNA_YCR088W,0.37,0.38,0.35,0.37,0.37,0.37,0.38,0.35,0.37,0.38,1.0
