,ENSPMAT00000001519_ENSPMAG00000001360,ENSEBUT00000002856_ENSEBUG00000001890,ENSEBUT00000025555_ENSEBUG00000015424,ENSEBUT00000025570_ENSEBUG00000015424,ENSCHAT00000009156_ENSCHAG00000004825,ENSCHAT00000009222_ENSCHAG00000004825,ENSDCDT00000009649_ENSDCDG00000004373,ENSDCDT00000009653_ENSDCDG00000004373,ENSDCDT00000009682_ENSDCDG00000004373,ENSTRUT00000016541_ENSTRUG00000006702,ENSTRUT00000016540_ENSTRUG00000006702,ENSLBET00000023132_ENSLBEG00000016880,ENSXMAT00000018250_ENSXMAG00000018179,ENSXMAT00000038357_ENSXMAG00000018179,ENSGAFT00000011031_ENSGAFG00000007390,ENSGAFT00000011037_ENSGAFG00000007390,ENSPFOT00000013815_ENSPFOG00000013726,ENSPLAT00000011690_ENSPLAG00000004694,ENSPLAT00000011697_ENSPLAG00000004694,ENSPMET00000012714_ENSPMEG00000003362,ENSPRET00000005658_ENSPREG00000003882,ENSFHET00000009476_ENSFHEG00000004997
ENSPMAT00000001519_ENSPMAG00000001360,1.0,0.3,0.53,0.61,0.62,0.46,0.62,0.39,0.46,0.62,0.43,0.62,0.62,0.29,0.62,0.29,0.62,0.62,0.29,0.5,0.62,0.62
ENSEBUT00000002856_ENSEBUG00000001890,0.3,1.0,0.38,0.45,0.33,0.44,0.33,0.32,0.4,0.33,0.36,0.33,0.33,0.18,0.33,0.18,0.33,0.33,0.18,0.4,0.33,0.33
ENSEBUT00000025555_ENSEBUG00000015424,0.53,0.38,1.0,0.77,0.54,0.42,0.54,0.31,0.42,0.54,0.35,0.54,0.54,0.23,0.54,0.23,0.54,0.54,0.23,0.42,0.54,0.54
ENSEBUT00000025570_ENSEBUG00000015424,0.61,0.45,0.77,1.0,0.64,0.5,0.64,0.38,0.5,0.64,0.42,0.64,0.64,0.25,0.64,0.25,0.64,0.64,0.25,0.5,0.64,0.64
ENSCHAT00000009156_ENSCHAG00000004825,0.62,0.33,0.54,0.64,1.0,0.65,0.95,0.59,0.65,0.95,0.64,0.95,0.95,0.45,0.95,0.45,0.95,0.95,0.45,0.75,0.95,0.95
ENSCHAT00000009222_ENSCHAG00000004825,0.46,0.44,0.42,0.5,0.65,1.0,0.65,0.61,0.81,0.65,0.67,0.65,0.65,0.44,0.65,0.44,0.65,0.65,0.44,0.81,0.65,0.65
ENSDCDT00000009649_ENSDCDG00000004373,0.62,0.33,0.54,0.64,0.95,0.65,1.0,0.59,0.65,0.95,0.64,0.95,0.95,0.45,0.95,0.45,0.95,0.95,0.45,0.75,0.95,0.95
ENSDCDT00000009653_ENSDCDG00000004373,0.39,0.32,0.31,0.38,0.59,0.61,0.59,1.0,0.55,0.59,0.65,0.59,0.59,0.56,0.59,0.56,0.59,0.59,0.56,0.72,0.59,0.59
ENSDCDT00000009682_ENSDCDG00000004373,0.46,0.4,0.42,0.5,0.65,0.81,0.65,0.55,1.0,0.65,0.6,0.65,0.65,0.4,0.65,0.4,0.65,0.65,0.4,0.72,0.65,0.65
ENSTRUT00000016541_ENSTRUG00000006702,0.62,0.33,0.54,0.64,0.95,0.65,0.95,0.59,0.65,1.0,0.64,0.95,0.95,0.45,0.95,0.45,0.95,0.95,0.45,0.75,0.95,0.95
ENSTRUT00000016540_ENSTRUG00000006702,0.43,0.36,0.35,0.42,0.64,0.67,0.64,0.65,0.6,0.64,1.0,0.64,0.64,0.5,0.64,0.5,0.64,0.64,0.5,0.78,0.64,0.64
ENSLBET00000023132_ENSLBEG00000016880,0.62,0.33,0.54,0.64,0.95,0.65,0.95,0.59,0.65,0.95,0.64,1.0,0.95,0.45,0.95,0.45,0.95,0.95,0.45,0.75,0.95,0.95
ENSXMAT00000018250_ENSXMAG00000018179,0.62,0.33,0.54,0.64,0.95,0.65,0.95,0.59,0.65,0.95,0.64,0.95,1.0,0.45,0.95,0.45,0.95,0.95,0.45,0.75,0.95,0.95
ENSXMAT00000038357_ENSXMAG00000018179,0.29,0.18,0.23,0.25,0.45,0.44,0.45,0.56,0.4,0.45,0.5,0.45,0.45,1.0,0.45,0.93,0.45,0.45,0.93,0.56,0.45,0.45
ENSGAFT00000011031_ENSGAFG00000007390,0.62,0.33,0.54,0.64,0.95,0.65,0.95,0.59,0.65,0.95,0.64,0.95,0.95,0.45,1.0,0.45,0.95,0.95,0.45,0.75,0.95,0.95
ENSGAFT00000011037_ENSGAFG00000007390,0.29,0.18,0.23,0.25,0.45,0.44,0.45,0.56,0.4,0.45,0.5,0.45,0.45,0.93,0.45,1.0,0.45,0.45,0.93,0.56,0.45,0.45
ENSPFOT00000013815_ENSPFOG00000013726,0.62,0.33,0.54,0.64,0.95,0.65,0.95,0.59,0.65,0.95,0.64,0.95,0.95,0.45,0.95,0.45,1.0,0.95,0.45,0.75,0.95,0.95
ENSPLAT00000011690_ENSPLAG00000004694,0.62,0.33,0.54,0.64,0.95,0.65,0.95,0.59,0.65,0.95,0.64,0.95,0.95,0.45,0.95,0.45,0.95,1.0,0.45,0.75,0.95,0.95
ENSPLAT00000011697_ENSPLAG00000004694,0.29,0.18,0.23,0.25,0.45,0.44,0.45,0.56,0.4,0.45,0.5,0.45,0.45,0.93,0.45,0.93,0.45,0.45,1.0,0.56,0.45,0.45
ENSPMET00000012714_ENSPMEG00000003362,0.5,0.4,0.42,0.5,0.75,0.81,0.75,0.72,0.72,0.75,0.78,0.75,0.75,0.56,0.75,0.56,0.75,0.75,0.56,1.0,0.75,0.75
ENSPRET00000005658_ENSPREG00000003882,0.62,0.33,0.54,0.64,0.95,0.65,0.95,0.59,0.65,0.95,0.64,0.95,0.95,0.45,0.95,0.45,0.95,0.95,0.45,0.75,1.0,0.95
ENSFHET00000009476_ENSFHEG00000004997,0.62,0.33,0.54,0.64,0.95,0.65,0.95,0.59,0.65,0.95,0.64,0.95,0.95,0.45,0.95,0.45,0.95,0.95,0.45,0.75,0.95,1.0
