,ENSXMAT00000010324_ENSXMAG00000010293,ENSXCOT00000013687_ENSXCOG00000010245,ENSGAFT00000023938_ENSGAFG00000015990,ENSPFOT00000010190_ENSPFOG00000010226,ENSCVAT00000024676_ENSCVAG00000019260,ENSPNYT00000007033_ENSPNYG00000005283,ENSHBUT00000015995_ENSHBUG00000001299,ENSAPET00000017839_ENSAPEG00000012413,ENSAOCT00000030733_ENSAOCG00000017173,ENSLCRT00005004245_ENSLCRG00005002148,ENSGACT00000021535_ENSGACG00000016292,ENSTRUT00000052685_ENSTRUG00000023360,ENSSDUT00000006964_ENSSDUG00000005036
ENSXMAT00000010324_ENSXMAG00000010293,1.0,0.87,0.83,0.84,0.67,0.66,0.59,0.7,0.7,0.69,0.67,0.64,0.51
ENSXCOT00000013687_ENSXCOG00000010245,0.87,1.0,0.79,0.8,0.57,0.67,0.63,0.73,0.72,0.69,0.67,0.69,0.56
ENSGAFT00000023938_ENSGAFG00000015990,0.83,0.79,1.0,0.92,0.64,0.72,0.65,0.72,0.72,0.71,0.72,0.69,0.58
ENSPFOT00000010190_ENSPFOG00000010226,0.84,0.8,0.92,1.0,0.64,0.73,0.66,0.73,0.73,0.72,0.73,0.69,0.59
ENSCVAT00000024676_ENSCVAG00000019260,0.67,0.57,0.64,0.64,1.0,0.57,0.51,0.58,0.58,0.58,0.59,0.54,0.41
ENSPNYT00000007033_ENSPNYG00000005283,0.66,0.67,0.72,0.73,0.57,1.0,0.89,0.72,0.71,0.75,0.77,0.72,0.65
ENSHBUT00000015995_ENSHBUG00000001299,0.59,0.63,0.65,0.66,0.51,0.89,1.0,0.67,0.67,0.68,0.69,0.77,0.74
ENSAPET00000017839_ENSAPEG00000012413,0.7,0.73,0.72,0.73,0.58,0.72,0.67,1.0,1.0,0.76,0.73,0.75,0.6
ENSAOCT00000030733_ENSAOCG00000017173,0.7,0.72,0.72,0.73,0.58,0.71,0.67,1.0,1.0,0.76,0.73,0.75,0.6
ENSLCRT00005004245_ENSLCRG00005002148,0.69,0.69,0.71,0.72,0.58,0.75,0.68,0.76,0.76,1.0,0.77,0.75,0.6
ENSGACT00000021535_ENSGACG00000016292,0.67,0.67,0.72,0.73,0.59,0.77,0.69,0.73,0.73,0.77,1.0,0.72,0.6
ENSTRUT00000052685_ENSTRUG00000023360,0.64,0.69,0.69,0.69,0.54,0.72,0.77,0.75,0.75,0.75,0.72,1.0,0.7
ENSSDUT00000006964_ENSSDUG00000005036,0.51,0.56,0.58,0.59,0.41,0.65,0.74,0.6,0.6,0.6,0.6,0.7,1.0
