,ENSAOWT00000030788_ENSAOWG00000018309,ENSAHAT00000023899_ENSAHAG00000014814,ENSAHAT00000023920_ENSAHAG00000014814,ENSAHAT00000023949_ENSAHAG00000014814,ENSAHAT00000023953_ENSAHAG00000014814,ENSARWT00000026737_ENSARWG00000016093,ENSARWT00000026738_ENSARWG00000016093,ENSARWT00000026739_ENSARWG00000016093,ENSARWT00000026740_ENSARWG00000016093,ENSDNVT00000017288_ENSDNVG00000010129,ENSDNVT00000017319_ENSDNVG00000010129,ENSDNVT00000017357_ENSDNVG00000010129
ENSAOWT00000030788_ENSAOWG00000018309,1.0,0.75,0.76,0.68,0.71,0.99,0.97,0.97,0.96,0.93,0.93,0.21
ENSAHAT00000023899_ENSAHAG00000014814,0.75,1.0,0.89,0.87,0.85,0.75,0.74,0.73,0.75,0.71,0.71,0.3
ENSAHAT00000023920_ENSAHAG00000014814,0.76,0.89,1.0,0.84,0.77,0.76,0.74,0.73,0.73,0.71,0.71,0.32
ENSAHAT00000023949_ENSAHAG00000014814,0.68,0.87,0.84,1.0,0.77,0.68,0.66,0.65,0.69,0.64,0.64,0.37
ENSAHAT00000023953_ENSAHAG00000014814,0.71,0.85,0.77,0.77,1.0,0.7,0.69,0.68,0.7,0.66,0.66,0.37
ENSARWT00000026737_ENSARWG00000016093,0.99,0.75,0.76,0.68,0.7,1.0,0.98,0.97,0.96,0.94,0.94,0.21
ENSARWT00000026738_ENSARWG00000016093,0.97,0.74,0.74,0.66,0.69,0.98,1.0,0.96,0.95,0.92,0.92,0.19
ENSARWT00000026739_ENSARWG00000016093,0.97,0.73,0.73,0.65,0.68,0.97,0.96,1.0,0.94,0.91,0.91,0.23
ENSARWT00000026740_ENSARWG00000016093,0.96,0.75,0.73,0.69,0.7,0.96,0.95,0.94,1.0,0.91,0.91,0.24
ENSDNVT00000017288_ENSDNVG00000010129,0.93,0.71,0.71,0.64,0.66,0.94,0.92,0.91,0.91,1.0,0.99,0.22
ENSDNVT00000017319_ENSDNVG00000010129,0.93,0.71,0.71,0.64,0.66,0.94,0.92,0.91,0.91,0.99,1.0,0.22
ENSDNVT00000017357_ENSDNVG00000010129,0.21,0.3,0.32,0.37,0.37,0.21,0.19,0.23,0.24,0.22,0.22,1.0
