,K08D8.5.1_WBGene00010659,C32H11.1a.1_WBGene00007864,C32H11.1b.1_WBGene00007864,K08D8.4a.1_WBGene00010658,K08D8.4a.2_WBGene00010658,K08D8.4b.1_WBGene00010658,K08D8.4b.2_WBGene00010658,K08D8.4c.1_WBGene00010658,K08D8.4d.1_WBGene00010658,K08D8.3.1_WBGene00010657,C32H11.10.1_WBGene00007873,C32H11.9.1_WBGene00007872,C32H11.12.1_WBGene00007875,F55C9.6.1_WBGene00010103,ZK896.5.1_WBGene00014136,ZK896.5.2_WBGene00014136,ZK896.4.1_WBGene00014135,K08D8.6a.1_WBGene00010660,K08D8.6b.1_WBGene00010660,ZK896.1.1_WBGene00014132,C29F3.7a.1_WBGene00007807,C29F3.7b.1_WBGene00007807,ZK1037.6.1_WBGene00014194,T05E12.6a.1_WBGene00011487,T05E12.6b.1_WBGene00011487,K10D11.5.1_WBGene00010749,K10D11.3a.1_WBGene00010747,K10D11.3b.1_WBGene00010747,K10D11.3c.1_WBGene00010747,K10D11.6.1_WBGene00010750,K10D11.4.1_WBGene00010748,F55G11.4.1_WBGene00010124,F55G11.2.1_WBGene00010123,F55G11.8.1_WBGene00010128,F55G11.6.1_WBGene00010126,F55G11.7.1_WBGene00010127,F55G11.7.2_WBGene00010127,C49G7.13.1_WBGene00269425,K10D11.1.1_WBGene00010745,C32H11.13.1_WBGene00007876,F55G11.5a.1_WBGene00010125,F55G11.5b.1_WBGene00010125,K10D11.2.1_WBGene00010746,C32H11.3.1_WBGene00007866,C32H11.4.1_WBGene00007867,T19C9.8.1_WBGene00011844,F17C11.11a.1_WBGene00008922,F17C11.11b.1_WBGene00008922,C45B11.6.1_WBGene00045379,ENSPNAT00000002131_ENSPNAG00000013119,ENSCABT00000029595_ENSCABG00000019821,ENSGAGT00000027995_ENSGAGG00000017962
K08D8.5.1_WBGene00010659,1.0,0.22,0.25,0.22,0.22,0.21,0.21,0.25,0.22,0.22,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.05,0.08,0.05,0.05,0.05,0.05,1e-18,0.05,0.12,0.12,0.2,0.12,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.11,0.05,0.05,0.05,0.06,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
C32H11.1a.1_WBGene00007864,0.22,1.0,0.61,0.67,0.67,0.33,0.33,0.5,0.67,0.55,0.05,0.05,0.05,0.05,0.13,0.13,0.13,0.13,0.12,0.13,0.04,0.04,0.04,0.04,1e-18,0.04,0.25,0.25,0.33,0.25,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.05,0.05,0.06,0.04,1e-18,1e-18,1e-18
C32H11.1b.1_WBGene00007864,0.25,0.61,1.0,0.61,0.61,0.28,0.28,0.56,0.61,0.61,0.06,0.06,0.06,0.05,0.14,0.14,0.14,0.14,0.12,0.14,0.04,0.04,0.04,0.04,1e-18,0.04,0.27,0.27,0.36,0.27,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.05,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
K08D8.4a.1_WBGene00010658,0.22,0.67,0.61,1.0,0.67,0.33,0.33,0.5,0.67,0.55,0.05,0.05,0.05,0.05,0.13,0.13,0.13,0.13,0.12,0.13,0.04,0.04,0.04,0.04,1e-18,0.04,0.25,0.25,0.33,0.25,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.05,0.05,0.06,0.04,1e-18,1e-18,1e-18
K08D8.4a.2_WBGene00010658,0.22,0.67,0.61,0.67,1.0,0.33,0.33,0.5,0.67,0.55,0.05,0.05,0.05,0.05,0.13,0.13,0.13,0.13,0.12,0.13,0.04,0.04,0.04,0.04,1e-18,0.04,0.25,0.25,0.33,0.25,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.05,0.05,0.06,0.04,1e-18,1e-18,1e-18
K08D8.4b.1_WBGene00010658,0.21,0.33,0.28,0.33,0.33,1.0,0.5,0.22,0.33,0.25,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.04,0.07,0.05,0.05,0.05,0.05,1e-18,0.05,0.15,0.15,0.23,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.06,0.07,0.08,0.06,1e-18,1e-18,1e-18
K08D8.4b.2_WBGene00010658,0.21,0.33,0.28,0.33,0.33,0.5,1.0,0.22,0.33,0.25,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.04,0.07,0.05,0.05,0.05,0.05,1e-18,0.05,0.15,0.15,0.23,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.06,0.07,0.08,0.06,1e-18,1e-18,1e-18
K08D8.4c.1_WBGene00010658,0.25,0.5,0.56,0.5,0.5,0.22,0.22,1.0,0.5,0.5,0.06,0.06,0.06,0.06,0.11,0.11,0.11,0.11,0.08,0.11,0.04,0.04,0.04,0.04,1e-18,0.04,0.19,0.19,0.27,0.19,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.05,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
K08D8.4d.1_WBGene00010658,0.22,0.67,0.61,0.67,0.67,0.33,0.33,0.5,1.0,0.55,0.05,0.05,0.05,0.05,0.13,0.13,0.13,0.13,0.12,0.13,0.04,0.04,0.04,0.04,1e-18,0.04,0.25,0.25,0.33,0.25,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.05,0.05,0.06,0.04,1e-18,1e-18,1e-18
K08D8.3.1_WBGene00010657,0.22,0.55,0.61,0.55,0.55,0.25,0.25,0.5,0.55,1.0,0.05,0.05,0.05,0.05,0.18,0.18,0.18,0.18,0.17,0.18,0.03,0.03,0.03,0.03,1e-18,0.03,0.31,0.31,0.41,0.31,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
