,ENSPKIT00000025308_ENSPKIG00000019705,ENSSFOT00015026674_ENSSFOG00015016953,ENSSFOT00015022497_ENSSFOG00015014308,ENSSFOT00015022518_ENSSFOG00015014308,ENSCHAT00000058738_ENSCHAG00000024666,ENSCHAT00000058759_ENSCHAG00000024666,ENSCHAT00000058769_ENSCHAG00000024666,ENSCHAT00000058794_ENSCHAG00000024666,ENSDCDT00000063549_ENSDCDG00000031385,ENSDCDT00000063554_ENSDCDG00000031385,ENSPNAT00000028910_ENSPNAG00000005201,ENSAMXT00000048916_ENSAMXG00000039169,ENSEEET00000048672_ENSEEEG00000022667,ENSEEET00000048673_ENSEEEG00000022667,ENSIPUT00000026629_ENSIPUG00000017273,ENSIPUT00000026660_ENSIPUG00000017273,ENSIPUT00000026679_ENSIPUG00000017273
ENSPKIT00000025308_ENSPKIG00000019705,1.0,0.9,0.93,0.89,0.82,0.73,0.65,0.75,0.76,0.85,0.84,0.81,0.65,0.69,0.71,0.75,0.77
ENSSFOT00015026674_ENSSFOG00015016953,0.9,1.0,0.9,0.86,0.81,0.73,0.65,0.74,0.76,0.86,0.83,0.8,0.66,0.69,0.71,0.75,0.77
ENSSFOT00015022497_ENSSFOG00015014308,0.93,0.9,1.0,0.95,0.81,0.73,0.66,0.74,0.76,0.85,0.83,0.8,0.65,0.69,0.71,0.74,0.77
ENSSFOT00015022518_ENSSFOG00015014308,0.89,0.86,0.95,1.0,0.77,0.69,0.62,0.7,0.72,0.81,0.79,0.76,0.61,0.65,0.67,0.7,0.73
ENSCHAT00000058738_ENSCHAG00000024666,0.82,0.81,0.81,0.77,1.0,0.83,0.7,0.86,0.78,0.83,0.8,0.81,0.66,0.69,0.72,0.75,0.78
ENSCHAT00000058759_ENSCHAG00000024666,0.73,0.73,0.73,0.69,0.83,1.0,0.63,0.76,0.7,0.75,0.72,0.73,0.59,0.63,0.65,0.67,0.69
ENSCHAT00000058769_ENSCHAG00000024666,0.65,0.65,0.66,0.62,0.7,0.63,1.0,0.7,0.61,0.66,0.71,0.67,0.96,0.64,0.59,0.6,0.63
ENSCHAT00000058794_ENSCHAG00000024666,0.75,0.74,0.74,0.7,0.86,0.76,0.7,1.0,0.82,0.77,0.79,0.76,0.68,0.81,0.79,0.7,0.72
ENSDCDT00000063549_ENSDCDG00000031385,0.76,0.76,0.76,0.72,0.78,0.7,0.61,0.82,1.0,0.88,0.75,0.79,0.61,0.77,0.77,0.72,0.73
ENSDCDT00000063554_ENSDCDG00000031385,0.85,0.86,0.85,0.81,0.83,0.75,0.66,0.77,0.88,1.0,0.83,0.8,0.65,0.71,0.72,0.74,0.77
ENSPNAT00000028910_ENSPNAG00000005201,0.84,0.83,0.83,0.79,0.8,0.72,0.71,0.79,0.75,0.83,1.0,0.84,0.72,0.76,0.76,0.78,0.81
ENSAMXT00000048916_ENSAMXG00000039169,0.81,0.8,0.8,0.76,0.81,0.73,0.67,0.76,0.79,0.8,0.84,1.0,0.68,0.76,0.75,0.79,0.8
ENSEEET00000048672_ENSEEEG00000022667,0.65,0.66,0.65,0.61,0.66,0.59,0.96,0.68,0.61,0.65,0.72,0.68,1.0,0.67,0.61,0.61,0.64
ENSEEET00000048673_ENSEEEG00000022667,0.69,0.69,0.69,0.65,0.69,0.63,0.64,0.81,0.77,0.71,0.76,0.76,0.67,1.0,0.76,0.67,0.69
ENSIPUT00000026629_ENSIPUG00000017273,0.71,0.71,0.71,0.67,0.72,0.65,0.59,0.79,0.77,0.72,0.76,0.75,0.61,0.76,1.0,0.77,0.78
ENSIPUT00000026660_ENSIPUG00000017273,0.75,0.75,0.74,0.7,0.75,0.67,0.6,0.7,0.72,0.74,0.78,0.79,0.61,0.67,0.77,1.0,0.85
ENSIPUT00000026679_ENSIPUG00000017273,0.77,0.77,0.77,0.73,0.78,0.69,0.63,0.72,0.73,0.77,0.81,0.8,0.64,0.69,0.78,0.85,1.0
