,ENSEBUT00000025849_ENSEBUG00000015595,ENSEBUT00000025881_ENSEBUG00000015595,ENSPMAT00000006619_ENSPMAG00000005964,ENSAOWT00000008289_ENSAOWG00000005026,ENSAOWT00000008296_ENSAOWG00000005026,ENSAOWT00000008312_ENSAOWG00000005026,ENSAHAT00000023864_ENSAHAG00000015211,ENSAHAT00000023869_ENSAHAG00000015211,ENSAHAT00000023878_ENSAHAG00000015211,ENSAHAT00000023886_ENSAHAG00000015211,ENSARWT00000026559_ENSARWG00000015978,ENSARWT00000026560_ENSARWG00000015978,ENSARWT00000026561_ENSARWG00000015978,ENSDNVT00000000017_ENSDNVG00000000006,ENSDNVT00000000018_ENSDNVG00000000006
ENSEBUT00000025849_ENSEBUG00000015595,1.0,0.78,0.24,0.43,0.41,0.45,0.39,0.41,0.37,0.43,0.39,0.41,0.43,0.45,0.43
ENSEBUT00000025881_ENSEBUG00000015595,0.78,1.0,0.2,0.37,0.35,0.39,0.33,0.35,0.31,0.37,0.33,0.35,0.37,0.39,0.37
ENSPMAT00000006619_ENSPMAG00000005964,0.24,0.2,1.0,0.34,0.31,0.35,0.32,0.33,0.29,0.34,0.32,0.33,0.34,0.3,0.34
ENSAOWT00000008289_ENSAOWG00000005026,0.43,0.37,0.34,1.0,0.86,0.88,0.84,0.8,0.8,0.9,0.84,0.8,0.9,0.79,0.88
ENSAOWT00000008296_ENSAOWG00000005026,0.41,0.35,0.31,0.86,1.0,0.81,0.8,0.75,0.83,0.86,0.8,0.75,0.86,0.74,0.83
ENSAOWT00000008312_ENSAOWG00000005026,0.45,0.39,0.35,0.88,0.81,1.0,0.8,0.83,0.75,0.86,0.8,0.83,0.86,0.74,0.83
ENSAHAT00000023864_ENSAHAG00000015211,0.39,0.33,0.32,0.84,0.8,0.8,1.0,0.89,0.86,0.86,0.91,0.86,0.84,0.73,0.82
ENSAHAT00000023869_ENSAHAG00000015211,0.41,0.35,0.33,0.8,0.75,0.83,0.89,1.0,0.82,0.82,0.86,0.9,0.8,0.68,0.77
ENSAHAT00000023878_ENSAHAG00000015211,0.37,0.31,0.29,0.8,0.83,0.75,0.86,0.82,1.0,0.8,0.86,0.82,0.8,0.68,0.77
ENSAHAT00000023886_ENSAHAG00000015211,0.43,0.37,0.34,0.9,0.86,0.86,0.86,0.82,0.8,1.0,0.84,0.8,0.9,0.79,0.88
ENSARWT00000026559_ENSARWG00000015978,0.39,0.33,0.32,0.84,0.8,0.8,0.91,0.86,0.86,0.84,1.0,0.89,0.86,0.75,0.84
ENSARWT00000026560_ENSARWG00000015978,0.41,0.35,0.33,0.8,0.75,0.83,0.86,0.9,0.82,0.8,0.89,1.0,0.82,0.7,0.8
ENSARWT00000026561_ENSARWG00000015978,0.43,0.37,0.34,0.9,0.86,0.86,0.84,0.8,0.8,0.9,0.86,0.82,1.0,0.81,0.9
ENSDNVT00000000017_ENSDNVG00000000006,0.45,0.39,0.3,0.79,0.74,0.74,0.73,0.68,0.68,0.79,0.75,0.7,0.81,1.0,0.83
ENSDNVT00000000018_ENSDNVG00000000006,0.43,0.37,0.34,0.88,0.83,0.83,0.82,0.77,0.77,0.88,0.84,0.8,0.9,0.83,1.0
