,ENSLOCT00000010680_ENSLOCG00000008755,ENSECRT00000018306_ENSECRG00000011957,ENSCMIT00000016803_ENSCMIG00000007868,ENSCMIT00000016834_ENSCMIG00000007868,ENSCMIT00000016853_ENSCMIG00000007868,ENSCMIT00000016860_ENSCMIG00000007868,ENSDCDT00000064215_ENSDCDG00000031344,ENSDCDT00000064221_ENSDCDG00000031344,ENSDCDT00000064346_ENSDCDG00000031344,ENSDCDT00000064352_ENSDCDG00000031344,ENSDCDT00000064354_ENSDCDG00000031344,ENSCHAT00000009196_ENSCHAG00000002768,ENSCHAT00000009629_ENSCHAG00000002768,ENSCHAT00000010004_ENSCHAG00000002768,ENSCHAT00000010209_ENSCHAG00000002768,ENSCHAT00000010273_ENSCHAG00000002768,ENSCHAT00000010332_ENSCHAG00000002768,ENSCHAT00000010417_ENSCHAG00000002768,ENSCHAT00000010625_ENSCHAG00000002768,ENSAMXT00000018209_ENSAMXG00000017682,ENSAMXT00000035698_ENSAMXG00000017682
ENSLOCT00000010680_ENSLOCG00000008755,1.0,0.69,0.71,0.82,0.73,0.79,0.76,0.74,0.72,0.75,0.73,0.69,0.69,0.73,0.7,0.81,0.85,0.79,0.75,0.86,0.83
ENSECRT00000018306_ENSECRG00000011957,0.69,1.0,0.6,0.64,0.58,0.66,0.63,0.59,0.64,0.65,0.64,0.65,0.63,0.66,0.6,0.65,0.67,0.65,0.69,0.68,0.66
ENSCMIT00000016803_ENSCMIG00000007868,0.71,0.6,1.0,0.78,0.79,0.84,0.69,0.67,0.66,0.75,0.67,0.63,0.62,0.61,0.69,0.68,0.7,0.71,0.65,0.71,0.69
ENSCMIT00000016834_ENSCMIG00000007868,0.82,0.64,0.78,1.0,0.88,0.87,0.72,0.7,0.68,0.71,0.7,0.64,0.64,0.68,0.65,0.77,0.8,0.75,0.7,0.81,0.78
ENSCMIT00000016853_ENSCMIG00000007868,0.73,0.58,0.79,0.88,1.0,0.83,0.7,0.68,0.67,0.73,0.68,0.62,0.62,0.62,0.67,0.69,0.72,0.72,0.63,0.73,0.71
ENSCMIT00000016860_ENSCMIG00000007868,0.79,0.66,0.84,0.87,0.83,1.0,0.77,0.73,0.72,0.75,0.74,0.66,0.67,0.67,0.7,0.75,0.78,0.75,0.71,0.79,0.77
ENSDCDT00000064215_ENSDCDG00000031344,0.76,0.63,0.69,0.72,0.7,0.77,1.0,0.8,0.8,0.83,0.86,0.65,0.65,0.71,0.74,0.81,0.79,0.76,0.7,0.8,0.85
ENSDCDT00000064221_ENSDCDG00000031344,0.74,0.59,0.67,0.7,0.68,0.73,0.8,1.0,0.77,0.8,0.79,0.64,0.72,0.67,0.69,0.74,0.76,0.75,0.67,0.77,0.75
ENSDCDT00000064346_ENSDCDG00000031344,0.72,0.64,0.66,0.68,0.67,0.72,0.8,0.77,1.0,0.88,0.82,0.66,0.65,0.65,0.71,0.73,0.75,0.75,0.66,0.76,0.74
ENSDCDT00000064352_ENSDCDG00000031344,0.75,0.65,0.75,0.71,0.73,0.75,0.83,0.8,0.88,1.0,0.86,0.71,0.7,0.68,0.78,0.76,0.78,0.81,0.69,0.78,0.77
ENSDCDT00000064354_ENSDCDG00000031344,0.73,0.64,0.67,0.7,0.68,0.74,0.86,0.79,0.82,0.86,1.0,0.64,0.63,0.67,0.69,0.77,0.76,0.74,0.67,0.77,0.79
ENSCHAT00000009196_ENSCHAG00000002768,0.69,0.65,0.63,0.64,0.62,0.66,0.65,0.64,0.66,0.71,0.64,1.0,0.81,0.76,0.78,0.73,0.77,0.84,0.77,0.71,0.68
ENSCHAT00000009629_ENSCHAG00000002768,0.69,0.63,0.62,0.64,0.62,0.67,0.65,0.72,0.65,0.7,0.63,0.81,1.0,0.75,0.78,0.73,0.77,0.86,0.77,0.71,0.68
ENSCHAT00000010004_ENSCHAG00000002768,0.73,0.66,0.61,0.68,0.62,0.67,0.71,0.67,0.65,0.68,0.67,0.76,0.75,1.0,0.79,0.79,0.83,0.78,0.8,0.76,0.73
ENSCHAT00000010209_ENSCHAG00000002768,0.7,0.6,0.69,0.65,0.67,0.7,0.74,0.69,0.71,0.78,0.69,0.78,0.78,0.79,1.0,0.75,0.79,0.84,0.74,0.73,0.7
ENSCHAT00000010273_ENSCHAG00000002768,0.81,0.65,0.68,0.77,0.69,0.75,0.81,0.74,0.73,0.76,0.77,0.73,0.73,0.79,0.75,1.0,0.93,0.85,0.81,0.85,0.87
ENSCHAT00000010332_ENSCHAG00000002768,0.85,0.67,0.7,0.8,0.72,0.78,0.79,0.76,0.75,0.78,0.76,0.77,0.77,0.83,0.79,0.93,1.0,0.89,0.86,0.89,0.86
ENSCHAT00000010417_ENSCHAG00000002768,0.79,0.65,0.71,0.75,0.72,0.75,0.76,0.75,0.75,0.81,0.74,0.84,0.86,0.78,0.84,0.85,0.89,1.0,0.78,0.83,0.8
ENSCHAT00000010625_ENSCHAG00000002768,0.75,0.69,0.65,0.7,0.63,0.71,0.7,0.67,0.66,0.69,0.67,0.77,0.77,0.8,0.74,0.81,0.86,0.78,1.0,0.78,0.75
ENSAMXT00000018209_ENSAMXG00000017682,0.86,0.68,0.71,0.81,0.73,0.79,0.8,0.77,0.76,0.78,0.77,0.71,0.71,0.76,0.73,0.85,0.89,0.83,0.78,1.0,0.94
ENSAMXT00000035698_ENSAMXG00000017682,0.83,0.66,0.69,0.78,0.71,0.77,0.85,0.75,0.74,0.77,0.79,0.68,0.68,0.73,0.7,0.87,0.86,0.8,0.75,0.94,1.0
