,ENSMLET00000000966_ENSMLEG00000000851,ENSPANT00000050717_ENSPANG00000034670,ENSMFAT00000042066_ENSMFAG00000008838,ENSMNET00000029814_ENSMNEG00000027123,ENSTGET00000030864_ENSTGEG00000020883,ENSCATT00000019703_ENSCATG00000017253,ENSPTET00000043694_ENSPTEG00000030597,ENSPTRT00000101583_ENSPTRG00000045650,ENSPPAT00000009659_ENSPPAG00000008964,ENSGGOT00000063897_ENSGGOG00000037302,ENSANAT00000022919_ENSANAG00000020702,ENSPSMT00000036391_ENSPSMG00000021882,ENSFDAT00000009623_ENSFDAG00000021033
ENSMLET00000000966_ENSMLEG00000000851,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,0.99,0.47
ENSPANT00000050717_ENSPANG00000034670,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,0.99,0.47
ENSMFAT00000042066_ENSMFAG00000008838,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,0.99,0.47
ENSMNET00000029814_ENSMNEG00000027123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,0.99,0.47
ENSTGET00000030864_ENSTGEG00000020883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,0.99,0.47
ENSCATT00000019703_ENSCATG00000017253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,0.99,0.47
ENSPTET00000043694_ENSPTEG00000030597,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,0.99,0.47
ENSPTRT00000101583_ENSPTRG00000045650,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,1.0,0.47
ENSPPAT00000009659_ENSPPAG00000008964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,1.0,0.47
ENSGGOT00000063897_ENSGGOG00000037302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,1.0,0.47
ENSANAT00000022919_ENSANAG00000020702,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,1.0,0.68,0.45
ENSPSMT00000036391_ENSPSMG00000021882,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.0,1.0,1.0,0.68,1.0,0.47
ENSFDAT00000009623_ENSFDAG00000021033,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.45,0.47,1.0
