,ENSAHAT00000008308_ENSAHAG00000005522,ENSAHAT00000008311_ENSAHAG00000005522,ENSAHAT00000008325_ENSAHAG00000005522,ENSAHAT00000008356_ENSAHAG00000005522,ENSAHAT00000008375_ENSAHAG00000005522,ENSAOWT00000032439_ENSAOWG00000019289,ENSAOWT00000032440_ENSAOWG00000019289,ENSAOWT00000032442_ENSAOWG00000019289,ENSARWT00000019779_ENSARWG00000011968,ENSDNVT00000007356_ENSDNVG00000004364,ENSNPET00000021018_ENSNPEG00000015029,ENSNPET00000021038_ENSNPEG00000015029,ENSNPET00000021073_ENSNPEG00000015029,ENSNPET00000021089_ENSNPEG00000015029,ENSNPET00000021093_ENSNPEG00000015029,ENSCPUT00000030240_ENSCPUG00000017316,ENSCPUT00000030241_ENSCPUG00000017316,ENSCPUT00000030242_ENSCPUG00000017316,ENSCPUT00000030244_ENSCPUG00000017316,ENSCPUT00000030245_ENSCPUG00000017316,ENSCPUT00000030252_ENSCPUG00000017316,ENSCPUT00000030254_ENSCPUG00000017316,ENSCPUT00000030255_ENSCPUG00000017316,ENSCPUT00000030256_ENSCPUG00000017316,ENSCPGT00000028508_ENSCPGG00000017964,ENSCPGT00000028560_ENSCPGG00000017964,ENSCPGT00000028562_ENSCPGG00000017964,ENSCPGT00000028563_ENSCPGG00000017964,ENSZALT00000005102_ENSZALG00000003213
ENSAHAT00000008308_ENSAHAG00000005522,1.0,0.45,0.44,0.28,0.25,0.69,0.45,0.25,0.62,0.61,0.69,0.56,0.5,0.5,0.56,0.2,0.2,0.2,0.05,0.06,0.5,0.28,0.28,0.56,0.33,0.5,0.25,0.22,0.56
ENSAHAT00000008311_ENSAHAG00000005522,0.45,1.0,0.23,0.17,0.23,0.41,0.68,0.23,0.5,0.45,0.45,0.55,0.5,0.5,0.55,0.15,0.15,0.17,0.04,0.04,0.38,0.21,0.21,0.42,0.29,0.42,0.21,0.17,0.42
ENSAHAT00000008325_ENSAHAG00000005522,0.44,0.23,1.0,0.25,0.21,0.38,0.23,0.21,0.31,0.33,0.38,0.28,0.25,0.25,0.28,0.28,0.28,0.28,0.06,0.06,0.25,0.38,0.38,0.28,0.12,0.25,0.12,0.19,0.28
ENSAHAT00000008356_ENSAHAG00000005522,0.28,0.17,0.25,1.0,0.33,0.22,0.17,0.33,0.22,0.25,0.28,0.2,0.18,0.18,0.2,0.15,0.15,0.15,1e-18,1e-18,0.18,0.17,0.17,0.2,0.12,0.18,0.18,0.29,0.2
ENSAHAT00000008375_ENSAHAG00000005522,0.25,0.23,0.21,0.33,1.0,0.19,0.23,0.5,0.31,0.22,0.25,0.28,0.25,0.25,0.28,0.17,0.17,0.17,1e-18,1e-18,0.2,0.19,0.19,0.22,0.12,0.2,0.2,0.33,0.22
ENSAOWT00000032439_ENSAOWG00000019289,0.69,0.41,0.38,0.22,0.19,1.0,0.41,0.19,0.56,0.56,0.62,0.5,0.45,0.45,0.5,0.15,0.15,0.15,0.05,0.06,0.45,0.22,0.22,0.5,0.29,0.45,0.21,0.17,0.5
ENSAOWT00000032440_ENSAOWG00000019289,0.45,0.68,0.23,0.17,0.23,0.41,1.0,0.23,0.5,0.45,0.45,0.55,0.5,0.5,0.55,0.15,0.15,0.17,0.04,0.04,0.38,0.21,0.21,0.42,0.29,0.42,0.21,0.17,0.42
ENSAOWT00000032442_ENSAOWG00000019289,0.25,0.23,0.21,0.33,0.5,0.19,0.23,1.0,0.31,0.22,0.25,0.28,0.25,0.25,0.28,0.17,0.17,0.17,1e-18,1e-18,0.2,0.19,0.19,0.22,0.12,0.2,0.2,0.33,0.22
ENSARWT00000019779_ENSARWG00000011968,0.62,0.5,0.31,0.22,0.31,0.56,0.5,0.31,1.0,0.56,0.62,0.61,0.55,0.55,0.61,0.2,0.2,0.2,0.05,0.06,0.5,0.28,0.28,0.56,0.33,0.5,0.25,0.22,0.56
ENSDNVT00000007356_ENSDNVG00000004364,0.61,0.45,0.33,0.25,0.22,0.56,0.45,0.22,0.56,1.0,0.61,0.5,0.45,0.45,0.5,0.18,0.18,0.25,0.05,0.05,0.45,0.25,0.25,0.5,0.31,0.55,0.29,0.2,0.5
ENSNPET00000021018_ENSNPEG00000015029,0.69,0.45,0.38,0.28,0.25,0.62,0.45,0.25,0.62,0.61,1.0,0.56,0.5,0.5,0.56,0.2,0.2,0.2,0.05,0.06,0.5,0.28,0.28,0.56,0.33,0.5,0.25,0.22,0.56
ENSNPET00000021038_ENSNPEG00000015029,0.56,0.55,0.28,0.2,0.28,0.5,0.55,0.28,0.61,0.5,0.56,1.0,0.6,0.6,0.72,0.18,0.18,0.18,0.05,0.05,0.45,0.25,0.25,0.5,0.31,0.45,0.23,0.2,0.5
ENSNPET00000021073_ENSNPEG00000015029,0.5,0.5,0.25,0.18,0.25,0.45,0.5,0.25,0.55,0.45,0.5,0.6,1.0,0.7,0.6,0.17,0.17,0.17,0.04,0.05,0.42,0.23,0.23,0.45,0.29,0.42,0.21,0.18,0.45
ENSNPET00000021089_ENSNPEG00000015029,0.5,0.5,0.25,0.18,0.25,0.45,0.5,0.25,0.55,0.45,0.5,0.6,0.7,1.0,0.6,0.17,0.17,0.17,0.04,0.05,0.42,0.23,0.23,0.45,0.29,0.42,0.21,0.18,0.45
ENSNPET00000021093_ENSNPEG00000015029,0.56,0.55,0.28,0.2,0.28,0.5,0.55,0.28,0.61,0.5,0.56,0.72,0.6,0.6,1.0,0.18,0.18,0.18,0.05,0.05,0.45,0.25,0.25,0.5,0.31,0.45,0.23,0.2,0.5
ENSCPUT00000030240_ENSCPUG00000017316,0.2,0.15,0.28,0.15,0.17,0.15,0.15,0.17,0.2,0.18,0.2,0.18,0.17,0.17,0.18,1.0,0.5,0.5,1e-18,1e-18,0.18,0.33,0.33,0.2,0.15,0.18,0.12,0.17,0.2
ENSCPUT00000030241_ENSCPUG00000017316,0.2,0.15,0.28,0.15,0.17,0.15,0.15,0.17,0.2,0.18,0.2,0.18,0.17,0.17,0.18,0.5,1.0,0.5,1e-18,1e-18,0.25,0.33,0.33,0.28,0.15,0.18,0.12,0.19,0.28
