,ENSDCDT00000047624_ENSDCDG00000024965,ENSIPUT00000005898_ENSIPUG00000003938,ENSDART00000020616_ENSDARG00000008010,ENSHHUT00000034428_ENSHHUG00000020928,ENSELUT00000005933_ENSELUG00000008881,ENSSMAT00000030064_ENSSMAG00000018207,ENSGWIT00000057547_ENSGWIG00000025664,ENSBSLT00000018814_ENSBSLG00000008774,ENSTRUT00000025441_ENSTRUG00000010070,ENSMMOT00000012092_ENSMMOG00000009146,ENSLCRT00005010571_ENSLCRG00005004722,ENSCGOT00000034481_ENSCGOG00000014934,ENSLCAT00010010615_ENSLCAG00010004957,ENSCSET00000010104_ENSCSEG00000006410,ENSSDUT00000010861_ENSSDUG00000007804
ENSDCDT00000047624_ENSDCDG00000024965,1.0,0.12,1e-18,1e-18,1e-18,1e-18,0.1,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSIPUT00000005898_ENSIPUG00000003938,0.12,1.0,1e-18,1e-18,1e-18,1e-18,0.33,1e-18,1e-18,1e-18,1e-18,0.12,1e-18,1e-18,1e-18
ENSDART00000020616_ENSDARG00000008010,1e-18,1e-18,1.0,0.5,1e-18,0.5,1e-18,0.5,0.5,0.5,0.5,0.12,0.5,0.25,0.5
ENSHHUT00000034428_ENSHHUG00000020928,1e-18,1e-18,0.5,1.0,1e-18,0.5,1e-18,0.5,0.5,0.5,0.5,0.12,0.5,0.25,0.5
ENSELUT00000005933_ENSELUG00000008881,1e-18,1e-18,1e-18,1e-18,1.0,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSSMAT00000030064_ENSSMAG00000018207,1e-18,1e-18,0.5,0.5,1e-18,1.0,1e-18,0.5,0.5,0.5,0.5,0.12,0.5,0.25,0.5
ENSGWIT00000057547_ENSGWIG00000025664,0.1,0.33,1e-18,1e-18,1e-18,1e-18,1.0,1e-18,1e-18,1e-18,1e-18,0.1,1e-18,1e-18,1e-18
ENSBSLT00000018814_ENSBSLG00000008774,1e-18,1e-18,0.5,0.5,1e-18,0.5,1e-18,1.0,0.5,0.5,0.5,0.12,0.5,0.25,0.5
ENSTRUT00000025441_ENSTRUG00000010070,1e-18,1e-18,0.5,0.5,1e-18,0.5,1e-18,0.5,1.0,0.5,0.5,0.12,0.5,0.25,0.5
ENSMMOT00000012092_ENSMMOG00000009146,1e-18,1e-18,0.5,0.5,1e-18,0.5,1e-18,0.5,0.5,1.0,0.5,0.12,0.5,0.25,0.5
ENSLCRT00005010571_ENSLCRG00005004722,1e-18,1e-18,0.5,0.5,1e-18,0.5,1e-18,0.5,0.5,0.5,1.0,0.12,0.5,0.25,0.5
ENSCGOT00000034481_ENSCGOG00000014934,1e-18,0.12,0.12,0.12,1e-18,0.12,0.1,0.12,0.12,0.12,0.12,1.0,0.12,0.1,0.12
ENSLCAT00010010615_ENSLCAG00010004957,1e-18,1e-18,0.5,0.5,1e-18,0.5,1e-18,0.5,0.5,0.5,0.5,0.12,1.0,0.25,0.5
ENSCSET00000010104_ENSCSEG00000006410,1e-18,1e-18,0.25,0.25,1e-18,0.25,1e-18,0.25,0.25,0.25,0.25,0.1,0.25,1.0,0.25
ENSSDUT00000010861_ENSSDUG00000007804,1e-18,1e-18,0.5,0.5,1e-18,0.5,1e-18,0.5,0.5,0.5,0.5,0.12,0.5,0.25,1.0
