,ENSVURT00010025493_ENSVURG00010017155,ENSPCIT00000026022_ENSPCIG00000016025,ENSPCIT00000026018_ENSPCIG00000016025,ENSSHAT00000009920_ENSSHAG00000008514,ENSMODT00000073730_ENSMODG00000016311,ENSCCNT00000037011_ENSCCNG00000027047,ENSCCNT00000037168_ENSCCNG00000027047,ENSCCNT00000037278_ENSCCNG00000027047,ENSPVIT00000013818_ENSPVIG00000006262,ENSPVIT00000014698_ENSPVIG00000006262,ENSNSUT00000027452_ENSNSUG00000018397,ENSNSUT00000027776_ENSNSUG00000018397,ENSNSUT00000027786_ENSNSUG00000018397,ENSNSUT00000027827_ENSNSUG00000018397,ENSNSUT00000027828_ENSNSUG00000018397,ENSNSUT00000027867_ENSNSUG00000018397,ENSNSUT00000027868_ENSNSUG00000018397,ENSGALT00000056316_ENSGALG00000037943,ENSGALT00000078523_ENSGALG00000037943,ENSCJPT00005017434_ENSCJPG00005010228,ENSCJPT00005017435_ENSCJPG00005010228,ENSNMET00000020317_ENSNMEG00000012159,ENSNMET00000020318_ENSNMEG00000012159,ENSNMET00000020319_ENSNMEG00000012159
ENSVURT00010025493_ENSVURG00010017155,1.0,0.85,0.84,0.92,0.82,0.84,0.77,0.79,0.71,0.77,0.79,0.76,0.79,0.79,0.73,0.73,0.76,0.73,0.8,0.73,0.8,0.73,0.65,0.8
ENSPCIT00000026022_ENSPCIG00000016025,0.85,1.0,0.77,0.85,0.83,0.83,0.71,0.73,0.76,0.73,0.77,0.73,0.76,0.74,0.7,0.72,0.74,0.79,0.87,0.79,0.87,0.79,0.73,0.87
ENSPCIT00000026018_ENSPCIG00000016025,0.84,0.77,1.0,0.84,0.75,0.77,0.69,0.72,0.64,0.69,0.71,0.69,0.72,0.71,0.66,0.66,0.69,0.65,0.74,0.65,0.74,0.65,0.59,0.74
ENSSHAT00000009920_ENSSHAG00000008514,0.92,0.85,0.84,1.0,0.82,0.84,0.77,0.79,0.71,0.77,0.79,0.76,0.79,0.79,0.73,0.73,0.76,0.73,0.8,0.73,0.8,0.73,0.65,0.8
ENSMODT00000073730_ENSMODG00000016311,0.82,0.83,0.75,0.82,1.0,0.87,0.71,0.74,0.7,0.71,0.75,0.73,0.76,0.74,0.7,0.72,0.74,0.74,0.83,0.74,0.83,0.74,0.68,0.83
ENSCCNT00000037011_ENSCCNG00000027047,0.84,0.83,0.77,0.84,0.87,1.0,0.71,0.74,0.68,0.73,0.77,0.73,0.76,0.74,0.7,0.72,0.74,0.74,0.83,0.74,0.83,0.74,0.68,0.83
ENSCCNT00000037168_ENSCCNG00000027047,0.77,0.71,0.69,0.77,0.71,0.71,1.0,0.82,0.61,0.63,0.7,0.68,0.72,0.71,0.66,0.68,0.71,0.61,0.68,0.61,0.68,0.61,0.56,0.68
ENSCCNT00000037278_ENSCCNG00000027047,0.79,0.73,0.72,0.79,0.74,0.74,0.82,1.0,0.63,0.66,0.78,0.71,0.74,0.74,0.68,0.76,0.79,0.63,0.7,0.63,0.7,0.63,0.58,0.7
ENSPVIT00000013818_ENSPVIG00000006262,0.71,0.76,0.64,0.71,0.7,0.68,0.61,0.63,1.0,0.74,0.63,0.67,0.7,0.68,0.63,0.61,0.63,0.8,0.74,0.8,0.74,0.8,0.73,0.74
ENSPVIT00000014698_ENSPVIG00000006262,0.77,0.73,0.69,0.77,0.71,0.73,0.63,0.66,0.74,1.0,0.68,0.68,0.71,0.68,0.63,0.63,0.65,0.76,0.7,0.76,0.7,0.76,0.69,0.7
ENSNSUT00000027452_ENSNSUG00000018397,0.79,0.77,0.71,0.79,0.75,0.77,0.7,0.78,0.63,0.68,1.0,0.68,0.7,0.7,0.65,0.82,0.77,0.67,0.74,0.67,0.74,0.67,0.63,0.74
ENSNSUT00000027776_ENSNSUG00000018397,0.76,0.73,0.69,0.76,0.73,0.73,0.68,0.71,0.67,0.68,0.68,1.0,0.8,0.8,0.75,0.68,0.71,0.64,0.69,0.64,0.69,0.64,0.59,0.69
ENSNSUT00000027786_ENSNSUG00000018397,0.79,0.76,0.72,0.79,0.76,0.76,0.72,0.74,0.7,0.71,0.7,0.8,1.0,0.79,0.73,0.71,0.74,0.67,0.72,0.67,0.72,0.67,0.61,0.73
ENSNSUT00000027827_ENSNSUG00000018397,0.79,0.74,0.71,0.79,0.74,0.74,0.71,0.74,0.68,0.68,0.7,0.8,0.79,1.0,0.78,0.7,0.73,0.64,0.72,0.64,0.72,0.64,0.59,0.72
ENSNSUT00000027828_ENSNSUG00000018397,0.73,0.7,0.66,0.73,0.7,0.7,0.66,0.68,0.63,0.63,0.65,0.75,0.73,0.78,1.0,0.65,0.68,0.6,0.67,0.6,0.67,0.6,0.57,0.67
ENSNSUT00000027867_ENSNSUG00000018397,0.73,0.72,0.66,0.73,0.72,0.72,0.68,0.76,0.61,0.63,0.82,0.68,0.71,0.7,0.65,1.0,0.88,0.63,0.69,0.63,0.69,0.63,0.59,0.69
