,ENSAOWT00000021038_ENSAOWG00000012644,ENSAOWT00000021043_ENSAOWG00000012644,ENSAHAT00000024731_ENSAHAG00000015722,ENSARWT00000014587_ENSARWG00000008839,ENSARWT00000014589_ENSARWG00000008839,ENSARWT00000014590_ENSARWG00000008839,ENSDNVT00000028484_ENSDNVG00000016397,ENSDNVT00000028487_ENSDNVG00000016397,ENSDNVT00000028490_ENSDNVG00000016397,ENSDNVT00000028493_ENSDNVG00000016397,ENSDNVT00000028498_ENSDNVG00000016397
ENSAOWT00000021038_ENSAOWG00000012644,1.0,1.0,1.0,1.0,1.0,1.0,0.93,0.92,0.99,0.99,0.91
ENSAOWT00000021043_ENSAOWG00000012644,1.0,1.0,1.0,1.0,1.0,1.0,0.93,0.92,0.99,0.99,0.91
ENSAHAT00000024731_ENSAHAG00000015722,1.0,1.0,1.0,1.0,1.0,1.0,0.93,0.92,0.99,0.99,0.91
ENSARWT00000014587_ENSARWG00000008839,1.0,1.0,1.0,1.0,1.0,1.0,0.93,0.93,1.0,1.0,0.91
ENSARWT00000014589_ENSARWG00000008839,1.0,1.0,1.0,1.0,1.0,1.0,0.93,0.93,1.0,1.0,0.91
ENSARWT00000014590_ENSARWG00000008839,1.0,1.0,1.0,1.0,1.0,1.0,0.93,0.93,1.0,1.0,0.91
ENSDNVT00000028484_ENSDNVG00000016397,0.93,0.93,0.93,0.93,0.93,0.93,1.0,0.87,0.94,0.94,0.85
ENSDNVT00000028487_ENSDNVG00000016397,0.92,0.92,0.92,0.93,0.93,0.93,0.87,1.0,0.93,0.93,0.85
ENSDNVT00000028490_ENSDNVG00000016397,0.99,0.99,0.99,1.0,1.0,1.0,0.94,0.93,1.0,1.0,0.91
ENSDNVT00000028493_ENSDNVG00000016397,0.99,0.99,0.99,1.0,1.0,1.0,0.94,0.93,1.0,1.0,0.91
ENSDNVT00000028498_ENSDNVG00000016397,0.91,0.91,0.91,0.91,0.91,0.91,0.85,0.85,0.91,0.91,1.0
