,ENSDCDT00000058583_ENSDCDG00000023096,ENSDCDT00000059064_ENSDCDG00000023096,ENSDCDT00000059074_ENSDCDG00000023096,ENSDCDT00000059083_ENSDCDG00000023096,ENSDCDT00000059084_ENSDCDG00000023096,ENSDCDT00000059202_ENSDCDG00000023096,ENSDCDT00000059208_ENSDCDG00000023096,ENSDCDT00000059218_ENSDCDG00000023096,ENSDCDT00000059220_ENSDCDG00000023096,ENSCHAT00000013229_ENSCHAG00000006663
ENSDCDT00000058583_ENSDCDG00000023096,1.0,0.97,0.95,0.84,0.84,0.71,0.74,0.74,0.83,0.25
ENSDCDT00000059064_ENSDCDG00000023096,0.97,1.0,0.98,0.87,0.84,0.71,0.75,0.74,0.83,0.26
ENSDCDT00000059074_ENSDCDG00000023096,0.95,0.98,1.0,0.89,0.86,0.71,0.74,0.73,0.82,0.25
ENSDCDT00000059083_ENSDCDG00000023096,0.84,0.87,0.89,1.0,0.97,0.72,0.75,0.75,0.84,0.26
ENSDCDT00000059084_ENSDCDG00000023096,0.84,0.84,0.86,0.97,1.0,0.72,0.75,0.74,0.84,0.27
ENSDCDT00000059202_ENSDCDG00000023096,0.71,0.71,0.71,0.72,0.72,1.0,0.9,0.82,0.78,0.36
ENSDCDT00000059208_ENSDCDG00000023096,0.74,0.75,0.74,0.75,0.75,0.9,1.0,0.85,0.81,0.31
ENSDCDT00000059218_ENSDCDG00000023096,0.74,0.74,0.73,0.75,0.74,0.82,0.85,1.0,0.78,0.31
ENSDCDT00000059220_ENSDCDG00000023096,0.83,0.83,0.82,0.84,0.84,0.78,0.81,0.78,1.0,0.3
ENSCHAT00000013229_ENSCHAG00000006663,0.25,0.26,0.25,0.26,0.27,0.36,0.31,0.31,0.3,1.0
