,ENSCCAT00000047840_ENSCCAG00000033092,ENSANAT00000019523_ENSANAG00000018546,ENSMMUT00000068793_ENSMMUG00000039300,ENSMFAT00000010272_ENSMFAG00000034388,ENSMNET00000022228_ENSMNEG00000020347,ENSMLET00000056793_ENSMLEG00000040787,ENSCATT00000035201_ENSCATG00000029788,ENSPANT00000032539_ENSPANG00000030437,ENSTGET00000042091_ENSTGEG00000028230,ENSPTET00000038373_ENSPTEG00000027225,ENSCCNT00000005833_ENSCCNG00000004714
ENSCCAT00000047840_ENSCCAG00000033092,1.0,0.71,0.35,0.35,0.35,0.35,0.24,0.25,0.35,0.35,0.12
ENSANAT00000019523_ENSANAG00000018546,0.71,1.0,0.43,0.43,0.43,0.43,0.3,0.3,0.43,0.43,0.15
ENSMMUT00000068793_ENSMMUG00000039300,0.35,0.43,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,0.15
ENSMFAT00000010272_ENSMFAG00000034388,0.35,0.43,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,0.15
ENSMNET00000022228_ENSMNEG00000020347,0.35,0.43,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,0.15
ENSMLET00000056793_ENSMLEG00000040787,0.35,0.43,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,0.15
ENSCATT00000035201_ENSCATG00000029788,0.24,0.3,0.8,0.8,0.8,0.8,1.0,0.8,0.8,0.79,0.14
ENSPANT00000032539_ENSPANG00000030437,0.25,0.3,0.8,0.8,0.8,0.8,0.8,1.0,0.8,0.8,0.14
ENSTGET00000042091_ENSTGEG00000028230,0.35,0.43,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,0.15
ENSPTET00000038373_ENSPTEG00000027225,0.35,0.43,1.0,1.0,1.0,1.0,0.79,0.8,1.0,1.0,0.15
ENSCCNT00000005833_ENSCCNG00000004714,0.12,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.15,1.0
