,ENSDCDT00000011897_ENSDCDG00000005394,ENSDCDT00000011901_ENSDCDG00000005394,ENSDCDT00000044510_ENSDCDG00000023231,ENSDCDT00000044520_ENSDCDG00000023231,ENSCHAT00000041591_ENSCHAG00000017974,ENSTRUT00000052070_ENSTRUG00000020340,ENSTNIT00000018420_ENSTNIG00000015141,ENSBSLT00000013598_ENSBSLG00000006162,ENSBSLT00000013611_ENSBSLG00000006162,ENSCSET00000006494_ENSCSEG00000004159,ENSCSET00000006501_ENSCSEG00000004159,ENSPFOT00000013237_ENSPFOG00000013100,ENSPMET00000035354_ENSPMEG00000024298,ENSPLAT00000013638_ENSPLAG00000003279,ENSPRET00000022144_ENSPREG00000014796,ENSXCOT00000008137_ENSXCOG00000006172,ENSXMAT00000010074_ENSXMAG00000010017,ENSGAFT00000001805_ENSGAFG00000001219,ENSFHET00000009045_ENSFHEG00000005261,ENSCVAT00000018229_ENSCVAG00000013555,ENSKMAT00000023683_ENSKMAG00000017347,ENSPNYT00000007616_ENSPNYG00000005691,ENSHBUT00000029224_ENSHBUG00000021995,ENSACLT00000001926_ENSACLG00000001274,ENSMZET00005009462_ENSMZEG00005006906,ENSNBRT00000011154_ENSNBRG00000008453
ENSDCDT00000011897_ENSDCDG00000005394,1.0,0.9,0.86,0.88,0.83,0.81,0.76,0.78,0.62,0.79,0.79,0.8,0.8,0.74,0.56,0.73,0.8,0.73,0.8,0.79,0.81,0.8,0.79,0.79,0.79,0.31
ENSDCDT00000011901_ENSDCDG00000005394,0.9,1.0,0.82,0.84,0.78,0.76,0.73,0.74,0.6,0.75,0.75,0.76,0.76,0.7,0.6,0.7,0.76,0.7,0.76,0.75,0.77,0.75,0.75,0.75,0.75,0.3
ENSDCDT00000044510_ENSDCDG00000023231,0.86,0.82,1.0,0.86,0.75,0.73,0.7,0.71,0.56,0.72,0.72,0.73,0.73,0.67,0.5,0.67,0.73,0.67,0.73,0.72,0.74,0.72,0.72,0.72,0.72,0.32
ENSDCDT00000044520_ENSDCDG00000023231,0.88,0.84,0.86,1.0,0.76,0.75,0.71,0.73,0.57,0.73,0.73,0.74,0.74,0.68,0.51,0.68,0.74,0.68,0.74,0.73,0.75,0.74,0.73,0.73,0.73,0.33
ENSCHAT00000041591_ENSCHAG00000017974,0.83,0.78,0.75,0.76,1.0,0.85,0.8,0.82,0.64,0.84,0.84,0.85,0.85,0.77,0.58,0.76,0.85,0.77,0.85,0.84,0.85,0.84,0.84,0.84,0.84,0.33
ENSTRUT00000052070_ENSTRUG00000020340,0.81,0.76,0.73,0.75,0.85,1.0,0.86,0.84,0.66,0.86,0.86,0.87,0.87,0.79,0.59,0.78,0.87,0.79,0.87,0.86,0.88,0.87,0.87,0.87,0.87,0.34
ENSTNIT00000018420_ENSTNIG00000015141,0.76,0.73,0.7,0.71,0.8,0.86,1.0,0.79,0.62,0.8,0.8,0.81,0.81,0.75,0.58,0.74,0.81,0.75,0.81,0.8,0.82,0.8,0.8,0.8,0.8,0.32
ENSBSLT00000013598_ENSBSLG00000006162,0.78,0.74,0.71,0.73,0.82,0.84,0.79,1.0,0.72,0.83,0.83,0.84,0.84,0.76,0.57,0.76,0.84,0.77,0.84,0.83,0.84,0.84,0.83,0.83,0.83,0.31
ENSBSLT00000013611_ENSBSLG00000006162,0.62,0.6,0.56,0.57,0.64,0.66,0.62,0.72,1.0,0.64,0.64,0.66,0.66,0.73,0.66,0.73,0.65,0.73,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.28
ENSCSET00000006494_ENSCSEG00000004159,0.79,0.75,0.72,0.73,0.84,0.86,0.8,0.83,0.64,1.0,0.94,0.86,0.86,0.78,0.58,0.78,0.86,0.78,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.34
