,ENSMNET00000061764_ENSMNEG00000041728,ENSMFAT00000030941_ENSMFAG00000043107,ENSMLET00000010313_ENSMLEG00000009346,ENSCATT00000018032_ENSCATG00000015811,ENSRROT00000039758_ENSRROG00000031979,ENSRBIT00000057961_ENSRBIG00000040714,ENSPPAT00000045433_ENSPPAG00000034497,ENSPTRT00000090178_ENSPTRG00000047190,ENSGGOT00000063064_ENSGGOG00000036257,ENSVVUT00000052113_ENSVVUG00000028373
ENSMNET00000061764_ENSMNEG00000041728,1.0,0.75,0.75,0.75,0.75,0.75,0.17,0.17,0.17,1e-18
ENSMFAT00000030941_ENSMFAG00000043107,0.75,1.0,0.75,0.75,0.75,0.75,0.17,0.17,0.17,1e-18
ENSMLET00000010313_ENSMLEG00000009346,0.75,0.75,1.0,0.75,0.75,0.75,0.17,0.17,0.17,1e-18
ENSCATT00000018032_ENSCATG00000015811,0.75,0.75,0.75,1.0,0.75,0.75,0.17,0.17,0.17,1e-18
ENSRROT00000039758_ENSRROG00000031979,0.75,0.75,0.75,0.75,1.0,0.75,0.17,0.17,0.17,1e-18
ENSRBIT00000057961_ENSRBIG00000040714,0.75,0.75,0.75,0.75,0.75,1.0,0.17,0.17,0.17,1e-18
ENSPPAT00000045433_ENSPPAG00000034497,0.17,0.17,0.17,0.17,0.17,0.17,1.0,0.75,0.75,1e-18
ENSPTRT00000090178_ENSPTRG00000047190,0.17,0.17,0.17,0.17,0.17,0.17,0.75,1.0,0.75,1e-18
ENSGGOT00000063064_ENSGGOG00000036257,0.17,0.17,0.17,0.17,0.17,0.17,0.75,0.75,1.0,1e-18
ENSVVUT00000052113_ENSVVUG00000028373,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1.0
