,FBtr0452181_FBgn0034970,FBtr0290256_FBgn0034970,FBtr0290258_FBgn0034970,FBtr0309372_FBgn0034970,F13E6.4.1_WBGene00008748,ENSEBUT00000006514_ENSEBUG00000004037,ENSEBUT00000006849_ENSEBUG00000004245,ENSEBUT00000006866_ENSEBUG00000004245,ENSPKIT00000032785_ENSPKIG00000024085,ENSPKIT00000032791_ENSPKIG00000024085
FBtr0452181_FBgn0034970,1.0,0.65,0.77,0.77,0.2,0.22,0.31,0.28,0.31,0.24
FBtr0290256_FBgn0034970,0.65,1.0,0.73,0.73,0.21,0.22,0.29,0.31,0.29,0.26
FBtr0290258_FBgn0034970,0.77,0.73,1.0,0.86,0.21,0.22,0.33,0.29,0.33,0.25
FBtr0309372_FBgn0034970,0.77,0.73,0.86,1.0,0.21,0.22,0.33,0.29,0.33,0.25
F13E6.4.1_WBGene00008748,0.2,0.21,0.21,0.21,1.0,0.26,0.2,0.2,0.23,0.18
ENSEBUT00000006514_ENSEBUG00000004037,0.22,0.22,0.22,0.22,0.26,1.0,0.25,0.25,0.33,0.25
ENSEBUT00000006849_ENSEBUG00000004245,0.31,0.29,0.33,0.33,0.2,0.25,1.0,0.69,0.43,0.37
ENSEBUT00000006866_ENSEBUG00000004245,0.28,0.31,0.29,0.29,0.2,0.25,0.69,1.0,0.36,0.4
ENSPKIT00000032785_ENSPKIG00000024085,0.31,0.29,0.33,0.33,0.23,0.33,0.43,0.36,1.0,0.69
ENSPKIT00000032791_ENSPKIG00000024085,0.24,0.26,0.25,0.25,0.18,0.25,0.37,0.4,0.69,1.0
