,ENSPTRT00000019490_ENSPTRG00000010569,ENSPTRT00000099004_ENSPTRG00000010569,ENSPTRT00000111380_ENSPTRG00000010569,ENSPPAT00000059503_ENSPPAG00000041052,ENSPPAT00000059506_ENSPPAG00000041052,ENSPPAT00000059508_ENSPPAG00000041052,ENSGGOT00000000973_ENSGGOG00000000965,ENSGGOT00000053559_ENSGGOG00000000965,ENSGGOT00000042625_ENSGGOG00000000965,ENST00000586783_ENSG00000132016,ENST00000346736_ENSG00000132016,ENST00000591586_ENSG00000132016
ENSPTRT00000019490_ENSPTRG00000010569,1.0,0.87,0.5,0.83,0.96,0.5,0.86,0.5,1.0,0.86,1.0,0.5
ENSPTRT00000099004_ENSPTRG00000010569,0.87,1.0,0.63,0.96,0.83,0.63,1.0,0.63,0.86,1.0,0.86,0.63
ENSPTRT00000111380_ENSPTRG00000010569,0.5,0.63,1.0,0.63,0.5,1.0,0.63,1.0,0.5,0.63,0.5,1.0
ENSPPAT00000059503_ENSPPAG00000041052,0.83,0.96,0.63,1.0,0.87,0.63,0.96,0.63,0.83,0.96,0.83,0.63
ENSPPAT00000059506_ENSPPAG00000041052,0.96,0.83,0.5,0.87,1.0,0.5,0.83,0.5,0.95,0.83,0.95,0.5
ENSPPAT00000059508_ENSPPAG00000041052,0.5,0.63,1.0,0.63,0.5,1.0,0.63,1.0,0.5,0.63,0.5,1.0
ENSGGOT00000000973_ENSGGOG00000000965,0.86,1.0,0.63,0.96,0.83,0.63,1.0,0.63,0.87,1.0,0.86,0.63
ENSGGOT00000053559_ENSGGOG00000000965,0.5,0.63,1.0,0.63,0.5,1.0,0.63,1.0,0.5,0.63,0.5,1.0
ENSGGOT00000042625_ENSGGOG00000000965,1.0,0.86,0.5,0.83,0.95,0.5,0.87,0.5,1.0,0.86,1.0,0.5
ENST00000586783_ENSG00000132016,0.86,1.0,0.63,0.96,0.83,0.63,1.0,0.63,0.86,1.0,0.87,0.63
ENST00000346736_ENSG00000132016,1.0,0.86,0.5,0.83,0.95,0.5,0.86,0.5,1.0,0.87,1.0,0.5
ENST00000591586_ENSG00000132016,0.5,0.63,1.0,0.63,0.5,1.0,0.63,1.0,0.5,0.63,0.5,1.0
