,ENSPVIT00000022269_ENSPVIG00000013709,ENSACAT00000029539_ENSACAG00000028428,ENSSMRT00000017614_ENSSMRG00000011772,ENSSPUT00000010543_ENSSPUG00000007661,ENSMVIT00005028636_ENSMVIG00005017796,ENSMVIT00005028638_ENSMVIG00005017796,ENSLCOT00000000063_ENSLCOG00000000076,ENSLCOT00000000065_ENSLCOG00000000076,ENSCCET00000024858_ENSCCEG00000015077,ENSCCET00000024860_ENSCCEG00000015077,ENSPMJT00000023780_ENSPMJG00000013637,ENSPMJT00000023781_ENSPMJG00000013637
ENSPVIT00000022269_ENSPVIG00000013709,1.0,0.58,0.8,0.5,0.43,0.58,0.36,0.58,0.43,0.58,0.58,0.33
ENSACAT00000029539_ENSACAG00000028428,0.58,1.0,0.58,0.7,0.58,0.8,0.5,0.8,0.58,0.8,0.8,0.5
ENSSMRT00000017614_ENSSMRG00000011772,0.8,0.58,1.0,0.5,0.43,0.58,0.36,0.58,0.43,0.58,0.58,0.33
ENSSPUT00000010543_ENSSPUG00000007661,0.5,0.7,0.5,1.0,0.5,0.7,0.42,0.7,0.5,0.7,0.7,0.4
ENSMVIT00005028636_ENSMVIG00005017796,0.43,0.58,0.43,0.5,1.0,0.58,0.43,0.58,0.83,0.58,0.58,0.42
ENSMVIT00005028638_ENSMVIG00005017796,0.58,0.8,0.58,0.7,0.58,1.0,0.5,0.8,0.58,0.8,0.8,0.5
ENSLCOT00000000063_ENSLCOG00000000076,0.36,0.5,0.36,0.42,0.43,0.5,1.0,0.5,0.43,0.5,0.5,0.6
ENSLCOT00000000065_ENSLCOG00000000076,0.58,0.8,0.58,0.7,0.58,0.8,0.5,1.0,0.58,0.8,0.8,0.5
ENSCCET00000024858_ENSCCEG00000015077,0.43,0.58,0.43,0.5,0.83,0.58,0.43,0.58,1.0,0.58,0.58,0.42
ENSCCET00000024860_ENSCCEG00000015077,0.58,0.8,0.58,0.7,0.58,0.8,0.5,0.8,0.58,1.0,0.8,0.5
ENSPMJT00000023780_ENSPMJG00000013637,0.58,0.8,0.58,0.7,0.58,0.8,0.5,0.8,0.58,0.8,1.0,0.5
ENSPMJT00000023781_ENSPMJG00000013637,0.33,0.5,0.33,0.4,0.42,0.5,0.6,0.5,0.42,0.5,0.5,1.0
