,ENSCHAT00000034227_ENSCHAG00000014654,ENSCHAT00000034337_ENSCHAG00000014654,ENSCHAT00000034524_ENSCHAG00000014654,ENSDCDT00000074569_ENSDCDG00000035322,ENSAMXT00000043362_ENSAMXG00000039499,ENSAMXT00000045047_ENSAMXG00000039499,ENSPNAT00000035131_ENSPNAG00000014493,ENSIPUT00000010742_ENSIPUG00000006994,ENSEEET00000043825_ENSEEEG00000020460,ENSEEET00000043830_ENSEEEG00000020460,ENSEEET00000043835_ENSEEEG00000020460
ENSCHAT00000034227_ENSCHAG00000014654,1.0,0.82,0.5,0.56,0.2,0.21,0.57,0.57,0.47,0.3,0.44
ENSCHAT00000034337_ENSCHAG00000014654,0.82,1.0,0.58,0.59,0.24,0.25,0.58,0.58,0.49,0.34,0.48
ENSCHAT00000034524_ENSCHAG00000014654,0.5,0.58,1.0,0.43,0.31,0.31,0.42,0.44,0.44,0.35,0.45
ENSDCDT00000074569_ENSDCDG00000035322,0.56,0.59,0.43,1.0,0.18,0.19,0.75,0.6,0.58,0.29,0.43
ENSAMXT00000043362_ENSAMXG00000039499,0.2,0.24,0.31,0.18,1.0,0.81,0.19,0.21,0.21,0.5,0.32
ENSAMXT00000045047_ENSAMXG00000039499,0.21,0.25,0.31,0.19,0.81,1.0,0.19,0.22,0.21,0.54,0.32
ENSPNAT00000035131_ENSPNAG00000014493,0.57,0.58,0.42,0.75,0.19,0.19,1.0,0.67,0.64,0.3,0.45
ENSIPUT00000010742_ENSIPUG00000006994,0.57,0.58,0.44,0.6,0.21,0.22,0.67,1.0,0.53,0.32,0.46
ENSEEET00000043825_ENSEEEG00000020460,0.47,0.49,0.44,0.58,0.21,0.21,0.64,0.53,1.0,0.34,0.46
ENSEEET00000043830_ENSEEEG00000020460,0.3,0.34,0.35,0.29,0.5,0.54,0.3,0.32,0.34,1.0,0.5
ENSEEET00000043835_ENSEEEG00000020460,0.44,0.48,0.45,0.43,0.32,0.32,0.45,0.46,0.46,0.5,1.0
