,FBtr0344198_FBgn0028991,FBtr0100501_FBgn0028991,FBtr0085830_FBgn0003870,FBtr0085827_FBgn0003870,FBtr0303228_FBgn0003870,FBtr0303227_FBgn0003870,FBtr0085828_FBgn0003870,FBtr0085826_FBgn0003870,FBtr0085825_FBgn0003870,FBtr0085829_FBgn0003870
FBtr0344198_FBgn0028991,1.0,0.75,0.13,0.09,0.13,0.09,0.13,0.13,0.09,0.09
FBtr0100501_FBgn0028991,0.75,1.0,0.13,0.09,0.13,0.09,0.13,0.13,0.09,0.09
FBtr0085830_FBgn0003870,0.13,0.13,1.0,0.59,1.0,0.59,1.0,1.0,0.59,0.59
FBtr0085827_FBgn0003870,0.09,0.09,0.59,1.0,0.59,1.0,0.59,0.59,1.0,1.0
FBtr0303228_FBgn0003870,0.13,0.13,1.0,0.59,1.0,0.59,1.0,1.0,0.59,0.59
FBtr0303227_FBgn0003870,0.09,0.09,0.59,1.0,0.59,1.0,0.59,0.59,1.0,1.0
FBtr0085828_FBgn0003870,0.13,0.13,1.0,0.59,1.0,0.59,1.0,1.0,0.59,0.59
FBtr0085826_FBgn0003870,0.13,0.13,1.0,0.59,1.0,0.59,1.0,1.0,0.59,0.59
FBtr0085825_FBgn0003870,0.09,0.09,0.59,1.0,0.59,1.0,0.59,0.59,1.0,1.0
FBtr0085829_FBgn0003870,0.09,0.09,0.59,1.0,0.59,1.0,0.59,0.59,1.0,1.0
