,ENSSFOT00015000287_ENSSFOG00015000192,ENSSFOT00015000381_ENSSFOG00015000192,ENSPKIT00000041946_ENSPKIG00000003348,ENSPKIT00000041995_ENSPKIG00000003348,ENSPKIT00000042055_ENSPKIG00000003348,ENSPKIT00000042117_ENSPKIG00000003348,ENSPKIT00000042183_ENSPKIG00000003348,ENSPKIT00000042228_ENSPKIG00000003348,ENSPKIT00000042297_ENSPKIG00000003348,ENSPKIT00000042381_ENSPKIG00000003348,ENSHHUT00000028749_ENSHHUG00000017555
ENSSFOT00015000287_ENSSFOG00015000192,1.0,0.4,0.41,0.41,0.41,0.41,0.93,0.37,0.39,0.34,0.43
ENSSFOT00015000381_ENSSFOG00015000192,0.4,1.0,0.65,0.65,0.65,0.65,0.38,0.6,0.62,0.55,0.15
ENSPKIT00000041946_ENSPKIG00000003348,0.41,0.65,1.0,0.99,0.99,0.99,0.46,0.91,0.95,0.72,0.14
ENSPKIT00000041995_ENSPKIG00000003348,0.41,0.65,0.99,1.0,0.99,0.99,0.46,0.91,0.95,0.72,0.14
ENSPKIT00000042055_ENSPKIG00000003348,0.41,0.65,0.99,0.99,1.0,0.99,0.46,0.91,0.95,0.72,0.14
ENSPKIT00000042117_ENSPKIG00000003348,0.41,0.65,0.99,0.99,0.99,1.0,0.46,0.91,0.95,0.72,0.14
ENSPKIT00000042183_ENSPKIG00000003348,0.93,0.38,0.46,0.46,0.46,0.46,1.0,0.42,0.44,0.39,0.43
ENSPKIT00000042228_ENSPKIG00000003348,0.37,0.6,0.91,0.91,0.91,0.91,0.42,1.0,0.95,0.67,0.12
ENSPKIT00000042297_ENSPKIG00000003348,0.39,0.62,0.95,0.95,0.95,0.95,0.44,0.95,1.0,0.69,0.13
ENSPKIT00000042381_ENSPKIG00000003348,0.34,0.55,0.72,0.72,0.72,0.72,0.39,0.67,0.69,1.0,0.18
ENSHHUT00000028749_ENSHHUG00000017555,0.43,0.15,0.14,0.14,0.14,0.14,0.43,0.12,0.13,0.18,1.0
