,ENSEBUT00000009428_ENSEBUG00000005756,ENSPVIT00000041072_ENSPVIG00000024543,ENSACAT00000009790_ENSACAG00000009772,ENSNSUT00000014645_ENSNSUG00000010213,ENSSMRT00000021605_ENSSMRG00000014344,ENSCPGT00000013773_ENSCPGG00000008922,ENSCPUT00000027619_ENSCPUG00000015900,ENSMUNT00000002885_ENSMUNG00000002159,ENSMUNT00000002886_ENSMUNG00000002159,ENSZALT00000010655_ENSZALG00000006619,ENSJHYT00000028548_ENSJHYG00000017804,ENSSCAT00000017018_ENSSCAG00000011098
ENSEBUT00000009428_ENSEBUG00000005756,1.0,0.32,0.32,0.34,0.32,0.32,0.32,0.32,0.34,0.32,0.34,0.34
ENSPVIT00000041072_ENSPVIG00000024543,0.32,1.0,0.91,0.85,0.88,0.91,0.91,0.91,0.72,0.91,0.72,0.75
ENSACAT00000009790_ENSACAG00000009772,0.32,0.91,1.0,0.85,0.88,0.91,0.91,0.91,0.72,0.91,0.72,0.75
ENSNSUT00000014645_ENSNSUG00000010213,0.34,0.85,0.85,1.0,0.82,0.85,0.85,0.85,0.76,0.85,0.76,0.79
ENSSMRT00000021605_ENSSMRG00000014344,0.32,0.88,0.88,0.82,1.0,0.88,0.88,0.88,0.69,0.88,0.69,0.72
ENSCPGT00000013773_ENSCPGG00000008922,0.32,0.91,0.91,0.85,0.88,1.0,0.91,0.91,0.72,0.91,0.72,0.75
ENSCPUT00000027619_ENSCPUG00000015900,0.32,0.91,0.91,0.85,0.88,0.91,1.0,0.91,0.72,0.91,0.72,0.75
ENSMUNT00000002885_ENSMUNG00000002159,0.32,0.91,0.91,0.85,0.88,0.91,0.91,1.0,0.75,0.91,0.72,0.75
ENSMUNT00000002886_ENSMUNG00000002159,0.34,0.72,0.72,0.76,0.69,0.72,0.72,0.75,1.0,0.72,0.64,0.67
ENSZALT00000010655_ENSZALG00000006619,0.32,0.91,0.91,0.85,0.88,0.91,0.91,0.91,0.72,1.0,0.72,0.75
ENSJHYT00000028548_ENSJHYG00000017804,0.34,0.72,0.72,0.76,0.69,0.72,0.72,0.72,0.64,0.72,1.0,0.76
ENSSCAT00000017018_ENSSCAG00000011098,0.34,0.75,0.75,0.79,0.72,0.75,0.75,0.75,0.67,0.75,0.76,1.0
