,ENSAOWT00000008426_ENSAOWG00000005102,ENSAHAT00000013755_ENSAHAG00000008943,ENSARWT00000015348_ENSARWG00000009308,ENSAHAT00000002360_ENSAHAG00000001740,ENSAOWT00000009430_ENSAOWG00000005728,ENSDNVT00000003682_ENSDNVG00000002185,ENSGALT00000073907_ENSGALG00000033286,ENSMGAT00000012187_ENSMGAG00000010871,ENSCJPT00005006432_ENSCJPG00005003806,ENSCJPT00005006434_ENSCJPG00005003806,ENSNMET00000001973_ENSNMEG00000001290
ENSAOWT00000008426_ENSAOWG00000005102,1.0,1.0,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSAHAT00000013755_ENSAHAG00000008943,1.0,1.0,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSARWT00000015348_ENSARWG00000009308,1e-18,1e-18,1.0,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5
ENSAHAT00000002360_ENSAHAG00000001740,1e-18,1e-18,0.25,1.0,1.0,0.25,0.25,0.25,0.25,0.25,0.25
ENSAOWT00000009430_ENSAOWG00000005728,1e-18,1e-18,0.25,1.0,1.0,0.25,0.25,0.25,0.25,0.25,0.25
ENSDNVT00000003682_ENSDNVG00000002185,1e-18,1e-18,0.5,0.25,0.25,1.0,0.5,0.5,0.5,0.5,0.5
ENSGALT00000073907_ENSGALG00000033286,1e-18,1e-18,0.5,0.25,0.25,0.5,1.0,0.75,0.5,0.5,0.75
ENSMGAT00000012187_ENSMGAG00000010871,1e-18,1e-18,0.5,0.25,0.25,0.5,0.75,1.0,0.5,0.5,0.75
ENSCJPT00005006432_ENSCJPG00005003806,1e-18,1e-18,0.5,0.25,0.25,0.5,0.5,0.5,1.0,0.5,0.5
ENSCJPT00005006434_ENSCJPG00005003806,1e-18,1e-18,0.5,0.25,0.25,0.5,0.5,0.5,0.5,1.0,0.5
ENSNMET00000001973_ENSNMEG00000001290,1e-18,1e-18,0.5,0.25,0.25,0.5,0.75,0.75,0.5,0.5,1.0
