,F46C5.8.1_WBGene00009783,F46C5.8.2_WBGene00009783,FBtr0084814_FBgn0039303,FBtr0347395_FBgn0039303,ENSLACT00000011266_ENSLACG00000009839,ENSECRT00000029519_ENSECRG00000019581,ENSSFOT00015013339_ENSSFOG00015008467,ENSSFOT00015013354_ENSSFOG00015008467,ENSPKIT00000012803_ENSPKIG00000012231,ENSPKIT00000012817_ENSPKIG00000012231,ENSPKIT00000012838_ENSPKIG00000012231,ENSSFOT00015016787_ENSSFOG00015010714,ENSSFOT00015016797_ENSSFOG00015010714,ENSPKIT00000015024_ENSPKIG00000013532,ENSPKIT00000015063_ENSPKIG00000013532,ENSDCDT00000040762_ENSDCDG00000021860,ENSDCDT00000040764_ENSDCDG00000021860,ENSCHAT00000052604_ENSCHAG00000022408,ENSCHAT00000052607_ENSCHAG00000022408,ENSCHAT00000052626_ENSCHAG00000022408,ENSPNAT00000030237_ENSPNAG00000026747,ENSPNAT00000030245_ENSPNAG00000026747,ENSAMXT00000030850_ENSAMXG00000040315,ENSAMXT00000036924_ENSAMXG00000040315,ENSIPUT00000031990_ENSIPUG00000020737,ENSIPUT00000032002_ENSIPUG00000020737,ENSEEET00000002016_ENSEEEG00000001229,ENSEEET00000002020_ENSEEEG00000001229
F46C5.8.1_WBGene00009783,1.0,0.96,0.55,0.46,0.75,0.73,0.74,0.74,0.73,0.7,0.65,0.73,0.73,0.63,0.54,0.74,0.69,0.65,0.7,0.69,0.71,0.67,0.74,0.74,0.71,0.71,0.74,0.71
F46C5.8.2_WBGene00009783,0.96,1.0,0.55,0.46,0.75,0.73,0.74,0.74,0.73,0.7,0.65,0.73,0.73,0.63,0.54,0.74,0.69,0.65,0.7,0.69,0.71,0.67,0.74,0.74,0.71,0.71,0.74,0.71
FBtr0084814_FBgn0039303,0.55,0.55,1.0,0.84,0.53,0.5,0.51,0.51,0.51,0.5,0.44,0.52,0.52,0.43,0.33,0.51,0.49,0.46,0.5,0.5,0.51,0.46,0.52,0.52,0.51,0.51,0.52,0.51
FBtr0347395_FBgn0039303,0.46,0.46,0.84,1.0,0.43,0.41,0.41,0.41,0.42,0.4,0.34,0.43,0.43,0.33,0.23,0.42,0.38,0.36,0.4,0.39,0.4,0.36,0.43,0.43,0.41,0.41,0.43,0.41
ENSLACT00000011266_ENSLACG00000009839,0.75,0.75,0.53,0.43,1.0,0.79,0.8,0.8,0.81,0.77,0.72,0.81,0.81,0.7,0.61,0.81,0.76,0.72,0.77,0.76,0.78,0.73,0.81,0.81,0.78,0.78,0.81,0.78
ENSECRT00000029519_ENSECRG00000019581,0.73,0.73,0.5,0.41,0.79,1.0,0.81,0.81,0.81,0.77,0.72,0.81,0.81,0.7,0.61,0.81,0.75,0.72,0.77,0.76,0.77,0.72,0.81,0.81,0.77,0.77,0.81,0.77
ENSSFOT00015013339_ENSSFOG00015008467,0.74,0.74,0.51,0.41,0.8,0.81,1.0,0.93,0.87,0.83,0.78,0.87,0.87,0.74,0.65,0.88,0.81,0.78,0.83,0.82,0.83,0.78,0.87,0.87,0.82,0.82,0.87,0.83
ENSSFOT00015013354_ENSSFOG00015008467,0.74,0.74,0.51,0.41,0.8,0.81,0.93,1.0,0.87,0.83,0.78,0.87,0.87,0.74,0.65,0.88,0.81,0.78,0.83,0.82,0.83,0.78,0.87,0.87,0.82,0.82,0.87,0.83
ENSPKIT00000012803_ENSPKIG00000012231,0.73,0.73,0.51,0.42,0.81,0.81,0.87,0.87,1.0,0.89,0.83,0.86,0.86,0.74,0.65,0.87,0.81,0.78,0.82,0.82,0.83,0.77,0.87,0.87,0.82,0.82,0.87,0.83
ENSPKIT00000012817_ENSPKIG00000012231,0.7,0.7,0.5,0.4,0.77,0.77,0.83,0.83,0.89,1.0,0.79,0.82,0.82,0.71,0.64,0.83,0.85,0.81,0.88,0.82,0.88,0.82,0.82,0.82,0.87,0.87,0.83,0.88
