,FBtr0333331_FBgn0041210,FBtr0333333_FBgn0041210,FBtr0308576_FBgn0041210,FBtr0301299_FBgn0041210,FBtr0301298_FBgn0041210,FBtr0073798_FBgn0041210,FBtr0333334_FBgn0041210,FBtr0333332_FBgn0041210,C10E2.3a.1_WBGene00001837,C10E2.3b.1_WBGene00001837,ENSCSAVT00000014010_ENSCSAVG00000008123,ENSCSAVT00000014011_ENSCSAVG00000008123,ENSCINT00000033973_ENSCING00000008243,ENSCINT00000016829_ENSCING00000008243
FBtr0333331_FBgn0041210,1.0,0.98,0.99,0.98,0.99,0.97,0.98,0.97,0.51,0.51,0.53,0.57,0.34,0.36
FBtr0333333_FBgn0041210,0.98,1.0,0.98,0.96,0.98,0.99,1.0,0.99,0.53,0.53,0.55,0.59,0.35,0.36
FBtr0308576_FBgn0041210,0.99,0.98,1.0,0.98,1.0,0.97,0.98,0.97,0.52,0.52,0.54,0.58,0.35,0.36
FBtr0301299_FBgn0041210,0.98,0.96,0.98,1.0,0.98,0.96,0.96,0.96,0.53,0.53,0.55,0.59,0.37,0.38
FBtr0301298_FBgn0041210,0.99,0.98,1.0,0.98,1.0,0.97,0.98,0.97,0.51,0.51,0.53,0.57,0.35,0.36
FBtr0073798_FBgn0041210,0.97,0.99,0.97,0.96,0.97,1.0,0.99,1.0,0.53,0.54,0.56,0.6,0.35,0.36
FBtr0333334_FBgn0041210,0.98,1.0,0.98,0.96,0.98,0.99,1.0,0.99,0.53,0.53,0.55,0.59,0.35,0.36
FBtr0333332_FBgn0041210,0.97,0.99,0.97,0.96,0.97,1.0,0.99,1.0,0.53,0.54,0.56,0.6,0.35,0.36
C10E2.3a.1_WBGene00001837,0.51,0.53,0.52,0.53,0.51,0.53,0.53,0.53,1.0,0.98,0.66,0.67,0.41,0.42
C10E2.3b.1_WBGene00001837,0.51,0.53,0.52,0.53,0.51,0.54,0.53,0.54,0.98,1.0,0.68,0.69,0.42,0.42
ENSCSAVT00000014010_ENSCSAVG00000008123,0.53,0.55,0.54,0.55,0.53,0.56,0.55,0.56,0.66,0.68,1.0,0.92,0.62,0.62
ENSCSAVT00000014011_ENSCSAVG00000008123,0.57,0.59,0.58,0.59,0.57,0.6,0.59,0.6,0.67,0.69,0.92,1.0,0.68,0.69
ENSCINT00000033973_ENSCING00000008243,0.34,0.35,0.35,0.37,0.35,0.35,0.35,0.35,0.41,0.42,0.62,0.68,1.0,0.96
ENSCINT00000016829_ENSCING00000008243,0.36,0.36,0.36,0.38,0.36,0.36,0.36,0.36,0.42,0.42,0.62,0.69,0.96,1.0
