,ENSDCDT00000041462_ENSDCDG00000022139,ENSCHAT00000027677_ENSCHAG00000012432,ENSHHUT00000017050_ENSHHUG00000010257,ENSHHUT00000017054_ENSHHUG00000010257,ENSHHUT00000017061_ENSHHUG00000010257,ENSELUT00000015840_ENSELUG00000003718,ENSSFOT00015001003_ENSSFOG00015000734,ENSGAGT00000030425_ENSGAGG00000019502,ENSGAGT00000030426_ENSGAGG00000019502,ENSPSIT00000016369_ENSPSIG00000014527
ENSDCDT00000041462_ENSDCDG00000022139,1.0,0.33,0.25,0.25,0.83,0.83,0.67,0.2,0.2,0.2
ENSCHAT00000027677_ENSCHAG00000012432,0.33,1.0,0.33,0.33,0.33,0.33,0.33,0.25,0.25,0.25
ENSHHUT00000017050_ENSHHUG00000010257,0.25,0.33,1.0,0.25,0.25,0.25,0.25,0.38,0.38,0.38
ENSHHUT00000017054_ENSHHUG00000010257,0.25,0.33,0.25,1.0,0.25,0.25,0.25,0.2,0.2,0.2
ENSHHUT00000017061_ENSHHUG00000010257,0.83,0.33,0.25,0.25,1.0,0.83,0.67,0.2,0.2,0.2
ENSELUT00000015840_ENSELUG00000003718,0.83,0.33,0.25,0.25,0.83,1.0,0.67,0.2,0.2,0.2
ENSSFOT00015001003_ENSSFOG00015000734,0.67,0.33,0.25,0.25,0.67,0.67,1.0,0.2,0.2,0.2
ENSGAGT00000030425_ENSGAGG00000019502,0.2,0.25,0.38,0.2,0.2,0.2,0.2,1.0,0.75,0.62
ENSGAGT00000030426_ENSGAGG00000019502,0.2,0.25,0.38,0.2,0.2,0.2,0.2,0.75,1.0,0.62
ENSPSIT00000016369_ENSPSIG00000014527,0.2,0.25,0.38,0.2,0.2,0.2,0.2,0.62,0.62,1.0
