,ENSCINT00000025657_ENSCING00000013955,ENSCINT00000006854_ENSCING00000003343,ENSCSAVT00000014702_ENSCSAVG00000008508,T10B5.4a.1_WBGene00020390,T10B5.4b.1_WBGene00020390,T10B5.4c.1_WBGene00020390,T10B5.4d.1_WBGene00020390,FBtr0334669_FBgn0051248,FBtr0081564_FBgn0051248,FBtr0081350_FBgn0032839,FBtr0086514_FBgn0034429,FBtr0086562_FBgn0034426,FBtr0300592_FBgn0034428,FBtr0079243_FBgn0031791,FBtr0340167_FBgn0031791,FBtr0070832_FBgn0029813,FBtr0072254_FBgn0019643,FBtr0072255_FBgn0019643,FBtr0302448_FBgn0040376,FBtr0302447_FBgn0040376,FBtr0070437_FBgn0040376,FBtr0302449_FBgn0040376,R05H10.1.1_WBGene00011042,ENSCINT00000025116_ENSCING00000013574,FBtr0303649_FBgn0051493,FBtr0081566_FBgn0051493,ENSCSAVT00000019733_ENSCSAVG00000011447,ENSCSAVT00000019734_ENSCSAVG00000011448,ENSCSAVT00000015511_ENSCSAVG00000008998,M7.8.1_WBGene00010884,M7.12.1_WBGene00010887,ENSCINT00000031038_ENSCING00000020758,ENSCSAVT00000012822_ENSCSAVG00000007443,ENSCINT00000004391_ENSCING00000011893,ENSCINT00000033011_ENSCING00000024911,R05H10.7.1_WBGene00011046,W02D7.5.1_WBGene00020941,W02D7.4.1_WBGene00020940
ENSCINT00000025657_ENSCING00000013955,1.0,0.89,0.77,0.76,0.77,0.8,0.78,0.72,0.72,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.66,0.65,0.66,0.66,0.66,0.66,0.72,0.8,0.72,0.73,0.92,0.93,0.93,0.75,0.72,0.87,0.93,0.85,0.85,0.74,0.73,0.73
ENSCINT00000006854_ENSCING00000003343,0.89,1.0,0.77,0.75,0.77,0.83,0.78,0.72,0.72,0.7,0.7,0.7,0.7,0.71,0.71,0.71,0.69,0.68,0.7,0.7,0.7,0.7,0.74,0.8,0.75,0.73,0.89,0.89,0.89,0.75,0.74,0.85,0.89,0.84,0.85,0.75,0.74,0.74
ENSCSAVT00000014702_ENSCSAVG00000008508,0.77,0.77,1.0,0.74,0.76,0.77,0.77,0.71,0.71,0.67,0.67,0.67,0.67,0.68,0.68,0.68,0.65,0.65,0.67,0.67,0.67,0.67,0.7,0.91,0.71,0.72,0.79,0.78,0.78,0.73,0.7,0.76,0.78,0.76,0.76,0.74,0.71,0.71
T10B5.4a.1_WBGene00020390,0.76,0.75,0.74,1.0,0.97,0.86,0.97,0.71,0.71,0.66,0.66,0.66,0.66,0.67,0.67,0.67,0.71,0.7,0.66,0.66,0.66,0.66,0.8,0.77,0.71,0.71,0.76,0.76,0.76,0.83,0.79,0.75,0.76,0.73,0.74,0.74,0.8,0.8
T10B5.4b.1_WBGene00020390,0.77,0.77,0.76,0.97,1.0,0.84,0.96,0.72,0.72,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.71,0.71,0.67,0.67,0.67,0.67,0.81,0.78,0.72,0.73,0.78,0.78,0.78,0.83,0.79,0.77,0.78,0.75,0.76,0.76,0.8,0.8
T10B5.4c.1_WBGene00020390,0.8,0.83,0.77,0.86,0.84,1.0,0.86,0.78,0.78,0.8,0.8,0.8,0.8,0.81,0.81,0.81,0.82,0.8,0.8,0.8,0.8,0.8,0.82,0.79,0.81,0.79,0.8,0.81,0.8,0.83,0.82,0.83,0.8,0.79,0.8,0.8,0.83,0.83
T10B5.4d.1_WBGene00020390,0.78,0.78,0.77,0.97,0.96,0.86,1.0,0.74,0.74,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.72,0.71,0.68,0.68,0.68,0.68,0.8,0.79,0.73,0.74,0.79,0.79,0.79,0.83,0.79,0.78,0.79,0.76,0.77,0.77,0.8,0.8
FBtr0334669_FBgn0051248,0.72,0.72,0.71,0.71,0.72,0.78,0.74,1.0,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.75,0.73,0.77,0.77,0.77,0.77,0.7,0.71,0.81,0.82,0.73,0.73,0.73,0.72,0.7,0.74,0.73,0.71,0.72,0.79,0.7,0.7
FBtr0081564_FBgn0051248,0.72,0.72,0.71,0.71,0.72,0.78,0.74,1.0,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.75,0.73,0.77,0.77,0.77,0.77,0.7,0.71,0.81,0.82,0.73,0.73,0.73,0.72,0.7,0.74,0.73,0.71,0.72,0.79,0.7,0.7
FBtr0081350_FBgn0032839,0.67,0.7,0.67,0.66,0.68,0.8,0.69,0.8,0.8,1.0,0.95,0.92,0.92,0.92,0.92,0.91,0.8,0.77,0.86,0.86,0.86,0.86,0.65,0.66,0.82,0.8,0.67,0.68,0.67,0.67,0.66,0.7,0.67,0.66,0.67,0.77,0.67,0.67
