,ENSETET00000017679_ENSETEG00000017681,ENSLAFT00000029788_ENSLAFG00000031605,ENSPSMT00000038572_ENSPSMG00000023086,ENSMICT00000030940_ENSMICG00000026374,ENSOGAT00000031929_ENSOGAG00000031013,ENSPTRT00000097228_ENSPTRG00000049411,ENSPPAT00000014920_ENSPPAG00000013631,ENST00000599174_ENSG00000267909,ENSPPYT00000007024_ENSPPYG00000005943,ENSNLET00000038024_ENSNLEG00000031552,ENSTGET00000029248_ENSTGEG00000019823,ENSPANT00000023232_ENSPANG00000017912,ENSCATT00000009658_ENSCATG00000008772,ENSMMUT00000098607_ENSMMUG00000058118,ENSMFAT00000019429_ENSMFAG00000000299,ENSMNET00000012936_ENSMNEG00000011906,ENSCSAT00000019660_ENSCSAG00000019570,ENSPTET00000048325_ENSPTEG00000033508
ENSETET00000017679_ENSETEG00000017681,1.0,0.63,0.7,0.48,0.69,0.7,0.58,0.7,0.7,0.7,0.69,0.69,0.69,0.69,0.69,0.7,0.7,0.69
ENSLAFT00000029788_ENSLAFG00000031605,0.63,1.0,0.63,0.41,0.62,0.62,0.61,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.62,0.62,0.62
ENSPSMT00000038572_ENSPSMG00000023086,0.7,0.63,1.0,0.51,0.72,0.71,0.59,0.71,0.72,0.72,0.71,0.72,0.72,0.72,0.7,0.72,0.72,0.72
ENSMICT00000030940_ENSMICG00000026374,0.48,0.41,0.51,1.0,0.5,0.49,0.37,0.49,0.49,0.5,0.49,0.49,0.49,0.49,0.48,0.5,0.5,0.49
ENSOGAT00000031929_ENSOGAG00000031013,0.69,0.62,0.72,0.5,1.0,0.71,0.59,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.71,0.71,0.71
ENSPTRT00000097228_ENSPTRG00000049411,0.7,0.62,0.71,0.49,0.71,1.0,0.61,0.75,0.74,0.74,0.73,0.74,0.74,0.74,0.72,0.74,0.74,0.74
ENSPPAT00000014920_ENSPPAG00000013631,0.58,0.61,0.59,0.37,0.59,0.61,1.0,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.61,0.61,0.61
ENST00000599174_ENSG00000267909,0.7,0.62,0.71,0.49,0.71,0.75,0.61,1.0,0.74,0.74,0.74,0.74,0.74,0.74,0.72,0.74,0.74,0.74
ENSPPYT00000007024_ENSPPYG00000005943,0.7,0.62,0.72,0.49,0.71,0.74,0.61,0.74,1.0,0.74,0.74,0.74,0.74,0.74,0.72,0.74,0.74,0.74
ENSNLET00000038024_ENSNLEG00000031552,0.7,0.62,0.72,0.5,0.71,0.74,0.61,0.74,0.74,1.0,0.74,0.74,0.74,0.74,0.72,0.74,0.74,0.74
ENSTGET00000029248_ENSTGEG00000019823,0.69,0.62,0.71,0.49,0.71,0.73,0.61,0.74,0.74,0.74,1.0,0.75,0.75,0.75,0.73,0.74,0.74,0.74
ENSPANT00000023232_ENSPANG00000017912,0.69,0.62,0.72,0.49,0.71,0.74,0.61,0.74,0.74,0.74,0.75,1.0,0.75,0.75,0.73,0.75,0.74,0.74
ENSCATT00000009658_ENSCATG00000008772,0.69,0.62,0.72,0.49,0.71,0.74,0.61,0.74,0.74,0.74,0.75,0.75,1.0,0.75,0.73,0.75,0.74,0.74
ENSMMUT00000098607_ENSMMUG00000058118,0.69,0.62,0.72,0.49,0.71,0.74,0.61,0.74,0.74,0.74,0.75,0.75,0.75,1.0,0.73,0.75,0.74,0.74
ENSMFAT00000019429_ENSMFAG00000000299,0.69,0.63,0.7,0.48,0.7,0.72,0.6,0.72,0.72,0.72,0.73,0.73,0.73,0.73,1.0,0.73,0.73,0.72
ENSMNET00000012936_ENSMNEG00000011906,0.7,0.62,0.72,0.5,0.71,0.74,0.61,0.74,0.74,0.74,0.74,0.75,0.75,0.75,0.73,1.0,0.74,0.74
ENSCSAT00000019660_ENSCSAG00000019570,0.7,0.62,0.72,0.5,0.71,0.74,0.61,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.73,0.74,1.0,0.74
ENSPTET00000048325_ENSPTEG00000033508,0.69,0.62,0.72,0.49,0.71,0.74,0.61,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.72,0.74,0.74,1.0
