,ENSAOWT00000018903_ENSAOWG00000011348,ENSAOWT00000018908_ENSAOWG00000011348,ENSAHAT00000002453_ENSAHAG00000001805,ENSAHAT00000002457_ENSAHAG00000001805,ENSARWT00000003988_ENSARWG00000002566,ENSDNVT00000021084_ENSDNVG00000012266,ENSDNVT00000021090_ENSDNVG00000012266,ENSDNVT00000021098_ENSDNVG00000012266,ENSDNVT00000021104_ENSDNVG00000012266,ENSDNVT00000021112_ENSDNVG00000012266
ENSAOWT00000018903_ENSAOWG00000011348,1.0,0.97,0.96,1.0,0.96,0.9,0.97,0.97,0.93,0.98
ENSAOWT00000018908_ENSAOWG00000011348,0.97,1.0,0.92,0.96,1.0,0.89,0.95,0.95,0.91,0.95
ENSAHAT00000002453_ENSAHAG00000001805,0.96,0.92,1.0,0.96,0.92,0.86,0.92,0.92,0.89,0.94
ENSAHAT00000002457_ENSAHAG00000001805,1.0,0.96,0.96,1.0,0.96,0.9,0.96,0.96,0.93,0.98
ENSARWT00000003988_ENSARWG00000002566,0.96,1.0,0.92,0.96,1.0,0.88,0.95,0.95,0.91,0.95
ENSDNVT00000021084_ENSDNVG00000012266,0.9,0.89,0.86,0.9,0.88,1.0,0.94,0.92,0.88,0.92
ENSDNVT00000021090_ENSDNVG00000012266,0.97,0.95,0.92,0.96,0.95,0.94,1.0,0.98,0.95,0.98
ENSDNVT00000021098_ENSDNVG00000012266,0.97,0.95,0.92,0.96,0.95,0.92,0.98,1.0,0.95,0.98
ENSDNVT00000021104_ENSDNVG00000012266,0.93,0.91,0.89,0.93,0.91,0.88,0.95,0.95,1.0,0.95
ENSDNVT00000021112_ENSDNVG00000012266,0.98,0.95,0.94,0.98,0.95,0.92,0.98,0.98,0.95,1.0
