,ENSEBUT00000012548_ENSEBUG00000007650,ENSEBUT00000012573_ENSEBUG00000007650,ENSEBUT00000012616_ENSEBUG00000007650,ENSPMAT00000000225_ENSPMAG00000000201,ENSVURT00010036086_ENSVURG00010024217,ENSPCIT00000049960_ENSPCIG00000029686,ENSPCIT00000049952_ENSPCIG00000029686,ENSPCIT00000049956_ENSPCIG00000029686,ENSPCIT00000049959_ENSPCIG00000029686,ENSSHAT00000008189_ENSSHAG00000007043,ENSSHAT00000008190_ENSSHAG00000007043,ENSMICT00000052795_ENSMICG00000012001,ENSPSMT00000000890_ENSPSMG00000000569,ENSPCOT00000042202_ENSPCOG00000028383,ENSPCOT00000042203_ENSPCOG00000028383
ENSEBUT00000012548_ENSEBUG00000007650,1.0,0.92,0.75,0.19,0.61,0.61,0.58,0.55,0.55,0.6,0.61,0.61,0.61,0.58,0.58
ENSEBUT00000012573_ENSEBUG00000007650,0.92,1.0,0.67,0.24,0.67,0.67,0.63,0.6,0.61,0.65,0.67,0.67,0.67,0.64,0.64
ENSEBUT00000012616_ENSEBUG00000007650,0.75,0.67,1.0,0.27,0.46,0.46,0.46,0.43,0.48,0.45,0.45,0.46,0.46,0.45,0.43
ENSPMAT00000000225_ENSPMAG00000000201,0.19,0.24,0.27,1.0,0.35,0.35,0.35,0.33,0.37,0.34,0.35,0.35,0.35,0.34,0.32
ENSVURT00010036086_ENSVURG00010024217,0.61,0.67,0.46,0.35,1.0,0.99,0.95,0.92,0.92,0.96,0.98,0.94,0.94,0.9,0.91
ENSPCIT00000049960_ENSPCIG00000029686,0.61,0.67,0.46,0.35,0.99,1.0,0.96,0.93,0.93,0.96,0.98,0.94,0.94,0.9,0.91
ENSPCIT00000049952_ENSPCIG00000029686,0.58,0.63,0.46,0.35,0.95,0.96,1.0,0.97,0.97,0.92,0.94,0.9,0.9,0.87,0.87
ENSPCIT00000049956_ENSPCIG00000029686,0.55,0.6,0.43,0.33,0.92,0.93,0.97,1.0,0.94,0.89,0.9,0.87,0.87,0.84,0.9
ENSPCIT00000049959_ENSPCIG00000029686,0.55,0.61,0.48,0.37,0.92,0.93,0.97,0.94,1.0,0.9,0.91,0.88,0.88,0.84,0.85
ENSSHAT00000008189_ENSSHAG00000007043,0.6,0.65,0.45,0.34,0.96,0.96,0.92,0.89,0.9,1.0,0.98,0.93,0.92,0.89,0.9
ENSSHAT00000008190_ENSSHAG00000007043,0.61,0.67,0.45,0.35,0.98,0.98,0.94,0.9,0.91,0.98,1.0,0.94,0.94,0.9,0.91
ENSMICT00000052795_ENSMICG00000012001,0.61,0.67,0.46,0.35,0.94,0.94,0.9,0.87,0.88,0.93,0.94,1.0,0.99,0.95,0.96
ENSPSMT00000000890_ENSPSMG00000000569,0.61,0.67,0.46,0.35,0.94,0.94,0.9,0.87,0.88,0.92,0.94,0.99,1.0,0.95,0.96
ENSPCOT00000042202_ENSPCOG00000028383,0.58,0.64,0.45,0.34,0.9,0.9,0.87,0.84,0.84,0.89,0.9,0.95,0.95,1.0,0.93
ENSPCOT00000042203_ENSPCOG00000028383,0.58,0.64,0.43,0.32,0.91,0.91,0.87,0.9,0.85,0.9,0.91,0.96,0.96,0.93,1.0
