,ENSTNIT00000007517_ENSTNIG00000004706,ENSTRUT00000001331_ENSTRUG00000000559,ENSPRNT00000017646_ENSPRNG00000008797,ENSXCOT00000006782_ENSXCOG00000005189,ENSSMAT00000028863_ENSSMAG00000017446,ENSCGOT00000017785_ENSCGOG00000007925,ENSPMGT00000006228_ENSPMGG00000004941,ENSGWIT00000041345_ENSGWIG00000019468,ENSCSET00000031758_ENSCSEG00000020079,ENSBSLT00000026857_ENSBSLG00000012258,ENSPMET00000001690_ENSPMEG00000010696,ENSPFOT00000002112_ENSPFOG00000002242,ENSPRET00000007572_ENSPREG00000005142,ENSPRET00000007586_ENSPREG00000005142,ENSXMAT00000037554_ENSXMAG00000026867,ENSFHET00000008437_ENSFHEG00000000144,ENSKMAT00000020512_ENSKMAG00000015049,ENSORLT00000014848_ENSORLG00000011851
ENSTNIT00000007517_ENSTNIG00000004706,1.0,0.33,0.17,0.33,0.17,0.33,0.17,0.25,0.25,1e-18,1e-18,0.06,0.06,0.06,0.06,0.06,0.06,0.06
ENSTRUT00000001331_ENSTRUG00000000559,0.33,1.0,0.12,0.25,0.33,0.25,0.12,0.17,0.17,1e-18,1e-18,0.05,0.06,0.06,0.06,0.06,0.06,0.06
ENSPRNT00000017646_ENSPRNG00000008797,0.17,0.12,1.0,0.12,0.17,0.12,0.17,0.25,0.25,1e-18,1e-18,0.06,0.06,0.06,0.06,0.06,0.06,0.06
ENSXCOT00000006782_ENSXCOG00000005189,0.33,0.25,0.12,1.0,0.12,0.25,0.12,0.17,0.17,0.06,1e-18,0.11,0.12,0.12,0.12,0.12,0.12,0.12
ENSSMAT00000028863_ENSSMAG00000017446,0.17,0.33,0.17,0.12,1.0,0.12,0.17,0.25,0.25,1e-18,1e-18,0.06,0.06,0.06,0.06,0.06,0.06,0.06
ENSCGOT00000017785_ENSCGOG00000007925,0.33,0.25,0.12,0.25,0.12,1.0,0.33,0.17,0.17,1e-18,1e-18,0.05,0.06,0.06,0.06,0.06,0.06,0.06
ENSPMGT00000006228_ENSPMGG00000004941,0.17,0.12,0.17,0.12,0.17,0.33,1.0,0.25,0.25,1e-18,1e-18,0.06,0.06,0.06,0.06,0.06,0.06,0.06
ENSGWIT00000041345_ENSGWIG00000019468,0.25,0.17,0.25,0.17,0.25,0.17,0.25,1.0,0.5,1e-18,1e-18,0.06,0.07,0.07,0.07,0.07,0.07,0.07
ENSCSET00000031758_ENSCSEG00000020079,0.25,0.17,0.25,0.17,0.25,0.17,0.25,0.5,1.0,1e-18,1e-18,0.06,0.07,0.07,0.07,0.07,0.07,0.07
ENSBSLT00000026857_ENSBSLG00000012258,1e-18,1e-18,1e-18,0.06,1e-18,1e-18,1e-18,1e-18,1e-18,1.0,0.5,0.67,0.75,0.75,0.75,0.75,0.75,0.75
ENSPMET00000001690_ENSPMEG00000010696,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.5,1.0,0.5,0.56,0.56,0.56,0.56,0.56,0.56
ENSPFOT00000002112_ENSPFOG00000002242,0.06,0.05,0.06,0.11,0.06,0.05,0.06,0.06,0.06,0.67,0.5,1.0,0.81,0.81,0.81,0.81,0.81,0.81
ENSPRET00000007572_ENSPREG00000005142,0.06,0.06,0.06,0.12,0.06,0.06,0.06,0.07,0.07,0.75,0.56,0.81,1.0,0.93,0.93,0.93,0.93,0.93
ENSPRET00000007586_ENSPREG00000005142,0.06,0.06,0.06,0.12,0.06,0.06,0.06,0.07,0.07,0.75,0.56,0.81,0.93,1.0,0.93,0.93,0.93,0.93
ENSXMAT00000037554_ENSXMAG00000026867,0.06,0.06,0.06,0.12,0.06,0.06,0.06,0.07,0.07,0.75,0.56,0.81,0.93,0.93,1.0,0.93,0.93,0.93
ENSFHET00000008437_ENSFHEG00000000144,0.06,0.06,0.06,0.12,0.06,0.06,0.06,0.07,0.07,0.75,0.56,0.81,0.93,0.93,0.93,1.0,0.93,0.93
ENSKMAT00000020512_ENSKMAG00000015049,0.06,0.06,0.06,0.12,0.06,0.06,0.06,0.07,0.07,0.75,0.56,0.81,0.93,0.93,0.93,0.93,1.0,0.93
ENSORLT00000014848_ENSORLG00000011851,0.06,0.06,0.06,0.12,0.06,0.06,0.06,0.07,0.07,0.75,0.56,0.81,0.93,0.93,0.93,0.93,0.93,1.0
