,ENSGAGT00000022320_ENSGAGG00000014452,ENSCABT00000034174_ENSCABG00000022781,ENSPSIT00000001088_ENSPSIG00000001087,ENSCPRT00005027547_ENSCPRG00005016388,ENSACAT00000002101_ENSACAG00000002160,ENSNSUT00000000391_ENSNSUG00000000367,ENSSMRT00000032957_ENSSMRG00000021728,ENSPVIT00000007655_ENSPVIG00000004911,ENSPVIT00000020490_ENSPVIG00000012657,ENSACAT00000002091_ENSACAG00000002132,ENSPVIT00000020489_ENSPVIG00000012656,ENSSPUT00000000289_ENSSPUG00000000276,ENSDNVT00000012754_ENSDNVG00000007483,ENSFALT00000000279_ENSFALG00000000268,ENSJHYT00000000009_ENSJHYG00000000007,ENSTGUT00000004278_ENSTGUG00000004118
ENSGAGT00000022320_ENSGAGG00000014452,1.0,0.25,0.25,0.17,0.25,0.25,0.17,0.25,0.25,0.1,0.25,0.25,0.25,0.25,0.25,0.25
ENSCABT00000034174_ENSCABG00000022781,0.25,1.0,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.12,0.5,0.5,0.5,0.5,0.5,0.5
ENSPSIT00000001088_ENSPSIG00000001087,0.25,0.5,1.0,0.25,0.5,0.5,0.25,0.5,0.5,0.12,0.5,0.5,0.5,0.5,0.5,0.5
ENSCPRT00005027547_ENSCPRG00005016388,0.17,0.25,0.25,1.0,0.25,0.25,0.17,0.25,0.25,0.1,0.25,0.25,0.25,0.25,0.25,0.25
ENSACAT00000002101_ENSACAG00000002160,0.25,0.5,0.5,0.25,1.0,0.5,0.25,0.5,0.5,0.12,0.5,0.5,0.5,0.5,0.5,0.5
ENSNSUT00000000391_ENSNSUG00000000367,0.25,0.5,0.5,0.25,0.5,1.0,0.25,0.5,0.5,0.12,0.5,0.5,0.5,0.5,0.5,0.5
ENSSMRT00000032957_ENSSMRG00000021728,0.17,0.25,0.25,0.17,0.25,0.25,1.0,0.25,0.25,0.1,0.25,0.25,0.25,0.25,0.25,0.25
ENSPVIT00000007655_ENSPVIG00000004911,0.25,0.5,0.5,0.25,0.5,0.5,0.25,1.0,0.5,0.12,0.5,0.5,0.5,0.5,0.5,0.5
ENSPVIT00000020490_ENSPVIG00000012657,0.25,0.5,0.5,0.25,0.5,0.5,0.25,0.5,1.0,0.12,0.5,0.5,0.5,0.5,0.5,0.5
ENSACAT00000002091_ENSACAG00000002132,0.1,0.12,0.12,0.1,0.12,0.12,0.1,0.12,0.12,1.0,0.12,0.12,0.12,0.12,0.12,0.12
ENSPVIT00000020489_ENSPVIG00000012656,0.25,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.12,1.0,0.5,0.5,0.5,0.5,0.5
ENSSPUT00000000289_ENSSPUG00000000276,0.25,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.12,0.5,1.0,0.5,0.5,0.5,0.5
ENSDNVT00000012754_ENSDNVG00000007483,0.25,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.12,0.5,0.5,1.0,0.5,0.5,0.5
ENSFALT00000000279_ENSFALG00000000268,0.25,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.12,0.5,0.5,0.5,1.0,0.5,0.5
ENSJHYT00000000009_ENSJHYG00000000007,0.25,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.12,0.5,0.5,0.5,0.5,1.0,0.5
ENSTGUT00000004278_ENSTGUG00000004118,0.25,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.12,0.5,0.5,0.5,0.5,0.5,1.0
